'ao'ba'jia'zu 奥巴家族
'ao'tuo 奥托
'ba'cai'yuan'shi 八彩原石
'ba'huang'po'mie'yan 八荒破灭焱
'ba'ji'beng 八极崩
'ba'jie'mo'shou 八阶魔兽
'ba'xing'da'dou'shi 八星大斗师
'ba'xing'dou'huang 八星斗皇
'ba'xing'dou'ling 八星斗灵
'ba'xing'dou'sheng 八星斗圣
'ba'xing'dou'shi 八星斗师
'ba'xing'dou'wang 八星斗王
'ba'xing'dou'zhe 八星斗者
'ba'xing'dou'zong 八星斗宗
'ba'xing'dou'zun 八星斗尊
'ba'yi'hei'she'huang 八翼黑蛇皇
'bai'lan'guo 白兰果
'bai'ling'can'guo 白灵参果
'bai'ya 白牙
'ban'sheng 半圣
'ban'sheng'zi'jing'yuan 伴生紫晶源
'bao'xue'mo'yuan 暴雪魔猿
'bei'long'wang 北龙王
'bi'hu'pa'xing 壁虎爬行
'bi'hu'pa'xing'dou'ji 壁虎爬行斗技
'bi'she'san'hua'tong 碧蛇三花瞳
'bing'he'gu 冰河谷
'bing'huang 冰皇
'bing'huang'hai'bo'dong 冰皇海波东
'bing'ling'yan'cao 冰灵焰草
'bing'xi'dou'qi 冰系斗气
'bing'zun'zhe 冰尊者
'bu'si'ti 不死体
'cai'lin 彩鳞
'cai'yao'dui 采药队
'ce'yan'mo'shi'bei 测验魔石碑
'chang'shou'zhi'huo 长寿之火
'chi'bing'she 赤冰蛇
'chu'ji'ban'sheng 初级半圣
'chu'yun'di'guo 出云帝国
'chui'huo'zhang 吹火掌
'ci'tou'xue'sheng 刺头学生
'da'di'zhi'xin 大地之心
'da'dou'shi 大斗师
'da'qian'shi'jie 大千世界
'dan'hui 丹会
'dan'lei 丹雷
'dan'ta 丹塔
'dan'wang 丹王
'dan'wang'gu'he 丹王古河
'dan'yao 丹药
'dao'shi 导师
'deng'ji'ce'shi'gong'hui 等级测试工会
'di'jie'di'ji 地阶低级
'di'jie'dou'ji 地阶斗技
'di'jie'dou'qi'gong'fa 地阶斗气功法
'di'jie'gao'ji 地阶高级
'di'jie'mo'shou 低阶魔兽
'di'jie'zhong'ji 地阶中级
'di'jing 帝境
'di'jing'ling'hun 帝境灵魂
'di'jing'zhe 帝境者
'di'mo'lao'gui 地魔老鬼
'di'pin'dan'yao 帝品丹药
'di'xin'ding 地心鼎
'di'xin'hun'sui 地心魂髓
'di'xin'zhu 地心珠
'di'yan 帝炎
'dian'zhu 殿主
'dou'di 斗帝
'dou'di'qiang'zhe 斗帝强者
'dou'di'yuan'qi 斗帝源气
'dou'huang 斗皇
'dou'huang'dian'feng 斗皇巅峰
'dou'huang'qiang'zhe 斗皇强者
'dou'ji 斗技
'dou'ji'shi 斗技师
'dou'ji'tang 斗技堂
'dou'ling 斗灵
'dou'ling'qiang'zhe 斗灵强者
'dou'po'cang'qiong 斗破苍穹
'dou'qi 斗气
'dou'qi'da'lu 斗气大陆
'dou'qi'ge 斗气阁
'dou'qi'gong'fa 斗气功法
'dou'qi'hua'yi 斗气化翼
'dou'qi'huo'yan 斗气火焰
'dou'qi'kai'jia 斗气铠甲
'dou'qi'ning'wu 斗气凝物
'dou'qi'qi'xuan 斗气气旋
'dou'qi'sha'yi 斗气纱衣
'dou'sheng 斗圣
'dou'sheng'qiang'zhe 斗圣强者
'dou'shi 斗师
'dou'wang 斗王
'dou'wang'qiang'zhe 斗王强者
'dou'zhe 斗者
'dou'zhe'ba'xing 斗者八星
'dou'zhe'er'xing 斗者二星
'dou'zhe'jiu'xing 斗者九星
'dou'zhe'liu'xing 斗者六星
'dou'zhe'qi'xing 斗者七星
'dou'zhe'san'xing 斗者三星
'dou'zhe'si'xing 斗者四星
