'a'jia'te 阿加特
'ai'er 艾尔
'ai'er'lei'deng'guan'suo 艾尔雷登关所
'ai'si'di'er 艾丝蒂尔
'ao'li'wei'er 奥利维尔
'ba'wang'ji'feng 霸王疾风
'ba'ye'mie'sha 八叶灭杀
'bai'si 柏斯
'bai'si'shi 柏斯市
'cai'jue'ta'luo 裁决塔罗
'cai'si'shi 蔡斯市
'can'guang'po'sui'jian 残光破碎剑
'cui'mian'qu'qi 催眠曲奇
'da'chi'yi'jing'qu'qi'bing 大吃一惊曲奇饼
'dao'li'zha'dan 导力炸弹
'dao'li'zhuang'jia 导力装甲
'dou'hun 斗魂
'duan'gu'jian 断骨剑
'fei'cui'zhi'ta 翡翠之塔
'fei'keng 废坑
'feng'hua'zhen 风花阵
'feng'tang 枫糖
'feng'zhi'bian 风之鞭
'gan'bi'zhi'ta 绀碧之塔
'ge'lan'sai'er 格兰赛尔
'gong'niu'zhi'nu 公牛之怒
'gong'ren'jiao'cuo 弓刃交错
'guang'gui'zhan 光鬼斩
'guang'lian'zhan 光连斩
'guang'lun'zhan 光轮斩
'guang'ming'zhi'huan 光明之环
'guang'po'zhan 光破斩
'ha'ken'da'men 哈肯大门
'hong'lian'zhi'ta 红莲之塔
'hu'guang'jian 弧光剑
'hu'mei'an'sui 狐媚暗随
'hu'po'zhi'ta 琥珀之塔
'huan'le'ji'fa 欢乐激发
'huan'ying'qi'xi 幻影奇袭
'hui'fu'tan 回复弹
'hun'jue'rou'wan'zi 昏厥肉丸子
'huo'yan'sui'ji 火焰碎击
'ji'er'ba'te 基尔巴特
'ji'guang'bu'ke'si'yi'yu 极光不可思议玉
'jian'feng'shan 剑风闪
'jiao'si'gun 绞丝棍
'jie'ni'si'wang'li'xue'yuan 杰尼斯王立学院
'jin'gang'ji 金刚击
'jing'hua'shui'yue 镜花水月
'jing'zhun'she'ji 精准射击
'ju'shu'zhi'bian 拘束之鞭
'jue'ying 绝影
'kai'wen'shen'fu 凯文神父
'ke'lu'ci 克鲁茨
'ke'luo'di'ya 科洛蒂亚
'ke'luo'si 科洛丝
'kuai'su'ju'ji 快速狙击
'kuang'ren'jian'wu 狂刃剑舞
'la'wen'nu'cun 拉文努村
'la'wen'nu'shan'dao 拉文努山道
'lei'deng 雷登
'lei'deng'guan'suo 雷登关所
'lei'shen'jiao 雷神脚
'lei'shen'zhang 雷神掌
'lei'suo'xi'fu 雷索吸缚
'li'cha'de'shang'xiao 理查德上校
'li'si 莉丝
'lian'suo'zhan'ji 连锁战技
'lie'bo'wu'shuang'ji 烈波无双击
'lie'quan'shan'feng 猎犬闪风
'long'qi'zhi'ren 龙骑之刃
'long'shan'tui 龙闪腿
'long'shen'gong 龙神功
'lu'an'shi 卢安市
'luan'xin'an'hun'qu 乱心安魂曲
'luo'lian'te'shi 洛连特市
'luo'xuan'zhi'ren 螺旋之刃
'ma'di'er 玛蒂尔
'ma'nuo'li'ya'cun 玛诺利亚村
'ma'nuo'li'ya'jian'dao 玛诺利亚间道
'mi'wu'xia'gu 迷雾峡谷
'mo'qiang'luo'ya 魔枪洛亚
'mo'yan 魔眼
'ni'cong'tou 泥葱头
'nv'wang'zhi'nu 女王之怒
'pa'di'er 帕蒂尔
'pao'she'chong'ji 炮射冲击
'pao'xiao'tan 咆哮弹
'po'xie'xian'zheng 破邪显正
'qi'bing'chuan'ci 骑兵穿刺
'qi'hei'zhi'ya 漆黑之牙
'qi'jue 气绝
'qi'se'bu'ke'si'yi'yu 七色不可思议玉
'qian'jian'zhi'yu 千剑之雨
'qiang'da 强打
'qiao'si'te 乔丝特
'san'mang'zhi'lun 三芒之轮
'san'se'cu'mi 三色粗米
'sha'yu'mao'ji 鲨鱼锚击
'shan'mao'hao 山猫号
'sheng'hai'mu'men 圣海姆门
'sheng'jie'zhu'fu 圣洁祝福
'sheng'qiang'wu'er 圣枪乌尔
'sheng'xing'guang'xuan 圣星光旋
'shi'sha'yi'ji 蚀杀一击
'shuang'kou'yang'cong 爽口洋葱
'shuang'lian'ji 双连击
'tai'ji'lun 太极轮
'tai'shan'xuan'wu'kao 泰山玄武靠
'tan'nang'mi'shou 探囊秘手
'ti'da 提妲
'tian'tang'sheng'xing 天堂圣星
'tian'tang'zhi'wen 天堂之吻
'tian'tang'zu'mie 天堂阻灭
'tiao'bo 挑拨
'tiao'yue'dian'she 跳跃点射
'tuo'luo'wu 陀螺舞
'wa'lei'li'ya'hu 瓦雷利亚湖
'wa'lei'li'ya'hu'pan 瓦雷利亚湖畔
'wang'dou'ge'lan'sai'er 王都格兰赛尔
'wei'xian'rou'wan 危险肉丸
'wei'xing'ji'guang 卫星激光
'wu'jin'jian'zhi 无尽剑制
'wu'mang'zhi'lun 五芒之轮
'wu'xiang'fei'dao 无相飞刀
'xin'xian'ji'dan 新鲜鸡蛋
'xin'xian'nai'lao 新鲜奶酪
'xing'bei'ling'yu 星杯领域
'xuan'feng'lun 旋风轮
'xue'la'zha'de 雪拉扎德
'xue'xing'xuan'zhuan 血腥旋转
'ya'er'mo'cun 亚尔摩村
'ya'ni'la'si 亚妮拉丝
'yan'long'dao'hai 炎龙倒海
'yan'mu'dan 烟幕弹
'yang'ming'gong 养命功
'ying'hua'can'yue 樱花残月
'ying'hua'wu'shuang'ji 樱花无双击
'you'li'ya 尤莉亚
'yue'hua'zhang 月华掌
'yue'xiu'ya 约修亚
'zai'nan'yi'zhi 灾难一掷
'zhan'dou'bu'neng 战斗不能
'zhong'ji'lie'zhan 终极裂斩
