'a'xiu'luo'deng 阿修罗等
'bai'bei'shu'sheng 百倍殊胜
'bei'zhuang'yan'gu 悲庄严故
'bi'jing'wu'zhu 毕竟无主
'bi'zhu'da'zhong 蔽诸大众
'bian'cai'ju'zu'wu'que 辩才具足无缺
'bu'duo'zhu'nan 不堕诸难
'bu'geng'e'dao 不更恶道
'bu'ke'jian'qu 不可见取
'bu'kuang'huo'gu 不诳惑故
'bu'neng'san'mie 不能散灭
'bu'qi'shen'jian 不起身见
'bu'rong'hao'fen'bu'shan'jian'za 不容毫分不善间杂
'bu'wei'yi'qie'yuan'zei'sun'hai 不为一切怨贼损害
'bu'you'sun'hai 不忧损害
'cai'wu'zi'zai 财物自在
'chang'bu'wang'shi'da'pu'ti'xin 常不忘失大菩提心
'chang'bu'yan'she 常不厌舍
'chang'de'qin'jin'zhu'fo'pu'sa'ji'yu'sheng'zhong 常得亲近诸佛菩萨及余圣众
'chang'fu'cai'bao 常富财宝
'chang'huai'shi'yi 常怀施意
'chang'jian'zhong 常见中
'chang'nian 常念
'chang'quan'she'hua'yi'qie'zhong'sheng 常劝摄化一切众生
'chang'shan'jue'wu'yi'qie'zhu'fa 常善觉悟一切诸法
'chang'sheng'ren'tian 常生人天
'chang'shou'wu'yao 长寿无夭
'chang'wu'e'meng 常无恶梦
'chang'wu'mi'wang 常无迷妄
'chang'yi'ai'yu'an'wei'zhong'sheng 常以爱语安慰众生
'chang'yu'zhong'sheng'qi'da'ci'xin 常于众生起大慈心
'chang'zuo'li'yi'an'zhong'sheng'xin 常作利益安众生心
'chen'hui 瞋恚
'cheng'jiu'zi'zai'shen'tong 成就自在神通
'cheng'yi'qie'shan'fa 成一切善法
'chu'zhong'wu'wei 处众无畏
'ci'fa'ji'shi'shi'shan'ye'dao 此法即是十善业道
'ci'shi'shan'dao'yi'fu'ru'shi 此十善道亦复如是
'ci'zhuang'yan'gu 慈庄严故
'cong'bai'qian'yi'fu'de'suo'sheng 从百千亿福德所生
'cong'lin 丛林
'dan'shi'xu'wang 但是虚妄
'dang'zhi'ci'shi'shan'ye 当知此十善业
'dang'zhi'pu'sa'you'yi'fa 当知菩萨有一法
'de'bu'huai'fa'xing 得不坏法行
'de'bu'huai'juan'shu 得不坏眷属
'de'bu'huai'shan'zhi'shi 得不坏善知识
'de'bu'huai'shen 得不坏身
'de'bu'huai'xin 得不坏信
'de'fo'sui'xin'zi'zai'shou'ming 得佛随心自在寿命
'de'fo'yuan'yin 得佛圆音
'de'fo'zhang'fu'yin'mi'cang'xiang 得佛丈夫隐密藏相
'de'sheng'yi'le 得胜意乐
'de'sheng'zhe'ci'xin 得圣者慈心
'de'wu'ai'xin 得无碍心
'de'zhen'shan'yi'le 得真善意乐
'de'zheng'juan'shu 得正眷属
'de'zheng'qing'jing'da'pu'ti'zhi 得证清净大菩提智
'de'zheng'zhi'hui'chang'xian'zai'qian 得正智慧常现在前
'ding'neng'yi'zhi 定能以智
'ding'wei'zhi'ren'suo'ai 定为智人所爱
'ding'yu'ren'tian 定于人天
'ding'zhuang'yan'gu 定庄严故
