'ai'gan 嗌干
'ai'gan'ji'tong 嗌干及痛
'ai'gan'mian'chen 嗌干面尘
'ai'gan'mian'chen'yao'tong 嗌干面尘腰痛
'ai'hu 哀乎
'ai'hun'bu'zuo 埃昏布作
'ai'hun'huang'hei 埃昏黄黑
'ai'hun'jiao'ye 埃昏郊野
'ai'hun'zhou'yu 埃昏骤雨
'ai'mao'yun'yu 埃冒云雨
'ai'qi'tai'ban'er'zhi 哀其太半而止
'ai'sai 嗌塞
'ai'sai'er'ke 嗌塞而咳
'ai'wu'meng'yu 埃雾朦郁
'ai'ye 艾叶
'ai'zao 嗌燥
'ai'zhong 嗌肿
'ai'zhong'jie'jie'ran'shu'tuo 嗌中吤吤然数唾
'ai'zhong'zhong 嗌中肿
'an'chi'cun 按尺寸
'an'chu'qi'e'qi 按出其恶气
'an'cun'bu'ji'chi'wo'shou'bu'ji'zu 按寸不及尺握手不及足
'an'er'dan'zhi 按而弹之
'an'er'de'zhi 按而得之
'an'er'shou'zhi 按而收之
'an'er'yin'zhen 按而引针
'an'er'zhi'zhi 按而致之
'an'fu'bu'jian 按腹不坚
'an'ji'zhi'ying'shou'ru'tong 按疾之应手如痛
'an'jue'qi'mai'nai'ci'zhi 按绝其脉乃刺之
'an'mai'dong'jing 按脉动静
'an'mo'wu'shi 按摩勿释
'an'qi'chu 按其处
'an'qi'cun'kou'ren'ying 按其寸口人迎
'an'qi'fu 按其腹
'an'qi'mai 按其脉
'an'qi'qu'fu 安其屈伏
'an'qi'shou'zu'shang 按其手足上
'an'qi'suo'guo'zhi'jing'yi'tiao'zhi 按其所过之经以调之
'an'qi'yang'zhi'lai 按其阳之来
'an'qi'yun'qi 安其运气
'an'ren'ying'yu'jing 按人迎于经
'an'rong'yi 安容仪
'an'suo'de'zhi 安所得之
'an'suo'shou'bing 安所受病
'an'wo'mai'sheng'wei'zhi'tuo'xue 安卧脉盛谓之脱血
'an'wo'tuo'rou'zhe 安卧脱肉者
'an'wo'xiao'bian'huang'chi 安卧小便黄赤
'an'xin 安心
'an'xin'ding'qi 安心定气
'an'xun'yi'shi 按循医事
'an'yi'jing 安以静
'an'zhi'bu'de 按之不得
'an'zhi'bu'gu 按之不鼓
'an'zhi'bu'ke 按之不可
'an'zhi'bu'ke'de'ye 按之不可得也
'an'zhi'bu'neng'ji 按之不能及
'an'zhi'bu'xia 按之不下
'an'zhi'bu'ying'shou 按之不应手
'an'zhi'er'bu'de 按之而不得
'an'zhi'er'jian 按之而坚
'an'zhi'gu'shen'er'sheng'ye 按之鼓甚而盛也
'an'zhi'jian'da'ji 按之坚大急
'an'zhi'yi'jian 按之益坚
'an'zhi'ying'shou 按之应手
'an'zhi'ze'jian 按之则坚
'an'zhi'ze'qi'zu'yi'wen'zhi 按之则气足以温之
'an'zhi'ze're'qi'zhi 按之则热气至
'an'zhi'ze'tong 按之则痛
'an'zhi'ze'xue'qi'san 按之则血气散
'an'zhi'zhi'gu 按之至骨
'an'zhi'zhi'gu'zhe'shen'qi'ye 按之至骨者肾气也
'ao're 懊热
'ao're 艹熱
'ao're'nei'fan 懊热内烦
'ba'ba 八八
'ba'chi 八尺
'ba'er'xing'zhi 把而行之
'ba'feng 八风
'ba'feng'fa'xie'yi'wei'jing'feng 八风发邪以为经风
'ba'feng'shang'ren 八风伤人
'ba'feng'si'shi'zhi'sheng 八风四时之胜
'ba'feng'zhi'bian'ye 八风之变也
'ba'ji'zhi'ben 罢极之本
'ba'jian'ge'yi 八间各一
'ba'liao'zai'yao'kao'fen'jian 八髎在腰尻分间
'ba'ri'yang'ming'bing'shuai 八日阳明病衰
'ba'shi'sui 八十岁
'ba'shi'yi'nan 八十一难
'ba'wo'yin'yang 把握阴阳
'ba'yi'fa'feng 八以法风
'ba'yue 八曰
'ba'yue 八月
'ba'yue'chang'zhen 八曰长针
'ba'yue'duan'ci 八曰短刺
'ba'yue'ju'ci 八曰巨刺
'ba'zhe 八者
'ba'zhen'chu'feng 八针除风
'ba'zhen'er'mian'se'bu'bian'er'fan'man'zhe 拔针而面色不变而烦悗者
'ba'zhen'er'zhong'zhe 拔针而肿者
'ba'zheng'jiu'hou 八正九候
'ba'zheng'shen'ming'lun 八正神明论
'ba'zheng'shen'ming'lun'pian'di'er'shi'liu 八正神明论篇第二十六
'ba'zheng'zhe 八正者
'ba'zheng'zhi'xu'feng 八正之虚风
'ba'zheng'zhi'xu'xie'er'bi'zhi'wu'fan'ye 八正之虚邪而避之勿犯也
'ba'zheng'zhi'xu'xie'qi'ye 八正之虚邪气也
'bai'ai'hun'ming 白埃昏瞑
'bai'ai'si'qi 白埃四起
'bai'bi'si'ye 败必死也
'bai'bing'bu'zhi 百病不治
'bai'bing'nai'bian'hua'er'sheng 百病乃变化而生
