'bai'fa'bu'di 白发不第
'bu'shi'shan'liang'zhi'bei 不是善良之辈
'bu'yi'bu'neng'zhe'qi'ti 布衣不能遮其体
'cai'shu'xue'qian 才疏学浅
'cao'mu'bu'chang 草木不长
'chu'wang'sui'xiong 楚王虽雄
'chu'ze'zhuang'shi'zhi'bian 出则壮士执鞭
'ci'nai'tian'di'xun'huan 此乃天地循环
'dan'zhou'bu'neng'chong'qi'ji 淡粥不能充其飢
'dan'zhou'bu'neng'chong'qi'ji 淡粥不能充其饥
'dao'lao'ban'guan'wu'feng 到老半官无封
'dao'zhi'nian'zhang 盗跖年长
'di'bu'de'shi 地不得时
'fan'sheng'da'sheng'zhi'er 反生大圣之儿
'fei'bu'ru'ya 飞不如鸭
'fei'wu'gui'ye 非吾贵也
'fei'wu'jian'ye 非吾贱也
'fei'yun'bu'neng'teng'da 非运不能腾达
'feng'lang'bu'ping 风浪不平
'feng'tang'you'an'bang'zhi'zhi 冯唐有安邦之志
'feng'wei'han'chao'da'jiang 封为汉朝大将
'feng'wei'qi'guo'shou'xiang 封为齐国首相
'fu'gui'bu'neng'yi 富贵不能移
'gong'shou'yu'xiao'ren'zhi'xia 拱手于小人之下
'gu'sou'wan'dai 瞽叟顽呆
'guan'zhi'ji'pin 官至极品
'han'wang'sui'ruo 汉王虽弱
'han'xin'wu'fu'ji'zhi'li 韩信无缚鸡之力
'jiao'long'wei'yu 蛟龙未遇
'jie'yan 皆言
'jun'zi'shi'shi 君子失时
'kong'ming'wo'ju'cao'lu 孔明卧居草卢
'kong'zi'shang'kun'yu'chen'bang 孔子尚困于陈邦
'li'guang'you'she'hu'zhi'wei 李广有射虎之威
'li'yun'bu'tong 利运不通
'ling'ji'you'yi 灵鸡有翼
'ma'you'qian'li'zhi'cheng 马有千里之程
'man'fu'jing'lun 满腹经纶
'ming'ye 命也
'nai'shi'ye 乃时也
'nan'mian'wu'jiang'zi'wen 难免乌江自刎
'neng'zuo'shu'han'jun'shi 能作蜀汉军师
'pin'jian'bu'ke'qi 贫贱不可欺
'qian'shen'yu'yu'xia'zhi'jian 潜身于鱼虾之间
'que'sheng'bu'xiao'zhi'zi 却生不肖之子
'que'you'jiang'shan'wan'li 却有江山万里
'ren'bu'de'shi 人不得时
'ren'jie'yang'mu 人皆仰慕
'ren'sheng'zai'shi 人生在世
'ren'you'dan'xi'huo'fu 人有旦夕祸福
'ren'you'ling'yun'zhi'zhi 人有凌云之志
'ri'tou'seng'yuan 日投僧院
'ri'yue'wu'guang 日月无光
'ru'ze'jia'ren'peng'mei 入则佳人捧袂
'shang'ren'chong 上人宠
'shang'ren'zeng 上人憎
'shao'nian'deng'ke 少年登科
'shi'fei'xiong'e'zhi'tu 实非凶恶之徒
'shi'ye 时也
'shui'bu'de'shi 水不得时
'si'shi'ze'you'shan'zhen'hai'wei 思食则有山珍海味
'si'yi'ze'you'ling'luo'jin'duan 思衣则有绫罗锦缎
'tai'gong'chui'diao'yu'wei'shui 太公垂钓于渭水
'tian'bu'de'shi 天不得时
'tian'you'bu'ce'feng'yun 天有不测风云
'wei'lie'san'gong 位列三公
'wen'zhang'gai'shi 文章盖世
'wu'gong'bai'zu 蜈蚣百足
'wu'lue'chao'qun 武略超群
'wu'ren'bu'neng'zi'wang 无人不能自往
'xi'shi'ye 昔时也
'xia'ren'yan 下人厌
'xia'ren'yong 下人拥
'xiao'he'cheng'wei'xian'li 萧何称谓县吏
'xing'bu'ji'she 行不及蛇
'yan'hui'ming'duan 颜回命短
'yan'zi'shen'wu'wu'chi 晏子身无五尺
'yao'shun 尧舜
'yao'shun'zhi'sheng 尧舜至圣
'ye'su'han'yao 夜宿寒窑
'you'ta'bai'liao'zhi'zhang 有挞百僚之杖
'you'xian'fu'er'hou'pin 有先富而后贫
'you'xian'pin'er'hou'fu 有先贫而后富
'you'zhan'bi'lin'zhi'jian 有斩鄙吝之剑
'yu'ji'di'deng'ke 余及第登科
'yu'yue 余曰
'yu'zai'luo'yang 余在洛阳
'yu'zhi'gui'ye 余之贵也
'yu'zhi'jian'ye 余之贱也
'yun'ye 运也
'zhang'liang'yuan'shi'bu'yi 张良原是布衣
'zhong'er'fu'shi'zhe'ye 终而复始者也
'zhong'shen'bu'di 终身不第
