'an'hao'xin'xue 暗耗心血
'an'jing'luo'de'fen'bu 按经络的分布
'an'mo'liao'fa 按摩疗法
'ba'ba 八八
'ba'ji'zhi'ben 罢极之本
'ba'shou'zhi'yi 把守之意
'bai'bing'jie'you'pi'wei'shuai'er'sheng'ye 百病皆由脾胃衰而生也
'bai'bing'sheng'yu'qi'ye 百病生于气也
'bai'bing'zhi'chang'ye 百病之长也
'bai'bing'zhi'shi'ye 百病之始也
'bai'hui'xue 百会穴
'bai'ri'ke 百日咳
'bai'xing'zhi'suo'xing'zuo'ye 百姓之所兴作也
'bai'xing'zhi'suo'yin'shi'ye 百姓之所饮食也
'bai'zhi 白芷
'bao'guo'xue'ye 包裹血液
'bao'hu'kou'qiang'nian'mo 保护口腔粘膜
'bao'hu'xin'zang 保护心脏
'bao'hu'yan'jing'de'gong'neng 保护眼睛的功能
'bao'leng'bao're 暴冷暴热
'bao'luo'shou'bing 包络受病
'bao'luo'zhu'zang 包罗诸脏
'bao'wei'ji'ti 保卫机体
'bao'wei'qi 保胃气
'bao'yin'bao'shi 暴饮暴食
'bao'yu'xin'wai 包于心外
'bao'zai'xin'zang'wai'mian'de'bao'mo 包在心脏外面的包膜
'bao'zheng'ti'nei'wai'qi'ti'de'zheng'chang'jiao'huan 保证体内外气体的正常交换
'bao'zhong 胞中
'bei'ai'chou'you'ze'xin'dong 悲哀愁忧则心动
'bei'bu'de'fen'zhi 背部的分支
'bei'fang'han'leng 北方寒冷
'bei'fu'si'zhi'nei'wai'ce 背腹四肢内外侧
'bei'ke'zhe'shu'ruo 被克者属弱
'bei'sheng'nu 悲胜怒
'bei'shu'yang 背属阳
'bei'wei'fei'zhi'shu'jin 悲为肺志属金
'bei'wei'yang 背为阳
'bei'you'de 悲忧的
'bei'you'yi'yu'shang'fei 悲优易于伤肺
'ben'cang 本藏
'ben'cao'bei'yao 本草备要
'ben'cao'qiu'zhen 本草求真
'ben'jing'feng'yuan 本经逢原
'ben'jing'xing'xue 本经荥穴
'ben'men 贲门
'ben'shen'xu'ruo 本身虚弱
'ben'shu 本输
'ben'wei'yin'zheng 本为阴证
'ben'zang'zhi'bing 本脏之病
'bi'bu 鼻部
'bi'cong'qi'lei 必从其类
'bi'gan 鼻干
'bi'he'hou'shi'hu'xi'de'men'hu 鼻和喉是呼吸的门户
'bi'jian'yu'wei'ye 必见于胃也
'bi'jing'zhi'chu 必经之处
'bi'liu'qing'ti 鼻流清涕
