'di'yi'zhang'zong'ze 第一章总则
'er'fu'he'yi'liao'ji'gou'de'ji'ben'biao'zhun 二符合医疗机构的基本标准
'er'she'zhi'ke'xing'xing'yan'jiu'bao'gao 二设置可行性研究报告
'er'suo'you'zhi'xing'shi 二所有制形式
'liu'neng'gou'du'li'cheng'dan'min'shi'ze'ren 六能够独立承担民事责任
'san'fu'ze'zu'zhi'dui'yi'liao'ji'gou'de'ping'shen 三负责组织对医疗机构的评审
'san'xuan'zhi'bao'gao'he'jian'zhu'she'ji'ping'mian'tu 三选址报告和建筑设计平面图
'san'you'shi'he'de'ming'cheng'zu'zhi'ji'gou'he'chang'suo 三有适合的名称组织机构和场所
'san'zhen'liao'ke'mu'chuang'wei 三诊疗科目床位
'si'dui'wei'fan'ben'tiao'li'de'xing'wei'ji'yu'chu'fa 四对违反本条例的行为给予处罚
'si'zhu'ce'zi'jin 四注册资金
'wu'you'xiang'ying'de'gui'zhang'zhi'du 五有相应的规章制度
'yi'liao'ji'gou'guan'li'tiao'li 医疗机构管理条例
'yi'liao'ji'gou'guan'li'tiao'li'di'liu'zhang'fa'ze 医疗机构管理条例第六章罚则
'yi'liao'ji'gou'guan'li'tiao'li'di'qi'zhang'fu'ze 医疗机构管理条例第七章附则
'yi'liao'ji'gou'guan'li'tiao'li'di'san'zhang'deng'ji 医疗机构管理条例第三章登记
'yi'liao'ji'gou'guan'li'tiao'li'di'si'zhang'zhi'ye 医疗机构管理条例第四章执业
'yi'ming'cheng'di'zhi'zhu'yao'fu'ze'ren 一名称地址主要负责人
'yi'she'zhi'shen'qing'shu 一设置申请书
'yi'you'she'zhi'yi'liao'ji'gou'de'pi'zhun'shu 一有设置医疗机构的批准书
