'ai'jiang'nan'fu 哀江南赋
'an'zhu'liu'ying 暗逐流萤
'ao'bing'jin'kui 鏖兵金匮
'bai'hong'guan'ri 白虹贯日
'bai'ma'ru'lian 白马如练
'bai'ou'jiao'yi 白鸥矫翼
'bai'ri'hu'qi'jiang'ni 白日忽其将匿
'ban'chao'sheng'er'wang'fan 班超生而望返
'ban'chao'wei'ding'yuan'zhi'shi 班超为定远之使
'ban'long'mei'yu'ping'le 绊龙媒于平乐
'bei'bu'zi'sheng 悲不自胜
'bei'fen'yan'zhi'guang'lu'xi 背坟衍之广陆兮
'bei'jiu'xiang'zhi'yong'ge'xi 悲旧乡之壅隔兮
'bei'lin'yuan'pu 北临元圃
'bei'mi'tao'mu 北弥陶牧
'bei'que'long'yin 北阙龙吟
'bei'she'xuan'ba 北涉玄灞
'ben'bu'da'yu'wei'xing 本不达于危行
'ben'chi'zou'mei 奔魑走魅
'ben'wu'qing'yu'ji'nan 本无情于急难
'beng'yu'ju'lu'zhi'sha 崩于钜鹿之沙
'bi'jian'ni'zhi'chi'sheng 彼奸逆之炽盛
'bi'jing'shan'zhi'gao'cen 蔽荆山之高岑
'bi'ju'ya'er'gou'zhao 彼锯牙而钩爪
'bi'ling'jiang'er'jian'guo 彼凌江而建国
'bi'pai'bu'neng'jiu'yan'chi'zhi'xian 敝箄不能救盐池之咸
'bi'po'wei'lv 逼迫危虑
'bi'you'qu'gu'zhi'bei 必有去故之悲
'bian'chang'xing'zhi'ye'luo 辨常星之夜落
'bie'you'piao'yao'wu'wei 别有飘飖武威
'bin'yu'shi'si 滨于十死
'bing'heng'si'an 冰横似岸
'bing'ruo'lu'qiang 兵弱虏强
'bing'song'hua'zhi'yu'shi 禀嵩华之玉石
'bing'tian'ma'ku 兵填马窟
'bing'you'zhu'shu 并有著书
'bo'luan'zhi'zhu'hu'yan 拨乱之主忽焉
'bo'xi'shu'xi 伯兮叔兮
'bu'ke'wen'tian 不可问天
'bu'mian'zhi'dao'zhi'zai 不免轵道之灾
'bu'qi'chi'yi'xi'yi'xi 步栖迟以徙倚兮
'bu'wu'wei'ku'zhi'ci 不无危苦之辞
'bu'yi 不一
'bu'you'suo'fei 不有所废
'bu'ze'jing 步仄径
'cai'ren'zhi'yi'dai'jun 才人之忆代郡
'cai'wei'gong'zhi'lei'jin 蔡威公之泪尽
'cai'zi'bing'ming 才子并命
'cang'chuan'ying'wu'zhi'zhou 藏船鹦鹉之洲
'cang'ji'ze'zi'jin'yu'ji 藏疾则自矜于己
'cang'ying'chi'que 苍鹰赤雀
'cang'ying'ji'dian 苍鹰击殿
'cang'yun'ze'qi'chong'wei'zhen 苍云则七重围轸
'cao'mu'man'fa 草木蔓发
'cao'mu'zhi'yu'yang'chun 草木之遇阳春
'ce'qing'luo'er'zhuan'ai 策青骡而转碍
'ceng'he'zu'yi'shao'liu 曾何足以少留
'chai'ya'mi'li 豺牙密厉
'chan'yu'chang'wei'gao'yan 单于长围高宴
'chang'lin'gu'ying 长林故营
'chang'pan'huan'yi'fan'ce 怅盘桓以反侧
'chang'shan'zhi'zhen'she'ben'xue 常山之阵蛇奔穴
'chang'ting'duan'ting 长亭短亭
'chang'xing'shu'di 长星属地
'chang'zhou'mi'lu 长洲麋鹿
'chao'qin'wu'shu 巢禽无树
'chen'bai'ma'er'shi'zhong 沉白马而誓众
'chen'cai'ze'fang'cheng'qi'yu 沉猜则方逞其欲
'cheng'bai'ma'er'bu'qian 乘白马而不前
'cheng'beng'qi'fu'zhi'ku 城崩杞妇之哭
'cheng'gu'qi'gua 城孤气寡
'cheng'shi'zhe'zhi'chou'dui 称使者之酬对
'cheng'wei'shou'jiao 城危兽角
'cheng'xiang'ping'jin'hou'zhi'dai'shi 丞相平津侯之待士
'cheng'you'dan'wan 城犹弹丸
'cheng'zi'shui'yi'jiao'chuan 乘渍水以胶船
'chi'huo'xi'fen'qi 炽火兮焚旗
'chi'ming'li'zhi'zhou'yan 齿明离之胄筵
'chi'ping'shu'gu 池平树古
'chi'tai'zhong'gu 池台钟鼓
'chi'wu'ze'san'zhao'jia'ri 赤乌则三朝夹日
'chu'di'quan'zhi'cang'niao 出狄泉之苍鸟
'chu'ge'fei'qu'le'zhi'fang 楚歌非取乐之方
'chu'jie'qin'yuan 楚结秦冤
'chu'lan'chi'er'dian'wu 出兰池而典午
'chu'lao'xiang'feng 楚老相逢
'chu'shi'qin'wang 楚实秦亡
'chu'you'ji'jin'zhe 锄耰棘矜者
'chuan'ji'yang'er'ji'shen 川既漾而济深
'chuan'jing'lin'jiang'zhi'fu 穿径临江之府
'chui'luo'ye'zhi'pian'zhou 吹落叶之扁舟
'chun'qiu'die'dai 春秋迭代
'chun'shan'ke'wang 春山可望
'ci'dong'ting'xi'luo'mu 辞洞庭兮落木
'ci'qin'tong'yu'he'luo 辞亲同于河洛
'ci'shi'du'zuo 此时独坐
'cun'xu'ye'chong 村墟夜舂
'da'dao'yi'guo 大盗移国
'da'shi'qu'yi 大事去矣
'da'shu'piao'ling 大树飘零
'da'xue'yuan'chi 大雪冤耻
'da'ze'you'jing'you'ni 大则有鲸有鲵
'dai'lu'wei'zhi'dan'yi 待芦苇之单衣
'dai'xiong'fan'er'ju'shu 待熊蹯而讵熟
'dai'yong'jia'zhi'jian'yu 逮永嘉之艰虞
'dan'zuo'guan'yu'shi'bian 但坐观于时变
'dang'dai'chun'zhong 当待春中
'dao'gao'yu'he'shang 道高于河上
'deng'lou'fu 登楼赋
'deng'yang'cheng'er'bi'xian 登阳城而避险
'deng'zi'lou'yi'si'wang'xi 登兹楼以四望兮
'di'dao'neng'fang 地道能防
'di'ping'yu'chi 地平鱼齿
'di'ren'gui'yuan 敌人归元
'di'wei'hei'zi 地惟黑子
'di'ze'shi'gu'ming'shan 地则石鼓鸣山
'dian'xia'jiang'ou 殿狎江鸥
'diao'tai'xie'qu 钓台斜趣
'diao'tai'yi'liu 钓台栘柳
'diao'zhu'chi'yuan 钓渚池圆
'ding'li'yue 定礼乐
'dong'ling'lin'dou 东陵麟斗
'dong'men'ze'bian'shi'cheng'qiao 东门则鞭石成桥
'dou'fei'yan'zhi'chuan'lou 斗飞燕之船楼
'du'lin'jin'er'heng'chuan 渡临晋而横船
'du'yuan'kai'zhi'ping'sheng 杜元凯之平生
'duan'you'mu'chi 端忧暮齿
'duo'si'nang'xi 多思曩昔
'e'er'ti'chong'luan'wu 俄而梯冲乱舞
'e'jiao'bu'neng'zhi'huang'he'zhi'zhuo 阿胶不能止黄河之浊
'er'nai'jia'ke'xi'yu'guan'sai 尔乃假刻玺于关塞
'er'nai'jie'xia'gou'shan 尔乃桀黠构扇
'fan'huai'nan'zhi'qiong'kou 反淮南之穷寇
'fan'jiu'zhang'yu'si'li 反旧章于司隶
'fang'tang'shui'bai 方塘水白
'fei'du'si'gui'wang'zi 非独思归王子
'fei'sheng'ru'bao 吠声如豹
'fei'suo'wang'yu'lun'dou 非所望于论都
'fei'wu'bei'que'zhi'bing 非无北阙之兵
'fei'yu'guan'zhi'ke'wang 非玉关之可望
'fei'yu'sou'zhi'ke'yi'shan 非愚叟之可移山
'fei'yu'zhu'zhi'neng'tiao 非玉烛之能调
'fei'zi'tian'ji'qing'miao'zhe 非子天机清妙者
'fen'nan'yang'er'ci'tian 分南阳而赐田
'fen'quan'qiu'fei 愤泉秋沸
'feng'biao'dao'zu 风飙道阻
'feng'biao'lin'ran 风飚凛然
'feng'e'ban'zhi'ji'xian 逢鄂坂之讥嫌
'feng'fei'dian'san 风飞电散
'feng'fu'luo'zhi'lu'ji 逢赴洛之陆机
'feng'li'shen'zhi'yi'xun 奉立身之遗训
'feng'ling'ji'dian 冯陵畿甸
'feng'san'xing'zhi'dong'ju 逢三星之东聚
'feng'sui'xing'luo 烽随星落
'feng'tang'bu'lun'yu'jiang'shuai 冯唐不论于将帅
'feng'xiao'se'er'bing'xing'xi 风萧瑟而并兴兮
'fu'huang'long'er'du'jiang 负黄龙而渡江
'fu'jiao'mei'yuan 浮蛟没鸢
'fu'qi'niu'yang'zhi'li 负其牛羊之力
'fu'xie'zhi'dan'bei'shen'shi 傅燮之但悲身世
'fu'yu'shu'zhong'xiang'jian 复与疏钟相间
'gan'qi'fei'ping'rong'zhi'zhan 干戚非平戎之战
'gao'qiao'ji'lv 高桥羁旅
'ge'chuan'yan'yu'huai'si 戈船掩于淮泗
'geng'bu'yu'yu'fu'qiu 更不遇于浮丘
'gong'ming'ye'zhi 宫鸣野雉
'gong'si'tu'tan 公私涂炭
'gong'ye'yao'wang 功业夭枉
'gong'zhi'qi'yi'zu'xing 宫之奇以族行
'gong'zhu'zhi'qu'qing'he 公主之去清河
'gu'qi'yi'yi 固其宜矣
'gu'rong'xu'yao'yu'shan 顾荣虚摇羽扇
'gu'shan'shu'ke'guo 故山殊可过
'gu'wo'qi'zhe 鼓卧旗折
'guan'he'lei'nian 关河累年
'guan'shang'ni'qing 关上泥青
'guan'shou'wu'ben'wen'zhi'ren 官守无奔问之人
'guan'wei'xiao'er'ji'ming 关未晓而鸡鸣
'gui'huo'luan'yu'ping'lin 鬼火乱于平林
'gui'tong'cao'she'zhi'mou 鬼同曹社之谋
'gui'yu'feng'yu'zheng'shi 归馀风于正始
'guo'piao'zhu'er'ji'shi 过漂渚而寄食
'hai'chao'ying'jian 海潮迎舰
'han'feng'xiao'se 寒风萧瑟
'han'shan'yuan'huo 寒山远火
'he'nan'you'hu'shu'zhi'jie 河南有胡书之碣
'he'wu'bing'er'ma'du 河无冰而马渡
'he'zong'di'jiao 合从缔交
'heng'diao'ge'er'dui'ba'zhu 横雕戈而对霸主
'hu'jian'qin'ting 忽践秦庭
'hu'jun'kang'kai 护军慷慨
'hu'wei'hu'jia 虎威狐假
'hu'yan'zhi'wei'wang'shi'qin 狐偃之惟王实勤
'hua'shi'bi'ye 华实蔽野
'hua'ting'he'li 华亭鹤唳
'hua'yang'ben'ming 华阳奔命
'huai'hai'wei'yang 淮海维扬
'huang'gu'yi'yu'mo'ao 荒谷缢于莫敖
'hui'du'qian'chui 虺毒潜吹
'hun'ran'qian'li 浑然千里
'hun'yi'che'shu 混一车书
'huo'jian'zhong'er'hui'zhou 或箭重而回舟
'huo'yi'sun'yi'yan'pi 或以隼翼鷃披
'ji'er'fang'yu'cheng'wei 既而鲂鱼赪尾
'ji'er'qi'jiao'bei'jue 既而齐交北绝
'ji'feng'sang'luan 即逢丧乱
'ji'guan'zheng'er'li'ti 既官政而离逷
'ji'jian'hui'zhi'bi'ni 既奸回之奰逆
'ji'lv'jin'wei 羁旅金微
'ji'lv'wei'wang'zhi'yun 既履危亡之运
'ji'ma'yun'tun 冀马云屯
'ji'qing'li'er'zhuo'hai 既倾蠡而酌海
'ji'sui'zhe'yan 饥随蛰燕
'ji'sun'xing'ren 季孙行人
'ji'wang'dao'zhi'yi'ping'xi 冀王道之一平兮
'ji'wu'mou'yu'rou'shi 既无谋于肉食
'ji'yan'duo'yu'ji'ke 既言多于忌刻
'ji'yang'zhong'zhuang 济阳忠壮
'ji'yu'shen'er'qi'ye 洎余身而七叶
'jia'gao'qu'er'cheng'li 假高衢而骋力
'jia'yi'huang'qi'zi'qi 加以黄旗紫气
'jia'you'zhi'dao 家有直道
'jia'zhi'yi'xue 加之以血
'jian'bu'li'yu'liu'mi 箭不丽于六糜
'jian'chang'le'zhi'shen'gao 践长乐之神皋
'jian'chen'jie'zhou 奸臣介胄
'jian'hai'zhi'yue 建亥之月
'jian'hu'ke'yu'da'xia 见胡柯于大夏
'jian'ji'fan'yang 剑及繁阳
'jian'li'jia'zhi'wang'can 见离家之王粲
'jian'pi'fa'yu'yi'chuan 见披发于伊川
'jian'qin'che'yu'chang'gu 俴秦车于畅毂
'jian'yin'you'zhi'fang'shi 见殷忧之方始
