'ai'li'si 爱丽丝
'an'cang'zha'dan 暗藏炸弹
'bai'gu'long'ling 白骨龙灵
'bai'tu'xian'sheng 白兔先生
'ban'chang'ge'shou 伴唱鸽手
'ban'ren'ma 半人马
'ban'shou'zhu'li 扳手助理
'bao'feng'nv'shi 暴风女士
'bao'ping'gong'jiang 宝瓶工匠
'bao'zao'ling'zhu 暴躁领主
'bao'zi'nv'wu 孢子女巫
'beng'beng'lu 蹦蹦鹿
'bi'an'hua 彼岸花
'bian'se'long 变色龙
'bian'se'long'da'shi 变色龙大师
'bu'ying'cao 捕萤草
'cai'feng 裁缝
'cai'jue'zhe 裁决者
'cao'ling 草灵
'cha'hui'xian'sheng 茶会先生
'chang'gong 长弓
'chao'fan'xun'long'shi 超凡驯龙师
'chao'xi'zhi'li 潮汐之力
'chao'xie'bi 抄写笔
'chao'xie'yuan 抄写员
'chen'mo'de'diao'xiang 沉默的雕像
'chen'mo'fa'shi 沉默法师
'chen'si'zhe 沉思者
'cheng'shi'yue'shou 城市乐手
'cheng'zhang 成长
'chi'dun'zhan'shi 持盾战士
'chi'lun'shen'shi 齿轮绅士
'chi'lun'xue'tu 齿轮学徒
'chi'tiao'fu'ren 齿条夫人
'chong'neng'pao 充能炮
'chong'wu'mao 宠物猫
'chu'dan'zhi'huo 初诞之火
'chu'shi'xue'tu 厨师学徒
'chu'xing'zhe 处刑者
'chuan'shan'jia'di'di 穿山甲弟弟
'chuang'ru'zhe 闯入者
'ci'huo'long 雌火龙
'cong'lin'ju'ren 丛林巨人
'cong'lin'xiao'shou 丛林枭兽
'cui'mian'shi 催眠师
'da'chu 大厨
'da'di'zhi'long 大地之龙
'da'er'huo'quan 大耳火犬
'dai'dai'quan'ji'shou 呆呆拳击手
'dai'du'teng'wan 带毒藤蔓
'dan'gong 弹弓
'dan'mu'she'ji 弹幕射击
'dao'dan'long 捣蛋龙
'deng'guang'yao'ye 灯光摇曳
'deng'ling 灯灵
'deng'xin'po'po 灯芯婆婆
'di'ling'jian'gong 地灵监工
'di'ling'kuang'gong 地灵矿工
'di'ling'xun'dao'zhe 地灵殉道者
'diao'su'jia 雕塑家
'du'yan'diao'cha'yuan 独眼调查员
'du'yan'zhen'cha'yuan 独眼侦查员
'dui'zhang 队长
'dun'nu'shou 盾弩手
'dun'qiang 盾墙
'dun'ta 盾塔
'duo'hun'zhe 夺魂者
'duo'ming'shuang'ren 夺命双刃
