'a'luo'la 阿罗拉
'ai'xin'yin'zhang 愛心印章
'an'hei'bao'po 暗黑爆破
'an'hei'dong 暗黑洞
'an'xi'yao'hai 暗袭要害
'an'ying'qian'xi 暗影潜袭
'an'ying'qiu 暗影球
'an'ying'quan 暗影拳
'an'ying'tou'dao 暗影偷盗
'an'ying'zhao 暗影爪
'an'ying'zhi'gu 暗影之骨
'an'ying'zhi'guang 暗影之光
'ba'tou 巴投
'bai'wan'dun'zhong'quan 百万吨重拳
'bai'wan'dun'zhong'ti 百万吨重踢
'bai'wu 白雾
'ban'yan 扮演
'bang'jin 绑紧
'bang'zhu 帮助
'bao'chou 报仇
'bao'en 报恩
'bao'feng 暴风
'bao'feng'xue 暴风雪
'bao'fu 报复
'bao'hu'se 保护色
'bao'ke'meng 宝可梦
'bao'lie'quan 爆裂拳
'bao'yin'bo 爆音波
'bao'zha'lie'yan 爆炸烈焰
'bao'zha'tou'tu'ji 爆炸头突击
'bei'ke'jia'ji 贝壳夹击
'bei'ke'ren 贝壳刃
'bi'chui 臂錘
'bi'sha'men'ya 必杀门牙
'bian'shen 变身
'bian'xiao 变小
'bian'ying 变硬
'bian'yuan 变圆
'bing'bao 冰雹
'bing'chui 冰锤
'bing'dong'fu'te 冰冻伏特
'bing'dong'guang'shu 冰冻光束
'bing'dong'quan 冰冻拳
'bing'dong'ya 冰冻牙
'bing'dong'zhi'feng 冰冻之风
'bing'feng'shi'jie 冰封世界
'bing'li 冰砾
'bing'qiu 冰球
'bing'xi 冰息
'bing'zhu'zhui'ji 冰柱坠击
'bing'zhui 冰锥
'bo'dao'dan 波导弹
'bo'ming 搏命
'bo'wu'chang'di 薄雾场地
'bo'wu'qiu 薄雾球
'cai'ta 踩踏
'cao'di 草笛
'cao'zhi'shi'yue 草之誓约
'ceng'ceng'lian'jia 蹭蹭脸颊
'cha'feng 查封
'chan'rao 缠绕
'chang'ge 唱歌
'chang'hao 长嚎
'chao'ji'jiao'ji 超级角击
'chao'ji'shui'liu'da'xuan'wo 超级水流大漩涡
'chao'ji'xi'qu 超级吸取
'chao'jue'luo'xuan'lian'ji 超绝螺旋连击
'chao'nao 吵闹
'chao'qiang'ji'xian'bao'yan'dan 超强极限爆焰弹
'chao'xuan 潮旋
'chao'yin'bo 超音波
'chen'guang 晨光
'cheng'fa 惩罚
'chi'bang'gong'ji 翅膀攻击
'chi'lun'fei'pan 齿轮飞盘
'chong'dian 充电
'chong'dian'guang'shu 充电光束
'chong'lang 冲浪
'chong'ming 虫鸣
'chong'tian'quan 冲天拳
'chong'wu'xiao'jing'ling 宠物小精灵
'chong'yan 冲岩
'chong'yao 虫咬
'chong'zhi'di'kang 虫之抵抗
'chu'qi'yi'ji 出奇一击
'chuan'di'li'wu 传递礼物
'chui'fei 吹飞
'chui'peng 吹捧
'ci'chang'cao'kong 磁场操控
'ci'er'sheng 刺耳声
'ci'tie'zha'dan 磁铁炸弹
'cui'mian'fen 催眠粉
'cui'mian'shu 催眠术
'da'bao'zha 大爆炸
'da'cao'jie 打草结
'da'di'shen'li 大地神力
'da'di'zhang'kong 大地掌控
'da'di'zhi'li 大地之力
'da'ge 打嗝
'da'han 打鼾
'da'lei 打雷
'da'nao'yi'fan 大闹一番
'da'qing'tian 大晴天
'da'she'deng'yan 大蛇瞪眼
'da'sheng'pao'xiao 大声咆哮
'da'zi'bao'yan 大字爆炎
'dan'chun'guang'shu 单纯光束
'dang'lu 挡路
'deng'li'zi'yu 等离子浴
'deng'yan 瞪眼
'di'lie 地裂
'di'long'xiao'tian'da'zhong'jie 地隆啸天大终结
'di'qiu'shang'tou 地球上投
'di'yu'fan'gun 地狱翻滚
'di'yu'tu'ci 地狱突刺
'di'zhen 地震
'dian'ci'bo 电磁波
'dian'ci'pao 电磁炮
'dian'ci'piao'fu 电磁飘浮
'dian'dao 颠倒
'dian'dao'wei'zhi 点到为止
'dian'guang 电光
'dian'guang'yi'shan 电光一闪
'dian'ji 电击
'dian'ji'bo 电击波
'dian'qi'chang'di 电气场地
'dian'qiu 电球
'dian'wang 电网
'dian'xue 点穴
'diao'bao 掉包
'diao'bao 碉堡
'die'die'bu'xiu 喋喋不休
'die'wu 蝶舞
'ding'shen'fa 定身法
'du'fen 毒粉
'du'ji 毒击
'du'ling 毒菱
'du'si 毒丝
'du'wa'si 毒瓦斯
'du'wei 毒尾
'du'ye'chong'ji 毒液冲击
'du'ye'xian'jing 毒液陷阱
'du'zhen 毒针
'duan'tou'qian 断头钳
'duan'ya'zhi'jian 断崖之剑
'duo'jiao 跺脚
'duo'shu'xing'gong'ji 多属性攻击
'e'meng 恶梦
'e'mo'zhi'wen 恶魔之吻
'e'yi'zhui'ji 恶意追击
'e'zhi'bo'dong 恶之波动
'er'lian'ji 二连击
'er'lian'pi 二连劈
'er'lian'ti 二连踢
'fa'jin 发劲
