'an'chong'an'hui'you'wei'xi 暗冲暗会尤为喜
'an'chu'xun'zhen'ye'you'zhen 暗处寻真也有真
'ba'ge 八格
'bai'di'feng'chong'zi'xi'tui 败地逢冲仔细推
'ban'ju'xian'shen'ren'xian'zhe 半局闲神任闲着
'ban'zhuo'ban'qing'you'shi'ke 半浊半清犹是可
'bao'yi'er'xiao 抱乙而孝
'bi'chong'wo'xi'jie'chong'qi 彼冲我兮皆冲起
'bian'shi'zhu'si'bing'shou'ling 便是诸司并首领
'bing'huo'meng'lie 丙火猛烈
'bing'quan'xie'zhi'bian'guan'ke 兵权獬豸弁冠客
'bu'chou'huo'tu 不愁火土
'bu'chou'mu'sheng 不愁木盛
'bu'guan'bai'xue'yu'ming'yue 不管白雪与明月
'bu'ke'guo'ye 不可过也
'bu'ke'ni'zhe 不可逆者
'bu'ke'pian'ye 不可偏也
'bu'ke'shi'di'de'mo'zhi'zai 不可使地德莫之载
'bu'ke'shi'tian'dao'mo'zhi'rong 不可使天道莫之容
'bu'ke'yi'bu'bian 不可以不辨
'bu'ke'yi'bu'bu 不可以不卜
'bu'ke'yi'yi'duan'lun'ye 不可以一端论也
'bu'ke'yi'yi'pian'qiu'ye 不可以一偏求也
'bu'lun'geng'xin 不论庚辛
'bu'ming'bu'an'shou'kun'dun 不明不暗受困顿
'bu'wei'shui'kuang 不畏水狂
'bu'yong'he'fang'mo'dong'ta 不用何妨莫动它
'cai'de 才德
'cai'guan'yin'shou'fen'pian'zheng 财官印绶分偏正
'cai'qi'tong'men'hu 财气通门户
'cai'shen'fan'bu'zhen 财神反不真
'cai'sheng'de'zhe'yong'xian'duo'neng'zhi'xiang 才胜德者用显多能之象
'chen'bu'ke'guo'ye 臣不可过也
'chen'xiang 臣象
'cheng'bu'du'cheng 成不独成
'cheng'fang'gan'tian'yi'yuan'shen 成方干添一元神
'cheng'ju'gan'tou'yi'guan'xing 成局干透一官星
'cheng'yang'hu'zhi'huan 成养虎之患
