'ai'wu'yu 爱恶欲
'ba'bai'zai 八百载
'ba'shi'er 八十二
'bai'er'qian 百而千
'bei'yuan'wei 北元魏
'ben'hu'shu 本乎数
'bi'bu'jiao 彼不教
'bi'ji'cheng 彼既成
'bi'ji'lao 彼既老
'bi'ji'shi 彼既仕
'bi'nv'zi 彼女子
'bi'sui'you 彼虽幼
'bi'wu'shu 彼无书
'bi'ying'wu 彼颖悟
'bi'you'chu 必有初
'bie'shan'e 别善恶
'bing'zhong'guo 并中国
'bu'cheng'qi 不成器
'bu'rong'wen 不容紊
'bu'ru'wu 不如物
'bu'zai'chuan 不再传
'bu'zhi'yi 不知义
'cai'wen'ji 蔡文姬
'can'tu'si 蚕吐丝
'chao'yu'si 朝于斯
'chen'ze'zhong 臣则忠
'cheng'gan'ge 逞干戈
'cheng'san'wang 称三王
'cheng'sheng'shi 称盛世
'cheng'wu'dai 称五代
'chu'han'zheng 楚汉争
'chu'sui'luan 除隋乱
'chuan'er'shi 传二世
'chuan'jian'wen 传建文
'chuang'guo'ji 创国基
'chun'qiu'zuo 春秋作
'ci'jian'wen 次见闻
'ci'liu'chu 此六畜
'ci'liu'gu 此六谷
'ci'shi'yi 此十义
'ci'si'fang 此四方
'ci'si'shi 此四时
'ci'wu'chang 此五常
'ci'wu'xing 此五行
'cun'zhi'ti 存治体
'cuo'qi'yao 撮其要
'da'xiao'dai 大小戴
'dai'chong'zhen 迨崇祯
'dai'mie'liao 迨灭辽
'dai'zhi'sui 迨至隋
'dang'feng'yong 当讽咏
'dang'jiang'qiu 当讲求
'dang'xiao'zhi 当效之
'dang'zi'jing 当自警
'dao'liang'shu 稻粱菽
'di'hao'fen 帝号纷
'di'yu'chang 弟于长
'di'ze'gong 弟则恭
'dou'yan'shan 窦燕山
'du'jin'ling 都金陵
'du'lu'lun 读鲁论
'du'shi'zhe 度史者
'du'shu'ji 读书籍
'du'zhu'shi 读诸史
'duan'ji'zhu 断机杼
'dui'da'ting 对大廷
'er'nan'zi 尔男子
'er'shi'chuan 二十传
'er'shi'pian 二十篇
'er'shi'qi 二十七
'er'xiao'sheng 尔小生
'er'you'xue 尔幼学
'er'zhi'lun 而之伦
'fan'xun'meng 凡训蒙
'fang'du'zi 方读子
'fang'qi'sui 方七岁
'fang'shao'shi 方少时
'fang'si'si 方四祀
'fei'suo'yi 非所宜
'fen'dong'xi 分东西
'feng'niang'mi 蜂酿蜜
'fu'er'shen 父而身
'fu'fu'cong 夫妇从
'fu'fu'shun 夫妇顺
'fu'zhi'guo 父之过
'fu'zi'en 父子恩
'fu'zi'qin 父子亲
'gao'zeng'zu 高曾祖
'gao'zu'xing 高祖兴
'gou'bu'jiao 苟不教
'gou'bu'xue 苟不学
'gu'sheng'xian 古圣贤
'guang'wu'xing 光武兴
'guang'yu'qian 光于前
'gui'yi'zhuan 贵以专
'guo'hao'shang 国号商
'guo'nai'gai 国乃改
'han'ye'jian 汉业建
'hao'er'di 号二帝
'hao'liu'jing 号六经
'hao'san'guo 号三国
'hao'san'huang 号三皇
'hao'si'shi 号四诗
'he'wei'ren 曷为人
'ji'han'zhou 及汉周
'ji'lao'zhuang 及老庄
'ji'qi'shi 记其事
'ji'quan'shi 鸡犬豕
'ji'shan'yan 记善言
'ji'si'chen 鸡司晨
'jia'sui'pin 家虽贫
'jia'tian'xia 家天下
'jian'rong'di 兼戎狄
'jiang'dao'de 讲道德
'jiao'bu'yan 教不严
'jiao'wu'zi 教五子
'jiao'zhi'dao 教之道
'jie'you'you 皆有由
'jie'zhi'zai 戒之哉
'jin'man'ying 金满籝
'jin'xu'xie 金绪歇
'jing'ji'ming 经既明
'jing'si'fang 靖四方
'jing'zi'tong 经子通
'jiu'qin'shi 久亲师
'ju'shang'shi 居上世
'ju'shen'tong 举神童
'jun'chen'yi 君臣义
'jun'ze'jing 君则敬
'kao'shi'lu 考实录
'kao'shi'xi 考世系
'ke'da'ding 克大定
'kou'er'song 口而诵
'kui'duo'shi 魁多士
'lao'he'wei 老何为
'li'chun'qiu 礼春秋
'li'yue'bei 礼乐备
'li'zhi'xin 礼智信
'liang'chen'cheng 梁陈承
'liang'mie'zhi 梁灭之
'liang'tang'jin 梁唐晋
'liao'yu'jin 辽与金
'liu'bai'zai 六百载
'lun'yu'zhe 论语者
'ma'niu'yang 马牛羊
'mai'shu'ji 麦黍稷
'mei'shan'shi 煤山逝
'meng'zi'zhe 孟子者
'mi'qi'sui 泌七岁
'mian'er'zhi 勉而致
'ming'ju'dou 名句读
'ming'ju'yang 名俱扬
'ming'tai'zu 明太祖
'mu'jin'tu 木金土
'mu'shi'jin 木石金
'nai'ba'yin 乃八音
'nai'da'tong 乃大同
'nai'jiu'zu 乃九族
'nai'zeng'zi 乃曾子
'nan'bei'hun 南北混
'neng'bian'qin 能辨琴
'neng'fu'qi 能赋棋
'neng'rang'li 能让梨
'neng'wen'xi 能温席
'neng'yong'shi 能咏诗
'neng'yong'yin 能咏吟
'pao'tu'ge 匏土革
'pi'pu'bian 披蒲编
'qi'liang'jin 迄两晋
'qi'pian'zhi 七篇止
'qi'qing'ju 七情具
'qi'xiong'chu 七雄出
'qi'yi'shi 起义师
'qian'bei'jing 迁北京
'qian'er'wan 千而万
'qian'xia'she 迁夏社
'qie'cong'min 且聪敏
'qie'zhi'mian 且知勉
'qin'shi'you 亲师友
'qin'you'gong 勤有功
'qing'tai'zu 清太祖
'qing'zuo'zhong 清祚终
'quan'shou'ye 犬守夜
'qun'di'zi 群弟子
'ren'bu'xue 人不学
'ren'cheng'qi 人称奇
'ren'suo'shi 人所食
'ren'suo'si 人所饲
'ren'suo'tong 人所同
'ren'yi'zi 人遗子
'ren'zhi'chu 人之初
'ri'yue'xing 日月星
'rong'si'sui 融四岁
'ru'fu'xin 如负薪
'ru'gua'jiao 如挂角
'ru'liu'jing 如六经
'ru'nang'ying 如囊萤
'ru'ying'xue 如映雪
'ruo'liang'hao 若梁灏
'ruo'qin'mu 若亲目
'san'bai'zai 三百载
'san'cai'zhe 三才者
'san'chuan'zhe 三传者
'san'gang'zhe 三纲者
'san'guang'zhe 三光者
'san'yi'xiang 三易详
'san'zi'jing 三字经
'shang'qin'xue 尚勤学
'shang'you'shui 尚游说
'shang'you'tang 商有汤
'shang'zhi'jun 上致君
'shen'er'zi 身而子
'shen'ji'shi 身己仕
'shen'sui'lao 身虽劳
'shi'ba'chuan 十八传
'shi'chun'qiu 始春秋
'shi'er'bai 十而百
'shi'er'shi 十二世
'shi'fa'fen 始发愤
'shi'ji'wang 诗既亡
'shi'jian'bing 始兼并
'shi'ke'du 始可读
'shi'mou'wen 识某文
'shi'shu'yi 诗书易
'shi'tong'xu 失统绪
'shi'xiang'tuo 师项橐
'shi'zhi'duo 师之惰
'shi'zhu'zhou 始诛纣
'shou'xiao'di 首孝弟
'shou'zhou'chan 受周禅
'shu'sheng'yan 述圣言
'shu'zhi'ao 书之奥
'shuo'ren'yi 说仁义
'si'bai'nian 四百年
'si'bai'zai 四百载
'si'shu'shu 四书熟
'song'qi'ji 宋齐继
'song'you'cun 宋犹存
'su'lao'quan 苏老泉
'suo'dang'zhi 所当执
'tang'fa'xia 汤伐夏
'tang'gao'zu 唐高祖
'tang'liu'yan 唐刘晏
'tang'you'yu 唐有虞
'tian'di'ren 天地人
'tong'gu'jin 通古今
'tou'xuan'liang 头悬梁
'wang'gang'duo 王纲堕
'wang'mang'cuan 王莽篡
'wei'dong'han 为东汉
'wei'nan'chao 为南朝
'wei'ren'zi 为人子
'wei'shu'wu 魏蜀吴
'wei'xue'zhe 为学者
'wei'yi'jing 惟一经
'wen'zhong'zi 文中子
'wo'jiao'zi 我教子
'wo'zhou'gong 我周公
'wu'ba'qiang 五霸强
'wu'zi'zhe 五子者
'xi'li'yi 习礼仪
'xi'meng'mu 昔孟母
'xi'wu'yi 戏无益
'xi'xiang'yuan 习相远
'xi'yu'si 夕于斯
'xi'zhong'ni 昔仲尼
'xia'chuan'zi 夏传子
'xia'you'yu 夏有禹
'xia'ze'min 下泽民
'xian'fu'mu 显父母
'xiang'jiu'ling 香九龄
'xiang'xun'gu 详训诂
'xiang'yi'xun 相揖逊
'xiao'jing'tong 孝经通
'xiao'xue'zhong 小学终
'xiao'yu'qin 孝于亲
'xiao'zhu'jian 削竹简
'xie'dao'yun 谢道韫
'xin'er'wei 心而惟
'xing'ben'shan 性本善
'xing'gao'qi 兴高齐
'xing'nai'qian 性乃迁
'xing'xiang'jin 性相近
'xiong'ze'you 兄则友
'xu'jiang'jiu 须讲究
'xue'bu'zhui 学不缀
'xue'qie'qin 学且勤
'yan'song'xing 炎宋兴
