'a'ji'mi'de'wo'gan 阿基米德蜗杆
'an'quan'jian'kong 安全监控
'an'quan'jian'kong'xi'tong'tu 安全监控系统图
'an'quan'ping'gu 安全评估
'an'quan'xi'shu 安全系数
'an'quan'zai'he 安全载荷
'an'zhuang'wei'xiu 安装维修
'ao'mian 凹面
'ao'mian'fu'hao 凹面符号
'ba'tou 耙头
'ba'zhuang'ji 耙装机
'bai'dong'cong'dong'jian 摆动从动件
'bai'dong'cong'dong'jian'tu'lun'ji'gou 摆动从动件凸轮机构
'bai'dong'dao'gan'ji'gou 摆动导杆机构
'bai'xian'chi'lun 摆线齿轮
'bai'xian'chi'xing 摆线齿形
'bai'xian'yun'dong'gui'lv 摆线运动规律
'ban'jing'che 半精车
'ban'jing'heng'mo'nei'kong 半精珩磨内孔
'ban'liao'chong'ya 板料冲压
'ban'yuan'jian 半圆键
'bao'chi'jia 保持架
'bao'jiao 包角
'bei'dui'bei'an'zhuang 背对背安装
'bei'zhui 背锥
'bei'zhui'jiao 背锥角
'bei'zhui'ju 背锥距
'bi'li 比例
'bi'li'chi 比例尺
'bi'lian'ji'gou 闭链机构
'bi'shi'lian 闭式链
'bian'fu'xiao'che'qian'yin'ji'gou 变幅小车牵引机构
'bian'su 变速
'bian'su'qi 变速器
'bian'su'xiang 变速箱
'bian'su'xiang'ti 变速箱体
'bian'wei'chi'lun 变位齿轮
'bian'wei'xi'shu 变位系数
'bian'xing 变形
'bian'xing'li 变形力
'biao'mian'chuan're'xi'shu 表面传热系数
'biao'mian'cu'cao'du 表面粗糙度
'biao'mian'ying'du 表面硬度
'biao'mian'zhi'liang'xi'shu 表面质量系数
'biao'ti'lan 标题栏
'biao'zhun'chi'lun 标准齿轮
'biao'zhun'gong'cha 标准公差
'biao'zhun'jian 标准件
'biao'zhun'xing'tan'huang'dian'quan 标准型弹簧垫圈
'biao'zhun'zhi'chi'lun 标准直齿轮
'bing'lian'ji'gou 并联机构
'bing'lian'shi'zu'he 并联式组合
'bing'lian'zu'he'ji'gou 并联组合机构
'bing'xing'she'ji 并行设计
'bo'fa'sheng'qi 波发生器
'bo'shu 波数
'bu'jin'dian'ji 步进电机
'bu'ke'jian'leng'bian'xian 不可见棱边线
'bu'ke'jian'lun'kuo'xian 不可见轮廓线
'bu'ping'heng 不平衡
'bu'ping'heng'liang 不平衡量
'bu'ping'heng'xiang'wei 不平衡相位
'bu'wan'quan'chi'lun'ji'gou 不完全齿轮机构
'ca'tu'pian 擦图片
'cai'mei'er'dui 采煤二队
'cai'mei'yi'dui 采煤一队
'can'yu'ying'li 残余应力
'cao'lun 槽轮
'cao'lun'ji'gou 槽轮机构
'cao'shu 槽数
'cao'tu'lun 槽凸轮
'cao'zong'ji'kong'zhi'zhuang'zhi 操纵及控制装置
'ce'chui'mian 侧垂面
'ce'chui'xian 恻垂线
'ce'li'tou'ying'mian 侧立投影面
'ce'ping'mian 侧平面
'ce'ping'xian 侧平线
'ce'xi 侧隙
'cha'chi 插齿
'cha'dong'lun'xi 差动轮系
'cha'dong'luo'xuan'ji'gou 差动螺旋机构
'chang'yong'ji'gou 常用机构
'chao'sheng'chuan'gan'qi 超声传感器
'che'chuang 车床
'che'dao 车刀
'che'jia 车架
'che'mian 撤面
'che'xiao 车削
'chen'kong 沉孔
'cheng'dui'an 成对安
'cheng'zai'liang'xi'shu 承载量系数
'cheng'zai'neng'li 承载能力
'chi'cao 齿槽
'chi'cao'kuan 齿槽宽
'chi'ce'jian'xi 齿侧间隙
'chi'cun'biao'zhu 尺寸标注
'chi'cun'gong'cha 尺寸公差
'chi'cun'ji'zhun 尺寸基准
'chi'cun'jie'xian 尺寸界线
'chi'cun'xi'lie 尺寸系列
'chi'ding'gao 齿顶高
'chi'ding'yuan 齿顶圆
'chi'ding'yuan'xian 齿顶圆线
'chi'gen'ding'dian'ju 齿根顶点距
'chi'gen'gao 齿根高
'chi'gen'xian 齿根线
'chi'gen'yuan 齿根圆
'chi'hou 齿厚
'chi'ju 齿距
'chi'kuan 齿宽
'chi'kuo 齿廓
'chi'kuo'qu'xian 齿廓曲线
'chi'lun 齿轮
'chi'lun'beng 齿轮泵
'chi'lun'bian'su'xiang 齿轮变速箱
'chi'lun'cha'dao 齿轮插刀
'chi'lun'chi'tiao 齿轮齿条
'chi'lun'chi'tiao'ji'gou 齿轮齿条机构
'chi'lun'chuan'dong'xi 齿轮传动系
'chi'lun'jia'gong 齿轮加工
'chi'lun'lian'zhou'qi 齿轮联轴器
'chi'lun'lun'pi 齿轮轮坯
'chi'pi'tu 齿坯图
'chi'shi'ji'lun'ji'gou 齿式棘轮机构
'chi'shu 齿数
'chi'shu'bi 齿数比
'chi'tiao 齿条
'chi'tiao'cha'dao 齿条插刀
'chi'xing'lian 齿形链
'chi'xing'xi'shu 齿形系数
'chong'he'dian 重合点
'chong'he'du 重合度
'chong'he'duan'mian'de'lun'kuo'xian 重合断面的轮廓线
'chu'cha 出碴
'chuan'dong 传动
'chuan'dong'bi 传动比
'chuan'dong'dai 传动带
'chuan'dong'jiao 传动角
'chuan'dong'lian 传动链
'chuan'ji'tiao'su 串级调速
'chuan'lian'shi'zu'he 串联式组合
'chuan'lian'shi'zu'he'ji'gou 串联式组合机构
'chui'zhi'zai'he 垂直载荷
'chun'xing'xiang'jiao'mi'feng 唇形橡胶密封
'ci'liu'ti'zhou'cheng 磁流体轴承
'cong'dong'dai'lun 从动带轮
'cong'dong'jian 从动件
'cong'dong'jian'ping'di'kuan'du 从动件平底宽度
'cong'dong'jian'ting'xie 从动件停歇
'cong'dong'jian'yun'dong'gui'lv 从动件运动规律
'cong'dong'lun 从动轮
'cong'dong'zhui'chi'lun 从动锥齿轮
'cu'che'tu 粗车图
'cu'dian'hua'xian 粗点画线
'cu'heng'mo'nei'kong 粗珩磨内孔
'cu'jia'gong 粗加工
'cu'tang'nei'kong 粗镗内孔
'cu'xu'xian 粗虚线
'cu'ya'luo'wen 粗牙螺纹
'cui'huo 淬火
'cui'huo'leng'que 淬火冷却
'cui'xing'cai'liao 脆性材料
'da'chi'lun 大齿轮
'da'jing 大径
'dai'chuan'dong 带传动
'dai'shi'zhi'dong'qi 带式制动器
'dan'lie'zhou'cheng 单列轴承
'dan'wan'xiang'lian'zhou'jie 单万向联轴节
'dan'xiang'fa 单向阀
'dan'xiang'tui'li'zhou'cheng 单向推力轴承
'dang'ban 挡板
'dang'liang'chi'lun 当量齿轮
'dang'liang'chi'shu 当量齿数
'dang'liang'mo'ca'xi'shu 当量摩擦系数
'dang'liang'zai'he 当量载荷
'dao'cheng 导程
'dao'cheng'jiao 导程角
'dao'gui 导轨
'dao'jian 刀尖
'dao'jiao 倒角
'dao'ju 刀具
'dao'lun'chi 倒轮齿
'deng'fen'yuan'zhou 等份圆周
'deng'jia'deng'jian'su'yun'dong'gui'lv 等加等减速运动规律
'deng'jing'tu'lun 等径凸轮
'deng'kuan'tu'lun 等宽凸轮
'deng'su'yun'dong'gui'lv 等速运动规律
'deng'xiao'dong'li'xue'mo'xing 等效动力学模型
'deng'xiao'gou'jian 等效构件
'deng'xiao'li 等效力
'deng'xiao'li'ju 等效力矩
'deng'xiao'liang 等效量
'deng'xiao'zhi'liang 等效质量
'deng'xiao'zhuan'dong'guan'liang 等效转动惯量
'di'fu 低副
'dian'dong'ji 电动机
'dian'han'feng 点焊缝
'dian'hua'xue'fu'shi 电化学腐蚀
'dian'huo'hua'jia'gong 电火花加工
'dian'huo'hua'xian'qie'ge'jia'gong 电火花线切割加工
'dian'pian 垫片
'dian'pian'mi'feng 垫片密封
'dian'quan 垫圈
'die'xing'tan'huang 碟形弹簧
'ding'sheng'chai'xie 顶升拆卸
'ding'wei'chi'cun 定位尺寸
'ding'wei'wei'zhi'gong'cha 定位位置公差
'ding'xi 顶隙
'ding'xiang'wei'zhi'gong'cha 定向位置公差
'ding'xing'chi'cun 定形尺寸
'ding'zhou'lun'xi 定轴轮系
'dong'feng'jing 东风井
'dong'li'run'hua 动力润滑
'dong'li'xue 动力学
'dong'mi'feng 动密封
'dong'neng 动能
'dong'ping'heng'ji 动平衡机
'dong'tai'fen'xi'she'ji 动态分析设计
'dong'ya'li 动压力
'dong'zai'he 动载荷
'du'jing'sen 杜景森
'duan'lie 断裂
'duan'mian'can'shu 端面参数
'duan'mian'chi'ju 端面齿距
'duan'mian'chong'he'du 端面重合度
'duan'mian'mo'shu 端面模数
'duan'mian'ya'li'jiao 端面压力角
'duan'zhong'xin'xian 短中心线
'dui'chen'xun'huan'ying'li 对称循环应力
'dui'chen'zhong'xin'xian 对称中心线
'dui'xin'gun'zi'cong'dong'jian 对心滚子从动件
'dui'xin'qu'bing'hua'kuai'ji'gou 对心曲柄滑块机构
'dui'xin'yi'dong'cong'dong'jian 对心移动从动件
'dui'xin'zhi'dong'cong'dong'jian 对心直动从动件
'dui'zhong'fu'hao 对中符号
'duo'lie'zhou'cheng 多列轴承
