'a'duo'nuo 阿多诺
'ao'si'gu'de'mo'shi 奥斯古德模式
'ba'guan'ren 把关人
'ba'quan 霸权
'bao'kan'de'si'zhong'li'lun 报刊的四种理论
'bei'lei'er'sen 贝雷尔森
'ben'tu'hua 本土化
'bian'liang 变量
'bian'ma 编码
'chan'shi'li'lun 阐释理论
'chang'lun 场论
'chang'yu 场域
'chao'ji'wen'ben 超级文本
'chen'mo'de'luo'xuan'mo'shi 沉默的螺旋模式
'chou'yang'diao'cha 抽样调查
'chuan'bo 传播
'chuan'bo'dan'wei 传播单位
'chuan'bo'de'gong'neng 传播的功能
'chuan'bo'de'shu'xue'li'lun 传播的数学理论
'chuan'bo'mo'shi 传播模式
'chuan'bo'qu'dao 传播渠道
'chuan'bo'sheng'tai 传播生态
'chuan'bo'xiao'guo 传播效果
'chuan'bo'xin'li'xue 传播心理学
'chuan'bo'xue 传播学
'chuan'bo'yan'jiu 传播研究
'chuan'bo'zhe 传播者
'chuan'bo'zheng'zhi'jing'ji'xue 传播政治经济学
'chuan'mei'chan'ye 传媒产业
'cong'zhong 从众
'da'zhong 大众
'da'zhong'chuan'bo 大众传播
'da'zhong'chuan'bo'mei'jie 大众传播媒介
'da'zhong'chuan'bo'xue 大众传播学
'da'zhong'chuan'mei 大众传媒
'da'zhong'wen'hua 大众文化
'dan'xiang'chuan'bo 单向传播
'di'qiu'cun 地球村
'di'san'ren'xiao'guo 第三人效果
'di'yi'ren'xiao'guo 第一人效果
'dian'zi'kong'jian 电子空间
'diao'cha'yan'jiu'fang'fa 调查研究方法
'ding'xing'yan'jiu'fa 定性研究法
'du'wei 杜威
'duo'ji'chuan'bo'mo'shi 多级传播模式
'er'yuan'jia'zhi'ping'pan 二元价值评判
'fa'lan'ke'fu'xue'pai 法兰克福学派
'fan'shi 范式
'fei'yu'yan'chuan'bo 非语言传播
'fei'yu'yan'fu'hao 非语言符号
'fu'hao 符号
'fu'hao'xue 符号学
'ge'an'yan'jiu'fa 个案研究法
'ge'lun'bi'ya'xue'pai 哥伦比亚学派
'gong'gong'guan'xi 公共关系
'gong'ju'zhi'zao'zhe 工具制造者
'gong'neng'li'lun 功能理论
'gong'ping'hua 公平化
'gong'zhong'yu'lun 公众舆论
'ha'qin'si 哈钦斯
'han'hua'li'lun 涵化理论
'hu'dong'chuan'bo 互动传播
'hua'yu'fen'xi 话语分析
'hua'yu'li'lun 话语理论
'huo'er 霍尔
'huo'fu'lan 霍夫兰
'huo'ke'hai'mo 霍克海默
'ji'you'qing'xiang'jia'shuo 既有倾向假说
'jie'gou'hua 结构化
'jie'gou'zhu'yi 结构主义
'jie'gou'zhu'yi 解构主义
'jie'ma 解码
