'a'li'man'jian'cha'shi 阿里曼监察使
'a'li'man'ru'jiao'zhu'ji'si 阿里曼入教主祭司
'a'luo'han'chuan 阿罗汉传
'an'ma'ne'ba'mi'niu'pin 唵嘛呢叭咪牛品
'ao'xue'zhan'yi 傲血战意
'ao'yi'jue 奥义诀
'ba'dao 霸刀
'ba'dao'shan'zhuang 霸刀山庄
'ba'ling 巴陵
'ba'ling'xian 巴陵县
'ba'xian'chuan 八仙传
'bai'hu 白虎
'bai'hu'dan'fa 白虎丹法
'bai'hua'fu'xue'shou 百花拂穴手
'bai'hua'tu 百花图
'bai'hui 百会
'bai'ju 白驹
'bai'niao'xian'hua 百鸟献花
'bai'xiang'shi'zi'pin 白象狮子品
'bai'yi'xue'mo'wang'yi'feng 白衣雪魔王遗风
'bai'zhan'su'sha'zhen 百战肃杀阵
'bang'hua'sui'liu 傍花随柳
'bao'can'shi 抱残式
'bao'chuan 宝传
'bao'shuo 报说
'bei'nv'ren 背女人
'bei'shui'yu'hu'pin 杯水与湖品
'ben'lai'wu'yi'wu 本来无一物
'ben'lei'qiang'shu 奔雷枪术
'ben'shen 本神
'bi'shui'tao'tian 碧水滔天
'bi'su 壁宿
'bi'su 毕宿
'bi'zhang 笔章
'bi'zhen 彼针
'biao'ju'lian'meng 镖局联盟
'bie'shan'seng 别山僧
'bing'ning 冰凝
'bing'xin'jue 冰心诀
'bo're'bo'luo'mi'duo'xin'jing 般若波罗密多心经
'bo're'jue 般若诀
'bo're'yao'jue 般若要诀
'bo'zhong'zhen'li'pin 播种真理品
'bo'zhou'shang'hui 播州商会
'bu'dong'ming'wang 不动明王
'bu'feng'shi 捕风式
'bu'gan'shuo'ku 不敢说苦
'bu'mei'yin'guo 不昧因果
'cai'ge 采葛
'cai'jin 采金
'cai'lian'qu 采莲曲
'cai'lian'qu'er'shou 采莲曲二首
'can'su 参宿
'cang'jian 藏剑
'cang'jian'shan'zhuang 藏剑山庄
'cang'yue 沧月
'cao'xue'yang 曹雪阳
'chan'na 禅那
'chang'an 长安
'chang'ge 长歌
'chang'ge'men 长歌门
'chang'qiang 长强
'chang'quan 长拳
'chang'wan'shan 常万山
'chang'xiang'si 长相思
'chang'zhen 长针
'chao'lu 抄录
'chen'gong 臣工
'chen'he'shang 陈和尚
'chen'xiang'pi'shan 沉香劈山
'chen'yi'chao'shi'yuan'du'chan'jing 晨诣超师院读禅经
'cheng'bei 澄悲
'cheng'guang 澄广
'cheng'jiang 承浆
'cheng'li 澄理
'cheng'ling 承灵
'cheng'ru 澄如
'cheng'shi 澄实
'cheng'tong 澄通
'cheng'xin 澄信
'cheng'yin 澄隐
'cheng'zheng 澄正
'cheng'zhi 澄智
'chong'mai 冲脉
'chong'xu'dan'shu 冲虚丹术
'chu'kuang'jie'yu 楚狂接舆
'chu'ri 初日
'chu'sai 出塞
'chu'shi'men 出石门
'chu'you 出游
'chu'you'gan'ku 出游感苦
'chuan'yun 穿云
'chun'ni'hu'hua 春泥护花
'chun'wang'chi'han 唇亡齿寒
'chun'xiao 春晓
'chun'yang 纯阳
'chun'yang'gong 纯阳宫
'chun'yang'jue 纯阳诀
'chun'yang'li'jiao'lun 纯阳立教论
'chun'yang'mi'lu 纯阳秘录
'cong'jun'xing 从军行
'cun'si'bu'gua 寸丝不挂
'da'he 大赫
'da'huan'dan 大还丹
'da'li'jin'gang'zhang 大力金刚掌
'da'mo'wu'jue 达摩武诀
'da'mo'xi'sui'jing 达摩洗髓经
'da'sa'ta'po'pin 大萨他婆品
'da'shi'zi'hou 大狮子吼
'da'zang'jing 大藏经
'da'zhen 大针
'da'zhui 大椎
'dai'mai 带脉
'dai'ruo'mu'ji 呆若木鸡
'dan'xia'shao'fo 丹霞烧佛
'dao'de'jing 道德经
'dao'xiang'cun 稻香村
'dao'yi 刀意
'dao'yi'you'dao 盗亦有道
'dao'zong 刀宗
'deng'wen'feng 邓文峰
'di'ba'jue 第八诀
'di'ba'zhang 第八章
'di'can'long'xiang 帝骖龙翔
'di'er'jue 第二诀
'di'er'shi 第二式
'di'er'zhang 第二章
'di'hua 荻花
'di'hua'gong 荻花宫
'di'jiu'jue 第九诀
'di'jiu'zhang 第九章
'di'liu'jue 第六诀
'di'liu'zhang 第六章
'di'qi'jue 第七诀
'di'qi'zhang 第七章
'di'san'jue 第三诀
'di'san'shi 第三式
'di'san'xian 地三鲜
'di'san'zhang 第三章
'di'shi'er'jue 第十二诀
'di'shi'jue 第十诀
'di'shi'yi'jue 第十一诀
'di'si'jue 第四诀
'di'si'shi 第四式
'di'si'zhang 第四章
'di'su 氐宿
'di'wu'jue 第五诀
'di'wu'shi 第五式
'di'wu'zhang 第五章
'di'yi'jue 第一诀
'di'yi'shi 第一式
'di'yi'zhang 第一章
'dian'xue'jie'mai 点穴截脉
'die'nong'zu 蝶弄足
'ding'du'hu'ge 丁督护歌
'ding'jun 定军
'dong'fang'yu'xuan 东方宇轩
'dong'jia'yi'lao'po 东家一老婆
'dong'li'zhai 东漓寨
'dong'ri'yan 冬日宴
'dong'shan'kai'wu'shi 洞山开悟诗
'dou'fu'yu 豆腐鱼
'dou'ji'ji'he'nan'dao 都畿及河南道
'dou'su 斗宿
'du'bu'jian 独不见
'du'gua'bu'jiang 渡瓜步江
'du'ji'xin 杜姬欣
'du'lan 毒览
'du'mai 督脉
'du'shi'ruo'lan 毒尸若兰
