'a'lai'ye'shi 阿赖耶识
'an'qiao 按跷
'an'wu 案扤
'ba'kuang 八狂
'ba'shi'zi 八十字
'bai'hui 百会
'bai'jing'shi 白净识
'bai'yun'zi'dao'yin'fa 白云子导引法
'bao'guan'tai'xi'fa 宝冠胎息法
'bao'jing 宝精
'bei'xin'pu'yun 悲心普运
'bi'fang'hu 闭房户
'bi'gu 辟谷
'bi'guan 壁观
'bi'qi'bu'xi 闭气不息
'bi'qi'tai'xi 闭炁胎息
'bi'wei 鼻胃
'bu'gong 步功
'bu'ni 不拟
'bu'sheng'bu'mie 不生不灭
'bu'yin 步引
'ca'mian 擦面
'ca'yong'quan 擦涌泉
'cai'fei'gen 采飞根
'can'bei 参倍
'can'liu'qi 餐六气
'cha'zhi 察知
'chan'guan'fa 禅观法
'chang'gong 长功
'chang'sheng'ku 长生窟
'chang'wai 畅外
'chao'che 朝彻
'chen'xiang 沉相
'cheng'fo'zuo'zu 成佛作祖
'chi'long'zhi'geng 赤龙之耕
'chi'song'zi'dao'yin'fa 赤松子导引法
'chi'zhou 持咒
'chong'yang 充养
'chong'zhi 重置
'chu'pian 出偏
'chu'shen'fa 出神法
'chui'lian'sai'dui 垂帘塞兑
'chui'tian'qing 捶天磬
'cong'si'zheng 从四正
'cu'qi 蹙气
'cun'bai'qi 存白气
'cun'liu'xia 存流霞
'cun'ni'wan 存泥丸
'cun'ri 存日
'cun'wu'shen 存五神
'cun'xiang 存想
'cun'xiang'chi'qi 存想赤气
'cun'xiang'fei'qi 存想肺气
'cun'xiang'huang'qi 存想黄气
'cun'xiang'qing'qi 存想青气
'cun'yi 存一
'da'dao'xing'shi 大道行世
'da'jue 大决
'da'tai'xi 大胎息
'da'tian'zhong 打天钟
'dai'fu 带缚
'dao'xin'wei'wei 道心惟微
'dao'yin'que'bing'ge'jue 导引却病歌诀
'dian'ji 淀积
'die'pan 叠盘
'ding'hui 定慧
'ding'jing 定静
'ding'shi 定式
'dong'gong 动功
'dou'li 兜礼
'dou'shen'gong 兜肾功
'du'lang 度狼
'du'mai 督脉
'duan'huo'zheng'zhen 断惑证真
'duan'yuan 断缘
'e'wang'bu 鹅王步
'er'liu'gong'ke 二六功课
'fa'ji'ning'hua'hai'li'lian'jing'qi'shen 法基凝化还理练精气神
'fa'shui 法水
'fa'tian'di 法天地
'fan'ben 返本
'fan'xian'tian 返先天
'fan'zhi 反指
'fen'xiu 焚修
'feng'jin'kui 封金匮
'fo'wu'da'xiao 佛无大小
'fu'che 复车
'fu'lu 复鹿
'fu'lu 符箓
'fu'qi'san'ge 服气三膈
'fu'qing'ya 服青牙
'fu'ri 服日
'fu'wo 凫沃
'fu'wu'ya'fa 服五牙法
'fu'yu 凫浴
'gan'yu 干浴
'gong'fa 功法
'gong'ji 公积
'gong'li 功理
'gong'li'gong'fa 功理功法
'gong'you 功友
'gou'jian'jia 购建价
'gu'yao 谷药
'guan'bi'fa 观鼻法
'guan'gai'zhong'zhou 灌溉中州
'guan'qiao 关窍
