'ai'ni'gou'bu'gou'duo 爱你够不够多
'ai'shi'man'chang'de'lv'tu 爱是漫长的旅途
'ai'ye'cong'cong'hen'ye'cong'cong 爱也匆匆恨也匆匆
'ai'yu'hen'qing'nan'du'zhong 爱与恨情难独钟
'ba'na'wu'zhi'de'feng'kuang'dang'zuo'ou'xiang'chong'bai 把那无知的疯狂当做偶像崇拜
'bei'ai'zhong'shao'nv'de'ge 悲哀中少女的歌
'bei'huan'li'he'ren'jian'lu 悲欢离合人间路
'bei'yu'huan'cang'tian'zhuo'nong 悲与欢苍天捉弄
'bian'zhi'ni'wo'chong'feng'xiang'yu'shi'wu'yan'de'sheng'yun 编织你我重逢相遇时无言的声韵
'bu'hui'jiang'ai'hen'he'fen'shi'ruo'deng'xian 不会将爱恨合分视若等闲
'bu'ren'shu 不认输
'bu'yao'bei'shang'qin'ai'de'gu'niang 不要悲伤亲爱的姑娘
'bu'yuan'rang'ni'kan'jian'wo'de'shang'chu 不愿让你看见我的伤处
'chang'zhe'shou'duan'ge'biao'da'wo'de'shen'ai 唱这首短歌表达我的深爱
'chang'zhe'yong'bu'fen'li'lai 唱着永不分离来
'chang'zhe'yong'heng'de'lian'qu 唱着永恒的恋曲
'chao'qi'you'chao'luo 潮起又潮落
'chen'guang'yu'na'wan'wu'zai'wei'xiao 晨光与那万物在微笑
'chun'qu'chun'hui'lai 春去春会来
'cong'bu'qing'yi'rang'ren'dong 从不轻易让人懂
'dai'zhe'ta'you'shang'de'qing'gan'yu'ge'sheng 带着他忧伤的情感与歌声
'dan'shi'dao'ru'jin'na'xie'ou'xiang'dou'yi'po'mie 但事到如今那些偶像都已破灭
'dang'fan'hua'you'xi'zhong'yu'luo'mu 当繁华游戏终于落幕
'dang'wo'bi'shang'shuang'yan'fang'fu'kan'jian'ni'zai'yan'qian 当我闭上双眼仿佛看见你在眼前
'dang'wo'bi'shang'shuang'yan'fang'fu'ting'jian'ni'dui'wo'er'yu 当我闭上双眼仿佛听见你对我耳语
'dian'ran'qi'yi'zhi'la'zhu 点燃起一支蜡烛
'dian'zhui'zhe'wu'shu'chen'shi'fan'nao 点缀着无数尘世烦恼
'dui'ni'gou'bu'gou'hao 对你够不够好
'duo'kui'you'ni'chu'chu'liu'le'yan'mian 多亏有你处处留了颜面
'duo'shao'ai'duo'shao'lian'duo'shao'si'duo'shao'pan'zhi'liu'xia'chou'chang'yi'pian 多少爱多少恋多少思多少盼只留下惆怅一片
'duo'shao'wang'shi'duo'shao'yan'chen'zong'shi'wo'lei'shi'yi'jin 多少往事多少烟尘总使我泪湿衣襟
'en'he'yuan'shi'huan'shi'kong 恩和怨是幻是空
'er'wo'zhi'dao'na'bu'shi'meng'huan 而我知道那不是梦幻
'er'wo'zhi'dao'na'zhi'shi'meng'huan'shu'nian'de'si'nian'lei'ji'cheng'shuang'bin'de'bai'fa 而我知道那只是梦幻数年的思念累积成双鬓的白发
'fang'fu'shi'xiang'yao'huan'hui'ta'kuai'chang'wan'de'ge'sheng 仿佛是想要唤回他快唱完的歌声
'fang'fu'shi'xiang'yao'liu'zhu'ta'jiang'yuan'xing'de'ge'sheng 仿佛是想要留住他将远行的歌声
'fang'xin'de'zhui'zhu 放心的追逐
'feng'ye'guo'yu'ye'zou 风也过雨也走
'feng'yu'wu'zu 风雨无阻
'fu'xian'nao'hai'ni'yi'shen'chun'bai 浮现脑海你一身纯白
'gan'qing'shi'zen'hui'sui'bian 感情事怎会随便
'ge'sheng'dai'zhe'ai'lian 歌声带着爱怜
'gei'ni'wo'de'quan'bu 给你我的全部
'gei'ni'yi'tiao'wo'de'lu 给你一条我的路
'gong'chang'na'ping'guo'pai 共尝那苹果派
'gong'ting'ri'yue'chang'shou'ge 共听日月唱首歌
'gu'du'zhong'dai'zhe'shao'xu'bei'ai 孤独中带着少许悲哀
'gu'zu'le'yong'qi'ba'kou'er'kai 鼓足了勇气把口儿开
'hai'ji'de'jian'chi'shen'mo 还记得坚持甚麽
'hai'shang'gu'fan'zai'chuang'wai'piao'liu'ren'qu'lou'kong'zhi'liu'xia'yi'ge'jie 海上孤帆在窗外飘流人去楼空只留下一个结
'hai'yao'zou'hai'you'wo 还要走还有我
'hai'you'shang'hai'you'tong 还有伤还有痛
'hai'zi'de'shuang'shou 孩子的双手
'he'ai'de'yun'shi'fu'qin'de'xiao'rong 和蔼的云是父亲的笑容
'he'shi'cai'neng'cai'neng'kan'jian'xing'fu'he'ping'yu'wen'nuan'de'ming'tian 何时才能才能看见幸福和平与温暖的明天
'he'shi'cai'neng'zou'dao'xing'fu'he'ping'yu'wen'nuan'de'zhong'dian 何时才能走到幸福和平与温暖的终点
