'an'bing'zhong'zu'fu'fei 按病种组付费
'an'chuang'ri'fu'fei 按床日付费
'an'ren'tou'fu'fei 按人头付费
'an'xiang'mu'fu'fei 按项目付费
'bian'geng'deng'ji 变更登记
'bing'can'jin'tie 病残津贴
'bu'chong'yang'lao'bao'xian 补充养老保险
'bu'jiao'e 补缴额
'cai'zheng'zhuan'hu 财政专户
'can'bao 参保
'can'bao'dan'wei 参保单位
'can'bao'lv 参保率
'can'bao'ren 参保人
'can'bao'ren'bao'zhang'fan'wei'guan'li 参保人保障范围管理
'can'bao'ren'fei'yong'zhi'fu'guan'li 参保人费用支付管理
'can'bao'ren'jiu'yi'xing'wei'guan'li 参保人就医行为管理
'cheng'xiang'ju'min'ji'ben'yang'lao'bao'xian 城乡居民基本养老保险
'cheng'xiang'ju'min'ji'ben'yi'liao'bao'xian 城乡居民基本医疗保险
'cheng'xiang'ju'min'ji'chu'yang'lao'jin 城乡居民基础养老金
'cheng'zhen'ju'min'ji'ben'yi'liao'bao'xian 城镇居民基本医疗保险
'dai'kou'dai'jiao 代扣代缴
'dai'yu'ling'qu'di 待遇领取地
'ding'dian'ling'shou'yao'dian 定点零售药店
'ding'dian'ling'shou'yao'dian'fu'wu'xie'yi 定点零售药店服务协议
'ding'dian'ling'shou'yao'dian'kao'he 定点零售药店考核
'ding'dian'yi'liao'ji'gou 定点医疗机构
'ding'dian'yi'liao'ji'gou'fen'ji'guan'li 定点医疗机构分级管理
'ding'dian'yi'liao'ji'gou'kao'he 定点医疗机构考核
'dun'jiao 趸缴
'fei'lv 费率
'fei'lv'fu'dong 费率浮动
'fei'xian'jin'dai'yu 非现金待遇
'feng'xian'chu'bei'jin 风险储备金
'fu'fei'fang'shi 付费方式
'fu'gai'fan'wei 覆盖范围
'fu'xu'jin 抚恤金
'fu'zhu'qi'ju'pei'zhi'que'ren 辅助器具配置确认
'ge'ren'chu'xu'xing'yang'lao'bao'xian 个人储蓄性养老保险
'ge'ren'zhang'hu 个人账户
'ge'ren'zhang'hu'yang'lao'jin 个人账户养老金
'ge'ren'zi'fei 个人自费
'ge'ren'zi'fu 个人自付
'gong'fu'bi'li 共付比例
'gong'shang 工伤
'gong'shang'bao'xian 工伤保险
'gong'shang'bao'xian'chu'bei'jin 工伤保险储备金
'gong'shang'bao'xian'dai'yu 工伤保险待遇
'gong'shang'bao'xian'dai'yu'guan'li 工伤保险待遇管理
'gong'shang'bao'xian'dai'yu'he'ding 工伤保险待遇核定
'gong'shang'bao'xian'fei'lv 工伤保险费率
'gong'shang'bao'xian'fei'yong'shen'he 工伤保险费用审核
'gong'shang'bao'xian'fu'wu'guan'li 工伤保险服务管理
'gong'shang'bao'xian'fu'wu'xie'yi 工伤保险服务协议
'gong'shang'bao'xian'fu'zhu'qi'ju'mu'lu 工伤保险辅助器具目录
'gong'shang'bao'xian'ji'jin 工伤保险基金
'gong'shang'bao'xian'ji'jin'zhi'chu 工伤保险基金支出
'gong'shang'bao'xian'jing'ban'ji'gou 工伤保险经办机构
'gong'shang'bao'xian'xie'yi'guan'li 工伤保险协议管理
'gong'shang'bao'xian'xie'yi'kang'fu'ji'gou 工伤保险协议康复机构
'gong'shang'bao'xian'xie'yi'yi'liao'ji'gou 工伤保险协议医疗机构
'gong'shang'bao'xian'xing'zheng'fu'yi 工伤保险行政复议
'gong'shang'bao'xian'xing'zheng'su'song 工伤保险行政诉讼
'gong'shang'bao'xian'yao'pin'mu'lu 工伤保险药品目录
'gong'shang'bao'xian'zhen'liao'xiang'mu'mu'lu 工伤保险诊疗项目目录
'gong'shang'bao'xian'zheng'yi'chu'li 工伤保险争议处理
'gong'shang'bao'xian'zhi'jiao'lv 工伤保险支缴率
'gong'shang'bao'xian'zhu'yuan'fu'wu'biao'zhun 工伤保险祝愿服务标准
'gong'shang'fa'sheng'lv 工伤发生率
'gong'shang'feng'xian 工伤风险
'gong'shang'kang'fu 工伤康复
'gong'shang'kang'fu'fei 工伤康复费
'gong'shang'kang'fu'fei'yong'shen'he 工伤康复费用审核
'gong'shang'kang'fu'fu'wu'xiang'mu'mu'lu 工伤康复服务项目目录
'gong'shang'ren'ding 工伤认定
'gong'shang'ren'ding'jue'ding'shi'xian'zhong'zhi 工伤认定决定时限中止
'gong'shang'ren'ding'shen'qing'shi'xian 工伤认定申请时限
'gong'shang'ren'ding'shen'qing'shou'li 工伤认定申请受理
'gong'shang'ren'ding'shi'xian 工伤认定时限
'gong'shang'yi'liao'fei 工伤医疗费
'gong'shang'yi'liao'kang'fu'dai'yu 工伤医疗康复待遇
'gong'shang'yu'fang 工伤预防
'gong'shang'zhi'liao'kang'fu 工伤治疗康复
'gong'shang'zhi'ye'kang'fu 工伤职业康复
'gong'wang'dai'yu 工亡待遇
'gong'yang'qin'shu'fu'xu'jin 供养亲属抚恤金
'hang'ye'cha'bie'fei'lv 行业差别费率
'hang'ye'ji'zhun'fei'lv 行业基准费率
'hang'ye'nei'fei'lv'dang'ci 行业内费率档次
'hui'fu'she'hui'bao'xian'guan'xi 恢复社会保险关系
'ji'ben'yang'lao'bao'xian 基本养老保险
'ji'ben'yang'lao'bao'xian'dai'yu 基本养老保险待遇
'ji'ben'yang'lao'bao'xian'fei 基本养老保险费
'ji'ben'yang'lao'bao'xian'ji'jin 基本养老保险基金
'ji'ben'yang'lao'bao'xian'tong'chou'ji'jin 基本养老保险统筹基金
'ji'ben'yang'lao'jin 基本养老金
'ji'ben'yang'lao'jin'ji'fa 基本养老金计发
'ji'ben'yang'lao'jin'ping'jun'ti'dai'lv 基本养老金平均替代率
'ji'ben'yang'lao'jin'ti'dai'lv 基本养老金替代率
'ji'ben'yang'lao'jin'tiao'zheng'ji'zhi 基本养老金调整机制
'ji'ben'yi'liao'bao'xian 基本医疗保险
'ji'ben'yi'liao'bao'xian'dai'yu 基本医疗保险待遇
'ji'ben'yi'liao'bao'xian'deng'dai'qi 基本医疗保险等待期
'ji'ben'yi'liao'bao'xian'ge'ren'zhang'hu 基本医疗保险个人账户
'ji'ben'yi'liao'bao'xian'ji'jin 基本医疗保险基金
'ji'ben'yi'liao'bao'xian'tong'chou'ji'jin 基本医疗保险统筹基金
'ji'ben'yi'liao'bao'xian'yao'pin'mu'lu 基本医疗保险药品目录
'ji'ben'yi'liao'bao'xian'zhi'du 基本医疗保险制度
'ji'chu'yang'lao'jin 基础养老金
'ji'jin'cai'wu'guan'li 基金财务管理
'ji'jin'jian'guan 基金监管
'ji'shi'jie'suan 即时结算
'jiao'fei'gong'zi'zhi'shu 缴费工资指数
'jiao'fei'ji'lu 缴费记录
'jiao'fei'ji'shu 缴费基数
'jiao'fei'nian'xian 缴费年限
'jiao'tong'shi'su'fei 交通食宿费
'jie'suan'ban'fa 结算办法
'jie'suan'guan'li 结算管理
'jie'suan'zhou'qi 结算周期
'jie'yu'lv 结余率
'jin'bao'gong'cheng 金保工程
'jing'ban'feng'xian'guan'li 经办风险管理
'lao'dong'gong'neng'zhang'ai'cheng'du 劳动功能障碍程度
'lao'dong'neng'li'jian'ding 劳动能力鉴定
'lao'dong'neng'li'jian'ding'qi'xian 劳动能力鉴定期限
'lao'dong'neng'li'jian'ding'wei'yuan'hui 劳动能力鉴定委员会
'ling'xing'bao'xiao 零星报销
'men'zhen'tong'chou 门诊统筹
'nei'bu'kong'zhi'zhi'du 内部控制制度
