'ai'bo'la 埃博拉
'ai'bo'la'bing'du 埃博拉病毒
'ai'bo'la'bing'du'bing 埃博拉病毒病
'ai'bo'la'chu'xue're 埃博拉出血热
'ai'bo'la'yi'miao 埃博拉疫苗
'ai'bo'la'zhi'liao'dian 埃博拉治疗点
'ai'bo'la'zhi'liao'zhong'xin 埃博拉治疗中心
'ben'di'bu'jiao'xing 本迪布焦型
'bing'li'zhui'zong 病例追踪
'bing'ren'guan'li 病人管理
'cha'ju'fen'xi 差距分析
'dan'ke'long'kang'ti 单克隆抗体
'fei'ren'ling'zhang'lei'dong'wu 非人灵长类动物
'gan'ran'fang'kong 感染防控
'ge'li 隔离
'ge'li'yi 隔离衣
'guo'fu 果蝠
'lai'si'dun'xing 莱斯顿型
'mi'qie'jie'chu'zhe 密切接触者
'nan'su'dan 南苏丹
'que'kou'fen'xi 缺口分析
'que'ren'bing'li 确认病例
'ren'jian'chuan'bo 人间传播
'ren'ren'chuan'bo 人人传播
'shi'ti'guan'li 尸体管理
'shi'yan'xing'liao'fa 实验性疗法
'su'dan'xing 苏丹型
'ta'yi'sen'lin'xing 塔伊森林型
'tu'fa'shi'jian'guan'li 突发事件管理
'wu'guo'jie'yi'sheng'zu'zhi 无国界医生组织
'yi'si'bing'li 疑似病例
'ying'ji'zhi'hui'zhong'xin 应急指挥中心
'zha'yi'er'xing 扎伊尔型
'zhi'shi'bing'li 指示病例
'zhi'si'lv 致死率
'zhuan'zhen 转诊
'zhuan'zhen'zhong'xin 转诊中心
