'bei'zhou'ze'yi'dai'chang'jian'ze'bu'yi 备周则意怠常见则不疑
'bo'lan'qun'jia'rong'zhi'mei'li 博览群家容止美丽
'bu'xin'er'wu'li'bu'ke'yi'sheng 不信而无礼不可以生
'cai'lian'nan'tang'qiu'lian'hua'guo'ren'tou 采莲南塘秋莲花过人头
'cheng'qi'yin'luan'li'qi'ruo'er'wu'zhu 乘其阴乱利其弱而无主
'cheng'tian'di'zhi'zheng'yu'liu'qi'zhi'bian 乘天地之正御六气之辩
'chong'ru'ruo'jing'gui'da'huan'ruo'shen 宠辱若惊贵大患若身
'chu'wei'lin'yu'zhi'cao'geng'zao'beng'shan'zhi'yin 初为霖雨之操更造崩山之音
'ci'yi'ji'yang'yang'niao'ye'fei'yi'niao'yang'yang'niao'ye 此以己养养鸟也非以鸟养养鸟也
'cong'yi'bu'gai'yi'quan'zhen'xin'zhi'jie 从一不改以全贞信之节
'diao'zhuo'fu'pu'kuai'ran'du'yi'qi'xing'li 雕琢复朴块然独以其形立
'dong'dao'shen'wei'huo'ran'ji'jie'ru'tu'wei'di 动刀甚微謋然己解如土委地
'fei'xing'sui'wan'bian'xian'zhang'yi'yi'lun 废兴虽万变宪章亦已沦
'feng'zhi'ji'ye'bu'hou'ze'qi'fu'da'yi'ye'wu'li 风之积也不厚则其负大翼也无力
'fu'di'er'ren'you'gong'jin'dao 抚弟二人友恭尽道
'fu'zi'yan'zhi'yu'wo'xin'you'qi'qi'yan 夫子言之于我心有戚戚焉
'gu'li'bu'ke'dang'er'shi'you'ke'xiao 故力不可当而势犹可消
'gu'shan'zhan'zhe'zhi'ren'er'bu'zhi'yu'ren 故善战者致人而不致于人
'gu'tian'xia'jian'xiang'ai'ze'zhi'jiao'xiang'e'ze'luan 故天下兼相爱则治交相恶则乱
'gua'gu'bu'ke'yi'di'zhong 寡固不可以敌众
'hua'ran'xiang'ran'zou'dao'huo'ran'mo'bu'zhong'yin 砉然向然奏刀騞然莫不中音
'jian'bu'xia'gui'fu'bu'jiao'pin 贱不下贵富不骄贫
'jiang'xin'bi'xin'chang'ji'yin'de'guang'jie'shan'yuan 将心比心常积阴德广结善缘
'jiao'ru'fei'jing'lin'dan'que'lv'yan'mie'jin'qing'hui'fa 皎如飞镜临丹阙绿烟灭尽清辉发
'jie'yan'yi'hui'yi'yi'jin'wu'hui'chu 借言以会意意尽无会处
'ju'huai'yi'xing'yu'shang'qing'tian'lan'ming'yue 据怀疑型欲上青天览明月
'jun'xing'ren'zheng'si'min'qin'qi'shang 君行仁政斯民亲其上
'ke'qi'er'gong'jing'de'qing'he'shang'yi'tong'jiu'can 客气而恭敬地请和尚一同就餐
'kuang'ye'fei'kuang'ye'shi'qi'suo'kuang'ye 诳也非诳也实其所诳也
'li'zhong'guo'er'fu'si'yi'ye 莅中国而抚四夷也
'liang'an'yi'qing'zhu'ya'zhi'jian'bu'bian'niu'ma 两岸矣清渚崖之间不辨牛马
'mian'lai'yi'shi'yi'yin'ling'yao'xiang'xi 眄睐以适意引领遥相希
'ming'zu'yi'cha'qiu'hao'zhi'mo 明足以察秋毫之末
'mo'zhu'you'yuan'mo'zhu'kong'ren 莫逐有缘莫住空忍
'pu'sa'ying'ru'shi'bu'shi'bu'zhu'yu'xiang 菩萨应如是布施不住于相
'qian'mei'huang'quan'xia'qian'zai'yong'bu'wu 潜寐黄泉下千载永不寤
'qiao'xiao'qian'xi'mei'mu'pan'xi 巧笑倩兮美目盼兮
'qin'xian'chen'yuan'xiao'ren'ci'xian'han'suo'yi'xing'long'ye 亲贤臣远小人此先汉所以兴隆也
'qu'yan'fu'shi'wang'en'fu'yi'qian'wan'bu'neng'jiu'ta 趋炎附势忘恩负义千万不能救他
'san'nian'ji'cheng'er'wu'suo'yong'qi'qiao 三年技成而无所用其巧
'shan'ren'shou'zhong'jie'yin'chao'sheng 善人寿终接引超生
'shi'nian'bu'shou'yu'guo'min'ju'you'san'nian'zhi'shi 十年不收于国民俱有三年之食
'suo'wei'yi'ren'zai'shui'yi'fang 所谓伊人在水一方
'tao'zhi'yao'yao'zhuo'zhuo'qi'hua 桃之夭夭灼灼其华
'tian'di'beng'zhui'shen'wang'suo'ji'fei'qin'shi'zhe 天地崩坠身亡所寄废寝食者
'tun'gou'zhi'yu'hen'bu'ren'ji 吞钩之鱼恨不忍饥
'wang'min'qi'chi'xin'yi'si'shi'zhi'yue'zhen 王悯其持信以死谥之曰贞
'wang'zhe'bu'ke'jian'lai'zhe'you'ke'zhui 往者不可谏来者犹可追
'wei'da'sheng'zhe'wei'sheng'ren'neng'zhi 为大胜者唯圣人能之
'wei'ying'er'zhuang'xi'wu'yu'qin'ce 为婴儿状戏舞于亲侧
'wo'zui'yu'mian'qin'qie'qu'ming'zhao'you'yi'bao'qin'lai 我醉欲眠亲且去明朝有意抱琴来
'wu'du'he'ren'er'rang'di'zi'du'wei'jun'zi'ye 吾独何人而让弟子独为君子耶
'wu'qing'yi'wu'zhong'wu'xing'yi'wu'sheng 无情亦无种无性亦无生
'wu'yi'nv'er'shou'nan'can'fei'li'ye 吾以女而授男餐非礼也
'wu'ying'ge'sheng'san'lv'chi'kong'yu'bian'shui'dong'liu'hai 舞影歌声散绿池空余汴水东流海
'xian'su'bao'pu'shao'si'gua'yu'jue'xue'wu'you 见素抱朴少思寡欲绝学无忧
'xin'zhe'bu'fu'qi'xin'yi'zhe'bu'xu'she'qi'shi 信者不负其心义者不虚设其事
'xing'cong'hui'ran'shao'gui'jiao'po'bu'zun'fa'du 性聪惠然少贵骄颇不遵法度
'xu'jun'qing'song'xin'nu'li'bao'shuang'xue 勖君青松心努力保霜雪
'xue'yu'kong'zi'er'chuan'xiao'jing 学与孔子而传孝经
'ye'fen'you'ji'pi'mei'jing'jiang 夜分忧绩媲美敬姜
'yi'qie'xian'sheng'jie'yi'wu'wei'fa'er'you'cha'bie 一切贤圣皆以无为法而有差别
'yi'zhu'pen'zhong'gong'yang'shi'fang'da'de'zhong'seng 以著盆中供养十方大德众僧
'ying'fang'xia'wai'liu'chen'nei'liu'gen'zhong'liu'shi 应放下外六尘内六根中六识
'you'wu'xian'tian'de'wu'xing'ben'ji'liao 有物先天地无形本寂寥
'yu'shun'da'xiao'jie'li'yu'tian 虞舜大孝竭力于田
'ze'qi'suo'yong'zhe'zhong'er'suo'yao'zhe'qing'ye 则其所用者重而所要者轻也
