'bei'guan'ji'ci'guan 悲观及慈观
'bei'ti'jie'lei'zhen 悲体戒雷震
'bo'lang'bu'neng'mei 波浪不能没
'bu'neng'sun'yi'mao 不能损一毛
'bu'wei'jun'zhen'zhong 怖畏军阵中
'chang'yuan'chang'zhan'yang 常愿常瞻仰
'ci'yan'shi'zhong'sheng 慈眼视众生
'ci'yi'miao'da'yun 慈意妙大云
'dao'xun'duan'duan'huai 刀寻段段坏
'di'yu'gui'chu'sheng 地狱鬼畜生
'du'long'zhu'gui'deng 毒龙诸鬼等
'duo'luo'jin'gang'shan 堕落金刚山
'fa'da'qing'jing'yuan 发大清净愿
'fan'yin'hai'chao'yin 梵音海潮音
'fo'zi'he'yin'yuan 佛子何因缘
'fu'ju'hai'wu'liang 福聚海无量
'ge'zhi'dao'jia'hai 各执刀加害
'guan'shi'yin'jing'sheng 观世音净圣
'guan'yin'miao'zhi'li 观音妙智力
'guang'da'zhi'hui'guan 广大智慧观
'guang'xiu'zhi'fang'bian 广修智方便
'hai'zhu'yu'ben'ren 还著于本人
'hong'shi'shen'ru'hai 弘誓深如海
'hui'ri'po'zhu'an 慧日破诸暗
'huo'bei'e'ren'zhu 或被恶人逐
'huo'keng'bian'cheng'chi 火坑变成池
'huo'piao'liu'ju'hai 或漂流巨海
'huo'qiu'jin'jia'suo 或囚禁枷锁
'huo'yu'e'luo'cha 或遇恶罗刹
'huo'zai'xu'mi'feng 或在须弥峰
'huo'zao'wang'nan'ku 或遭王难苦
'huo'zhi'yuan'zei'rao 或值怨贼绕
'ji'da'wu'jin'yi 偈答无尽意
'ji'zou'wu'bian'fang 疾走无边方
'jia'shi'xing'hai'yi 假使兴害意
'jiang'bao'shu'da'yu 降雹澍大雨
'ju'yi'qie'gong'de 具一切功德
'ju'zu'miao'xiang'zun 具足妙相尊
'ju'zu'shen'tong'li 具足神通力
'li'jie'bu'si'yi 历劫不思议
'li'ya'zhao'ke'bu 利牙爪可怖
'lin'xing'yu'shou'zhong 临刑欲寿终
'long'yu'zhu'gui'nan 龙鱼诸鬼难
'miao'yin'guan'shi'yin 妙音观世音
'mie'chu'fan'nao'yan 灭除烦恼焰
'ming'wei'guan'shi'yin 名为观世音
'neng'fu'zai'feng'huo 能伏灾风火
'neng'jiu'shi'jian'ku 能救世间苦
'neng'mie'zhu'you'ku 能灭诸有苦
'neng'wei'zuo'yi'hu 能为作依怙
'nian'bi'guan'yin'li 念彼观音力
'nian'nian'wu'sheng'yi 念念勿生疑
'pu'ming'zhao'shi'jian 普明照世间
'qi'du'yan'huo'ran 气毒烟火燃
'ru'ri'xu'kong'zhu 如日虚空住
'ru'ting'guan'yin'xing 汝听观音行
'ruo'e'shou'wei'rao 若恶兽围绕
'shan'ying'zhu'fang'suo 善应诸方所
'sheng'bi'shi'jian'yin 胜彼世间音
'sheng'lao'bing'si'ku 生老病死苦
'shi'duo'qian'yi'fo 侍多千亿佛
'shi'fang'zhu'guo'tu 十方诸国土
'shi'gu'xu'chang'nian 是故须常念
'shi'gu'ying'ding'li 是故应顶礼
'shi'ran'de'jie'tuo 释然得解脱
'shi'xi'bu'gan'hai 时悉不敢害
'shi'zun'miao'xiang'ju 世尊妙相具
'shou'zu'bei'chou'xie 手足被杻械
'shu'gan'lu'fa'yu 澍甘露法雨
'suo'yu'hai'shen'zhe 所欲害身者
'tui'luo'da'huo'keng 推落大火坑
'wei'ren'suo'tui'duo 为人所推堕
'wen'ming'ji'jian'shen 闻名及见身
'wo'jin'zhong'wen'bi 我今重问彼
'wo'wei'ru'lue'shuo 我为汝略说
'wu'gou'qing'jing'guang 无垢清净光
'wu'liang'ku'bi'shen 无量苦逼身
'wu'sha'bu'xian'shen 无刹不现身
'xian'ji'qi'ci'xin 咸即起慈心
'xin'nian'bu'kong'guo 心念不空过
'xun'sheng'zi'hui'qu 寻声自回去
'yi'jian'xi'ling'mie 以渐悉令灭
'ying'shi'de'xiao'san 应时得消散
'yu'ku'nao'si'e 于苦恼死厄
'yuan'she'ji'fu'xie 蚖蛇及蝮蝎
'yun'lei'gu'che'dian 云雷鼓掣电
'zhen'guan'qing'jing'guan 真观清净观
'zheng'song'jing'guan'chu 诤讼经官处
'zhong'sheng'bei'kun'e 众生被困厄
'zhong'yuan'xi'tui'san 众怨悉退散
'zhong'zhong'zhu'e'qu 种种诸恶趣
'zhou'zu'zhu'du'yao 咒诅诸毒药
