'an'han'fen'xi 暗含分析
'bao'kan'diao'cha 报刊调查
'bi'jiao'fen'xi 比较分析
'bian'cha'zhi'biao 变差指标
'biao'ge 表格
'biao'zhun'hua 标准化
'can'zhao'qun'ti'biao'zhun'de 参照群体标准的
'ce'liang'ji 测量级
'ce'yan 测验
'cheng'dui'bi'jiao'fa 成对比较法
'cheng'shi'she'hui'xue 城市社会学
'chou'yang'fang'fa 抽样方法
'ci'yi'hua'fen 词义划分
'da'zhong'chuan'bo'she'hui'xue 大众传播社会学
'dai'biao'xing 代表性
'dai'biao'xing'wu'cha 代表性误差
'dao'de'she'hui'xue 道德社会学
'di'qu'she'hui'xue 地区社会学
'diao'cha'biao 调查表
'diao'cha'yuan 调查员
'duo'chong'bi'jiao'fang'fa 多重比较方法
'duo'ci'xing'yan'jiu 多次性研究
'er'fen'bian'liang'xiang'guan 二分变量相关
'fa'she'hui'xue 法社会学
'fang'cha'fen'xi 方差分析
'fang'wen 访问
'fang'wen'zhe 访问者
'fen'lei 分类
'fen'zu'fen'xi 分组分析
'gai'nian'jie'shi 概念解释
'ge'ren'she'hui'xue 个人社会学
'ge'ren'xu'yao 个人需要
'ge'xing 个性
'gong'chang'she'hui'xue'jia 工厂社会学家
'guan'cha 观察
'guan'li'she'hui'xue 管理社会学
'hui'da'zhe 回答者
'hui'gui'fen'xi 回归分析
'huo'dong 活动
'ji'ti 集体
'ji'ti'she'hui'xue 集体社会学
'jia'ting'she'hui'xue 家庭社会学
'jian'ding'ping'jia 鉴定评价
'jian'ding'ping'jia'fa 鉴定评价法
'jiao'yang'she'hui'xue 教养社会学
'jiao'yu'she'hui'xue 教育社会学
'jing'ji'he'tong 经济合同
'ke'xue'she'hui'xue 科学社会学
'lao'dong'ji'ti'she'hui'zheng'jian 劳动集体社会证件
'lao'dong'she'hui'xue 劳动社会学
'li'lun'qing'bao'fen'xi 理论情报分析
'liang'hua 量化
'luo'ji'xian'xing'fen'xi 逻辑线性分析
'min'zu'she'hui'xue 民族社会学
'nei'rong'fen'xi 内容分析
'nong'cun'she'hui'xue 农村社会学
'pian'xiang'guan'he'fu'xiang'guan 偏相关和复相关
'pian'zhong'yan'jiu'fa 偏重研究法
'ping'jun'zhi 平均值
'pu'tong'wen'xian'fen'xi 普通文献分析
'qi'ye'she'hui'xue'fu'wu'bu'men 企业社会学服务部门
