'ban'yue'lie 半月裂
'bi'chu'xue 鼻出血
'bi'gu'ji 鼻骨嵴
'bi'nei'jing 鼻内镜
'bi'nian'mo 鼻粘膜
'bi'qiang 鼻腔
'bi'qiang'di 鼻腔底
'bi'qiang'ding'hou'duan 鼻腔顶后段
'bi'qiang'wai'ce'bi 鼻腔外侧壁
'bi'xi'rou 鼻息肉
'bi'xi'rou'yang'bian 鼻息肉样变
'bi'xin'men 鼻囟门
'bi'yan 鼻咽
'bi'yan'ding 鼻咽顶
'bi'zhong'ge 鼻中隔
'bi'zhong'ge'chuan'kong 鼻中隔穿孔
'bi'zhong'ge'pian'qu 鼻中隔偏曲
'bi'zhong'ge'ruan'gu 鼻中隔软骨
'bian'tao'ti'fei'da 扁桃体肥大
'cu'hong'xi'bao'sheng'cheng'su 促红细胞生成素
'da'han 打鼾
'da'yi'ruan'gu'nei'ce'jiao 大翼软骨内侧脚
'dan'chun'xing'man'xing'bi'yan 单纯型慢性鼻炎
'dan'fa'bi'dou'yan 单发鼻窦炎
'dan'fa'bi'dou'yan'ban'dan'fa'xing'bi'xi'rou 单发鼻窦炎伴单发性鼻息肉
'die'an 蝶鞍
'die'dou 蝶窦
'die'dou'zi'ran'kou 蝶窦自然口
'die'gu'yi'tu'jie'gou 蝶骨翼突结构
'die'shai'ban 蝶筛板
'die'zui'he'die'ji 蝶嘴和蝶嵴
'dou'nei'ji'nong 窦内积脓
'duo'fa'bi'dou'yan 多发鼻窦炎
'duo'fa'bi'dou'yan'ban'duo'fa'xing'bi'xi'rou 多发鼻窦炎伴多发性鼻息肉
'duo'fa'xing'bi'dou'yan'huo'quan'zu'bi'dou'yan'ban'duo'fa'xing'bi'xi'rou'he'huo'shai'dou'gu'zhi'zeng'sheng 多发性鼻窦炎或全组鼻窦炎伴多发性鼻息肉和或筛窦骨质增生
'e'dou 额窦
'e'gu'bi'ji 腭骨鼻嵴
'e'gu'bi'ji 额骨鼻棘
'e'gu'chui'zhi'ban 颚骨垂直板
'e'gu'nei'gu'ban 额骨内骨板
'e'gu'wai'gu'ban 额骨外骨板
'e'yin'wo 额隐窝
'er'cha'fen'an 儿茶酚胺
'er'tong'xian'yang'ti'zeng'sheng 儿童腺样体增生
'fan'liu'xing'shi'guan'yan 反流性食管炎
'gou'tu 钩突
'guan'xin'bing 冠心病
'hai'mian'dou 海绵窦
'hou'qiang 喉腔
'hou'yan 喉咽
'hou'zu'shai'dou 后组筛窦
'ji'li'te'er'dong'mai 即利特尔动脉
'ji'qi 极期
'ji'xing'bi'dou'yan 急性鼻窦炎
'ji'xing'bi'yan 急性鼻炎
'jian'ya'wo 尖牙窝
'jing'nei'dong'mai 颈内动脉
'jing'wei 颈围
'ka'ta 卡他
'ke'shi'jing'mai'cong 克氏静脉丛
'kuang'ding'ding'bi 眶顶顶壁
'kuang'ding'yan 眶顶延
'kuang'xia'kong 眶下孔
'kuang'xia'xue'guan'shen'jing 眶下血管神经
'lei'gu 泪骨
'li'gu 犁骨
'lu'qian'wo 颅前窝
'lu'zhong'wo 颅中窝
'man'xing'bi'dou'yan 慢性鼻窦炎
'man'xing'bi'dou'yan'ban'bi'xi'rou 慢性鼻窦炎伴鼻息肉
'nao'xue'shuan 脑血栓
'nian'mo'shui'zhong 粘膜水肿
'nie'xia'wo 颞下窝
'pai'niao'fan'she'hu 排尿反射弧
'qi'liu'qiang'du 气流强度
'qian'zu'shai'dou 前组筛窦
'quan'zu'bi'dou'yan 全组鼻窦炎
'quan'zu'bi'dou'yan'ban'duo'fa'xing'bi'xi'rou 全组鼻窦炎伴多发性鼻息肉
'rong'chui'ti 容垂体
'ruan'e'zu'zhi 软腭组织
'shai'dou'hou'bi 筛窦后壁
'shai'gu'mi'lu 筛骨迷路
'shai'gu'shai'qie'ji 筛骨筛切迹
'shai'gu'shui'ping'ban 筛骨水平板
'shai'gu'zheng'zhong'ban 筛骨正中板
'shai'lou'dou 筛漏斗
'shai'pao 筛泡
'shang'bi'dao 上鼻道
'shang'bi'jia 上鼻甲
'shang'he'dou 上颌窦
'shang'he'dou'kou 上颌窦口
'shang'he'dou'zi'ran'kong 上颌窦自然孔
'shang'he'gu 上颌骨
'shang'he'gu'bi'ji 上颌骨鼻嵴
'shang'he'gu'e'tu 上颌骨额突
'shang'qi'dao 上气道
'shang'xia'he'gu'fa'yu'zhang'ai 上下颌骨发育障碍
'she'bian'tao'ti'fei'da 舌扁桃体肥大
'she'gen'fei'hou 舌根肥厚
'shen'xiao'qiu'lv'guo'liang 肾小球率过量
'sheng'zhang'ji'su 生长激素
'shi'shen'jing 视神经
'xia'bi'dao 下鼻道
'xia'bi'jia 下鼻甲
'xia'bi'jia'gu 下鼻甲骨
'xian'yang'ti'fei'da 腺样体肥大
'xiao'xia'ke'ji'xing 小下颏畸形
'xin'zang'gong'neng 心脏功能
'xiong'kuo'ji'xing 胸廓畸形
'xiong'qiang'fu'ya'zhi 胸腔负压值
'xuan'yong'chui 悬雍垂
'xue'yang'bao'he'du 血氧饱和度
'ya'cao'tu 牙槽突
'yan'kuang'di'bi 眼眶底壁
'yan'kuang'nei'ce'bi 眼眶内侧壁
'yan'qiang'fu'ya'zhi 咽腔负压值
'ye'jian'xin'jiao'teng 夜间心绞疼
'ye'niao 夜尿
'yi'e'wo 翼腭窝
'yi'niao 遗尿
'zhen'gu'xie'po 枕骨斜坡
'zhong'bi'dao 中鼻道
'zhong'bi'dao'bian'zhai 中鼻道变窄
'zhong'bi'jia 中鼻甲
