'bian'jie'qing'chu 边界清楚
'dan'jie'shi 胆结石
'dan'nang'qie'chu'shu 胆囊切除术
'dan'nang'que'ru'yi'qie'chu 胆囊缺如已切除
'di'ruo'hui'sheng'jie'jie 低弱回声结节
'fen'bu'qian'jun'yun 分布欠均匀
'gan'duo'fa'nang'zhong 肝多发囊肿
'gan'nang'zhong 肝囊肿
'gan'nei'gai'hua'zao 肝内钙化灶
'gong'nei'mo'cheng'xian'zhuang 宫内膜呈线状
'huan'zhuang'di'hui'sheng 环状低回声
'kao'lv'cuo'gou'liu 考虑错构瘤
'lin'ba'jie'hui'sheng 淋巴结回声
'lun'kuo'qing'xi 轮廓清晰
'mi'man'xing'gai'bian 弥漫性改变
'nang'xing'hui'sheng'jie'jie 囊性回声结节
'niao'yan'jie'jing'ji'jie'shi 尿盐结晶及结石
'shi'zhi'bu'shao'qiang'hui'sheng'jie'jie 实质部稍强回声结节
'shi'zhi'hui'sheng'cu'cao 实质回声粗糙
'shi'zhi'hui'sheng'xi'mi'zeng'qiang 实质回声细密增强
