'a'lai'ye'shi 阿赖耶识
'an'hei'an 暗黑暗
'an'shi 暗示
'ba'chen'zhi'ju 八尘质聚
'ba'zhong'wu'wei 八种无为
'ba'zhong'zhi'fen'xian'se 八种支分显色
'ben'wu'jian'you 本无见有
'bi'du'xin 比度心
'bi'du'zai'jue'shi 比度再决识
'bi'gen 鼻根
'bi'gen'xian'shi 鼻根现识
'bi'jing'se'gen 鼻净色根
'bi'liang 比量
'bi'liang'di'chu 比量抵触
'bi'liang'guo 比量果
'bi'liang'xiang'wei 比量相违
'bi'sheng'xiang'shu 彼生相属
'bi'shi 鼻识
'bi'yu'liang 比喻量
'bian'ji'suo'zhi'xing 遍计所执性
'bian'lun'yan'su 辩论严肃
'bian'xing'yin 遍行因
'bian'yi'liang'cheng'yin'yi'xu'cheng 遍依量成因依许成
'bie'yin'zheng'cheng'guo'yin 别因证成果因
'bu'bing'cun'xiang'wei 不并存相违
'bu'bing'cun'xiang'wei'lun'shi 不并存相违论式
'bu'chang 不常
'bu'cheng'yin 不成因
'bu'cuo'luan 不错乱
'bu'cuo'luan'shi 不错乱识
'bu'dian'dao'yuan'cheng'shi'xing 不颠倒圆成实性
'bu'ding'yin 不定因
'bu'duan'ta'cha'bie'sheng 不断他差别声
'bu'gong'bu'ding 不共不定
'bu'he'li'zhe'qian'qu'ru'xin 不合理遮遣趋入心
'bu'jing'yi'ta'qi 不净依他起
'bu'ke'de'xiang'wei'yin 不可得相违因
'bu'ke'de'yin 不可得因
'bu'li 不离
'bu'li'tiao'jian 不利条件
'bu'ping'deng'xiang'qi 不平等香气
'bu'rong'shi'suo'zhi 不容是所知
'bu'rong'you'xian'zhi 不容有限制
'bu'ru'shi'yuan'ti'xin 不如实缘体心
'bu'shan 不善
'bu'te'jia'luo'wo'zhi 补特伽罗我执
'bu'te'jia'luo'wu'wo 补特伽罗无我
'bu'wei'xiang'wei 不违相违
'bu'wu'xin'shi 不悟心识
'bu'xian'bu'ke'de'yin 不现不可得因
'bu'xian'dui'li'ke'de'zheng'yin 不现对立可得正因
'bu'xian'tong'yi'bu'ke'de'zheng'yin 不现统一不可得正因
'bu'xian'tong'yi'li'you'bu'ke'de'zheng'yin 不现统一理由不可得正因
'bu'xiang'wei 不相违
'bu'xiang'ying'xing 不相应行
'bu'yin'neng'li'ying'cheng 不引能立应成
'bu'yu'mao'dun'xiang'mao'dun 不与矛盾相矛盾
'cai'pan'zhe'zhong'zheng'ren 裁判者中证人
'cha'bie 差别
'cha'bie'bian'ji'suo'zhi 差别遍计所执
'cha'bie'xian'se 差别显色
'chang'fa 常法
'chen'hui 瞋恚
'chen'na 陈那
'cheng'li'bi'shi'jian 成立彼世间
'cheng'li'cha'na'hui'mie 成立剎那毁灭
'cheng'li'guan'xi'lun 成立关系论
'cheng'li'sun'cheng'lun 成立损成论
'cheng'li'wai'jing'song 成立外境颂
'cheng'li'yi'qie'zhi'song 成立一切智颂
'cheng'li'zheng'li'deng'lun 成立正理灯论
'cheng'shi 成实
'cheng'wei'shi'lun 成唯识论
'cheng'xu'xiang'wei 承许相违
'cheng'zhu'tong'zhi 成住同质
'cheng'zhu'wu'bie'tong'zhi 成住无别同质
'chi'wu'ming 痴无明
'chou'qi 臭气
'chou'xiang 抽象
'chu'chu 触处
'chu'jue'gen'xian'shi 触觉根现识
'chu'jue'yi'xian'shi 触觉意现识
'chuan'xi'jing'gen'xian'liang 串习境根现量
'cu'se 粗色
'cu'wei'chen 粗微尘
'cun'zai 存在
'cuo'luan 错乱
'cuo'luan'gen'shi 错乱根识
'cuo'luan'shi'huo'luan'shi 错乱识惑乱识
'cuo'luan'si'yin 错乱四因
'da'bian 答辩
'da'bian'ci 答辩词
'da'cheng'yu'jia'xian'qian'zhi 大乘瑜伽现前智
'da'guan'liang 大观量
'da'xiao'he'li 大小合理
'da'zhong'suo'sheng'qi'chu 大种所生七触
'dan'zhe'jing 耽着境
'dan'zhe'shi 耽着识
'dang'neng'zhou'yan 当能周延
'dao'he'yu 倒合喻
'dao'li 倒离
'dao'suo'po'yin 倒所破因
'dao'tong'pin'bian 倒同品遍
'deng'bian'dui'da 等遍对答
'deng'bian'zhou'yan 等遍周延
'deng'chi 等持
'deng'fen'you'yu 等分犹豫
'deng'liu'guo 等流果
'deng'tong'dui'da 等同对答
'deng'wu'jian'yuan 等无间缘
'di'er'wu'guo'zhi 第二悟果智
'di'lun'zhe 敌论者
'di'san'wu'guo'zhi 第三悟果智
'di'yi'wu'guo'zhi 第一悟果智
'di'yin'bi 地隐蔽
'di'yuan'li'shi 地远离事
'di'zhe 敌者
'dian'dao'shi 颠倒识
'dian'dao'yi'shi 颠倒意识
'ding'liang'lun'shu 定量论疏
'ding'suo'sheng'zi'zai'se 定所生自在色
'ding'wu 定无
'du'jue'yu'jia'xian'qian'zhi 独觉瑜伽现前智
'du'li'zi'qu'shi'you 独立自取实有
'duan'de'yuan'man 断德圆满
'duan'ta'cha'bie'sheng 断他差别声
'dui'jing 对境
'dui'jing'te'xing 对境特性
'dui'li'guo'ke'de'yin 对立果可得因
'dui'li'ke'de'yin 对立可得因
'duo'fa'ying'cheng 多法应成
'duo'yin'ying'cheng 多因应成
'e'zuo 恶作
'en'lu 恩路
'er'gen 耳根
'er'gen'xian'shi 耳根现识
'er'jing'se'gen 耳净色根
'er'shi 耳识
'er'suo'liang 二所量
'er'yin 二因
'er'yu 二喻
'er'zhen'yin 二真因
'er'zhong'bi'liang 二种比量
'er'zhong'bian'ji 二种遍计
'er'zhong'bu'ding'yin 二种不定因
'er'zhong'bu'ke'de'yin 二种不可得因
'er'zhong'fan'ti'tong'lei 二种反体同类
'er'zhong'guo'se 二种果色
'er'zhong'hu'jue'xiang'wei'lun'shi 二种互绝相违论式
'er'zhong'jian'jie'xiang'wei 二种间接相违
'er'zhong'jin'qu'yin 二种近取因
'er'zhong'ke'xian'bu'ke'de'yin 二种可现不可得因
'er'zhong'lei'tong 二种类同
'er'zhong'wu'yin'xin 二种悟因心
'er'zhong'yi'ta'qi 二种依他起
'er'zhong'you'yu'bu'ding'yin 二种有余不定因
'er'zhong'yuan'cheng'shi'xing 二种圆成实性
'er'zhong'zhen'ying'cheng 二种真应成
'er'zhong'zheng'yu 二种正喻
'er'zhong'zhi'jie'xiang'wei 二种直接相违
'er'zhong'zi'xing'yin 二种自性因
'fa'cheng 法称
'fa'chu 法处
'fa'chu'suo'she'se 法处所摄色
'fa'jie 法界
'fa'wo'zhi 法我执
'fa'wu'wo 法无我
'fan'bo'bian'bo 反驳辩驳
'fan'fa'fan'ti'fa 反法反体法
'fan'fei 反非
'fan'jie 反诘
'fan'que'ding 反确定
'fan'shi 反是
'fan'ti 反体
'fan'ti'tong'lei 反体同类
'fan'ti'tong'lei'zhi'yi 反体同类之一
'fan'ti'tong'yi'bu'cheng 反体同一不成
'fei'ke'neng'ding'fou 非可能定否
'fei'li'you'yu 非理犹豫
'fei'liang'wu'shi 非量五识
'fei'liang'xin 非量心
'fei'shi'jing'fen'bie'xin 非实境分别心
'fei'shi'xun'you'qing'sheng 非示寻有情声
'fei'tuo'pai 吠陀派
'fei'you'fou'ding 非有否定
'fei'you'xian'zhi 非有限制
'fei'zhe 非遮
'fei'zhe'qian'yu 非遮遣余
'fen'bie'xin 分别心
'fen'zhi 分支
'fen'zhi'xian'se 分支显色
'fou'ding 否定
'fou'ren 否认
'fu'chu 负处
'fu'he'you'fa'ying'cheng 复合有法应成
'gan'hui'pai 干慧派
'gan'shou 感受
'gan'shou'jing 感受境
'gen'ben'xian'se 根本显色
'gen'shi 根识
'gen'shi'deng'wu'jian'yuan 根识等无间缘
'gen'shi'dian'dao'shi 根识颠倒识
'gen'shi'san'yuan 根识三缘
'gen'shi'suo'yuan'yuan 根识所缘缘
'gen'shi'zeng'shang'yuan 根识增上缘
'gen'shou 根受
'gen'xian'liang 根现量
'gen'xian'shi 根现识
'gong'bu'ding 共不定
'gong'xiang 共相
'guan'cha'ting'wen'song 观察听闻颂
'guan'dai'cha'bie'yin 观待差别因
'guan'dai'di'zhe'bu'cheng 观待敌者不成
'guan'dai'fei'yi'zi'xing'yin 观待非异自性因
'guan'dai'li'di'ju'bu'cheng 观待立敌俱不成
'guan'dai'li'zhe'bu'cheng 观待立者不成
'guan'dai'lun'zhe'bu'cheng 观待论者不成
'guan'dai'po'que'ding'yin 观待破确定因
'guan'dai'yi'de'zi'xing'yin 观待异的自性因
'guan'guan'xi'lun'zhu 观关系论注
'guan'hui 观慧
'guan'qian'yu'song 观遣余颂
'guan'san'shi 观三时
'guan'suo'yuan'yuan'lun 观所缘缘论
'guan'suo'yuan'yuan'lun'shi 观所缘缘论释
'guan'suo'yuan'yuan'lun'shu 观所缘缘论疏
'guan'xian'shi'xin 观现世心
'guan'xiang'zhu'lun 观相属论
'guan'xiang'zhu'lun'guang'shi 观相属论广释
'guo'ji'chen 果积尘
'guo'se 果色
'guo'xiang'wei'guo'ke'de 果相违果可得
'guo'xiang'wei'ke'de'yin 果相违可得因
'guo'xiang'wei'suo'bian'ke'de 果相违所遍可得
'guo'xiang'wei'yin 果相违因
'guo'xiang'wei'zi'xing'ke'de 果相违自性可得
'guo'yin 果因
'he'li'jie'he'lun 合理结合论
'he'li'you'yu 合理犹豫
'he'li'zhe'qian'qu'ru'xin 合理遮遣趋入心
'heng'chang'bu'bian'shi'you 恒常不变实有
'hou'chen 后陈
'hou'cheng 后成
'hu'jue'xiang'wei 互绝相违
'hu'jue'xiang'wei'lun'shi 互绝相违论式
'hu'jue'xiang'wei'ying'cheng 互绝相违应成
'hui'zhe 回遮
'huo'dong'chang'suo 活动场所
'huo'luan'yin 惑乱因
'ji'cheng'bi'liang 极成比量
'ji'cheng'xiang'wei 极成相违
'ji'cheng'yin 极成因
'ji'du 计度
'ji'jiong'se 极迥色
'ji'liang'lun 集量论
'ji'liang'lun'shi 集量论释
'ji'lue'se 极略色
'ji'shuo'sheng 记说声
'ji'song 记诵
'ji'wei'chen 极微尘
'jia'li'ming 假立名
'jia'ming 假名
'jia'you 假有
'jia'you'san'fa 假有三法
'jian'gong'neng'xian'liang 见功能现量
'jian'jie'ling'wu 间接领悟
'jian'jie'xiang'wei 间接相违
'jian'jie'ying'she 间接影射
'jie'guo'lun'shi 诘过论式
'jin'gang'xie'yin 金刚屑因
'jin'qu'yin 近取因
'jing'jin'cha'bie'yin 净尽差别因
'jing'zi'xiang'qian'yu 境自相遣余
'jiu'ju'yin 九句因
'jiu'zhong'bu'bing'cun'xiang'wei'ying'cheng 九种不并存相违应成
'ju'bu'qian 俱不遣
'ju'ding'xin'yuan'lun 俱定新缘论
'ju'guang'da'wu'gou'ji'liang'lun'shu 具广大无垢集量论疏
'ju'sheng'xiang 俱生香
'ju'sheng'yin 俱生因
'ju'you'yin 俱有因
'ju'you'yuan 俱有缘
'ju'zong 聚总
'jue'ze'fa'yu'you'fa'lun 抉择法与有法论
'ke'xian'bu'ke'de'yin 可现不可得因
'ken'ding 肯定
'le'xiang 了相
'le'yu 乐欲
'lei'tong 类同
'lei'zong 类总
'li'fen'bie 离分别
'li'liang 立量
'li'lun'zhe'fu'chu 立论者负处
'li'men 理门
'li'neng'huo'li'you 立能或理由
'li'ta'yuan'man 利他圆满
'li'xi'guo 离系果
'li'xi'zi 离系子
'li'yi'yi'yin 离一异因
'li'you'bu'ding'si'cha'yi 理由不定伺察意
'li'you'xiang'wei'si'cha'yi 理由相违伺察意
'li'zhe 立者
'li'zong 立宗
'liang'da'fu 量大夫
'liang'guo 量果
'liang'ju'yi'ming'xian'zhu 量句义明显注
'liang'jue'ze'chuang 量抉择创
'liang'li'bao'zang 量理宝藏
'liang'li'hai'lun 量理海论
'liang'li'zhuang'yan'lun 量理庄严论
'liang'shi'xiang'wei 量识相违
'liang'xue 量学
'liang'xue'li'di'lun 量学理滴论
'liang'yin'ming 量因明
'liang'yu'guo'ji'suo'liang'san'zhe 量与果及所量三者
'liang'zhi'lun'gui 两支论轨
'liang'zhong'fu'chu 两种负处
'ling'na'li 领纳力
'ling'you'xian'zhi'bie'you'fou'ding 另有限制别有否定
'liu'chen'zhi'ju 六尘质聚
'liu'shi 六识
'liu'shi'jie 六识界
'liu'wei 六味
'liu'zheng'lun 六诤论
'liu'zhong'dui'li'ke'de'yin 六种对立可得因
'liu'zhong'gong'bu'ding'yin 六种共不定因
'liu'zhong'shi'jing'bu'cheng'yin 六种事境不成因
'long'yu 龙域
'lun'gui 论轨
'lun'shi 论式
'ming'hao'wei 名号位
'ming'shuo 明说
'ming'wen'xu'shu 明文叙述
'ming'wu 名物
'ming'xiang 名相
'ming'yan'fen'bie 名言分别
'ming'yan'gong'xiang 名言共相
'ming'yan'gong'xiang'fen'bie 名言共相分别
'ming'yan'wei 名言位
'ming'zhi 明知
'nao'liu'gen'ben'fan'nao 恼六根本烦恼
'nei'bian 内遍
'nei'jing'se 内净色
'nei'jing'wu'zhi 内境物质
'nei'liu'chu 内六处
