'a'er'ci'hai'mo'bing 阿尔茨海默病
'a'mi'ba'bing 阿米巴病
'ai'zi'bing 艾滋病
'bai'hou 白喉
'bai'nei'zhang 白内障
'bai'ri'ke 百日咳
'bai'xi'bao'jian'shao'he'li'xi'bao'que'fa'zheng 白细胞减少和粒细胞缺乏症
'bai'xue'bing 白血病
'bai'xue'zheng 败血症
'bi'dou'yan 鼻窦炎
'bi'yan 鼻炎
'bian'mi 便秘
'bing'du'xing'fei'yan 病毒性肺炎
'bing'xing'bing'du'xing'gan'yan 丙型病毒性肝炎
'bu'lu'jun'bing 布鲁菌病
'bu'yun'bu'yu 不孕不育
'chang'a'mi'ba'bing 肠阿米巴病
'chang'jie'he 肠结核
'chou'chu'yu'jing'jue 抽搐与惊厥
'chou'dong'hui'yu'zong'he'zheng 抽动秽语综合征
'chu'xie'qing'xiang 出血倾向
'chui'ti'liu 垂体瘤
'cui'ru'cui'chan 催乳催产
'dai'zhuang'pao'zhen 带状疱疹
'dan'bai'niao 蛋白尿
'dan'chun'xing'jia'zhuang'xian'zhong 单纯性甲状腺肿
'dan'jie'shi 胆结石
'dan'nang'yan 胆囊炎
'di'xue'tang 低血糖
'di'xue'ya 低血压
'dian'xian 癫痫
'dong'mai'zhou'yang'ying'hua 动脉粥样硬化
'e'xin'yu'ou'tu 恶心与呕吐
'fa're 发热
'fan'suan 反酸
'fei'bu'zhen'jun'gan'ran 肺部真菌感染
'fei'jie'he 肺结核
'fei'nong'zhong 肺脓肿
'fei'pang'zheng 肥胖症
'fei'yan'qiu'jun'fei'yan 肺炎球菌肺炎
'fei'yan'zhi'yuan'ti'fei'yan 肺炎支原体肺炎
'fei'yuan'xing'xin'zang'bing 肺源性心脏病
'fen'zhi'gan'jun'gan'ran 分枝杆菌感染
'feng'zhen 风疹
'fu'ke'gan'ran 妇科感染
'fu'tong 腹痛
'fu'xie 腹泻
'fu'zhang 腹胀
'gan'a'mi'ba'bing 肝阿米巴病
'gan'ran'xing'xin'nei'mo'yan 感染性心内膜炎
'gan'ran'xing'xiu'ke 感染性休克
'gan'xing'nao'bing 肝性脑病
'gan'ying'hua 肝硬化
'gao'xue'ya 高血压
'gao'zhi'xue'zheng 高脂血症
'geng'nian'qi'zong'he'zheng 更年期综合征
'gong'ji'shi'tiao 共济失调
'gong'neng'xing'zi'gong'chu'xue 功能性子宫出血
'gou'duan'luo'xuan'ti'bing 钩端螺旋体病
'gu'sui'zeng'sheng'yi'chang'zong'he'zheng 骨髓增生异常综合征
'gu'xing'guan'jie'yan 骨性关节炎
'gu'zhi'shu'song'zheng 骨质疏松症
'guan'jie'tong 关节痛
'guan'xin'bing'xin'ji'geng'si 冠心病心肌梗死
'guan'xin'bing'xin'jiao'tong 冠心病心绞痛
'guo'min'xing'ji'bing 过敏性疾病
'hu'xi'kun'nan 呼吸困难
'hu'xi'shuai'jie 呼吸衰竭
'huang'dan 黄疸
'hui'chong'gan'ran 蛔虫感染
'hui'gui're 回归热
'huo'luan 霍乱
'ji'sui'hui'zhi'yan 脊髓灰质炎
'ji'xing'qi'guan'zhi'qi'guan'yan 急性气管支气管炎
'ji'xing'shang'hu'xi'dao'gan'ran 急性上呼吸道感染
'jia'xing'bing'du'xing'gan'yan 甲型病毒性肝炎
'jia'zhuang'pang'xian'gong'neng'jian'tui'zheng 甲状旁腺功能减退症
'jia'zhuang'xian'gong'neng'jian'tui'zheng 甲状腺功能减退症
'jia'zhuang'xian'gong'neng'kang'jin'zheng 甲状腺功能亢进症
'jia'zhuang'xian'yan 甲状腺炎
'jiao'lv'zheng 焦虑症
'jie'he'xing'fu'mo'yan 结核性腹膜炎
'jing'shen'fen'lie'zheng 精神分裂症
'ju'ren'zheng'he'zhi'duan'fei'da'zheng 巨人症和肢端肥大症
'jun'tuan'jun'fei'yan 军团菌肺炎
'ka'xie 咯血
'kang'li'niao'ji'su'fen'mi'shi'tiao'zong'he'zheng 抗利尿激素分泌失调综合征
'kang'zao'yun 抗早孕
'ke'lei'bai'gan'jun'fei'yan 克雷白杆菌肺炎
'ke'sou 咳嗽
'ke'tan 咳痰
'ku'xin'zong'he'zheng 库欣综合征
'kuang'quan'bing 狂犬病
'kui'yang'xing'jie'chang'yan 溃疡性结肠炎
'lai'mu'bing 莱姆病
'lei'feng'shi'guan'jie'yan 类风湿关节炎
'li'ke'ci'ti'bing 立克次体病
'liu'xing'xing'chu'xue're 流行性出血热
'liu'xing'xing'gan'mao 流行性感冒
'liu'xing'xing'sai'xian'yan 流行性腮腺炎
'liu'xing'xing'yi'xing'nao'yan 流行性乙型脑炎
'lu'nei'ya'sheng'gao 颅内压升高
'ma'zhen 麻疹
'man'xing'wei'yan 慢性胃炎
'man'xing'zhi'qi'guan'yan 慢性支气管炎
'mei'ni'ai'bing 梅尼埃病
'mi'san'xing'xue'guan'nei'ning'xue 弥散性血管内凝血
'nan'xing'xing'gong'neng'zhang'ai 男性性功能障碍
'nao'chu'xue 脑出血
'nao'geng'si 脑梗死
'nao'nong'zhong 脑脓肿
'niao'beng'zheng 尿崩症
'niao'lu'gan'ran'shen'yu'shen'yan'pang'guang'yan 尿路感染肾盂肾炎膀胱炎
'niao'pin'niao'ji'niao'tong 尿频尿急尿痛
'ning'xue'gong'neng'zhang'ai'xing'ji'bing 凝血功能障碍性疾病
'nong'xiong 脓胸
'nue'ji 疟疾
'pa'jin'sen'bing 帕金森病
'pian'tou'tong 偏头痛
'pin'xue 贫血
'po'shang'feng 破伤风
'pu'tao'qiu'jun'fei'yan 葡萄球菌肺炎
'qi'guan'zhi'qi'guan'yan 气管支气管炎
'qi'ta'chang'jian'ge'lan'yin'xing'gan'jun'fei'yan 其它常见革兰阴性杆菌肺炎
'qi'ta'ru'chong'gan'ran 其它蠕虫感染
'qi'xing'huai'ju 气性坏疽
'qian'lie'xian'yan 前列腺炎
'qian'lie'xian'zeng'sheng 前列腺增生
'qiang'zhi'xing'ji'zhu'yan 强直性脊柱炎
'qing'guang'yan 青光眼
'ren'lun'zhuang'bing'du'gan'ran 人轮状病毒感染
'ru'xian'ji'bing 乳腺疾病
'san'cha'shen'jing'tong 三叉神经痛
'shang'han'fu'shang'han 伤寒副伤寒
'shang'xiao'hua'dao'da'liang'chu'xie 上消化道大量出血
'shao'niao'yu'duo'niao 少尿与多尿
'shen'bing'zong'he'zheng 肾病综合征
'shen'jie'shi 肾结石
