'an'dian 鞍点
'ao'ka'mu'ti'dao 奥卡姆剃刀
'ban'ben'kong'jian 版本空间
'ban'jian'du'xue'xi 半监督学习
'ban'jian'du'zhi'chi'xiang'liang'ji 半监督支持向量机
'ban'pu'su'bei'ye'si'fen'lei'qi 半朴素贝叶斯分类器
'bao'wai'gu'ji 包外估计
'bei'bao'wen'ti 背包问题
'bei'ye'si'jue'ce'lun 贝叶斯决策论
'bei'ye'si'mo'xing'ping'jun 贝叶斯模型平均
'bei'ye'si'pan'ding'zhun'ze 贝叶斯判定准则
'bei'ye'si'wang'luo 贝叶斯网络
'bei'ye'si'zui'you'fen'lei'qi 贝叶斯最优分类器
'bi'li'xuan'ze'mo'xing 比例选择模型
'bi'shi 闭式
'bian'chong'zu'jiao'cha 边重组交叉
'bian'fen'tui'duan 变分推断
'bian'ji'du'li'xing 边际独立性
'bian'ji'fen'bu 边际分布
'bian'ji'hua 边际化
'bian'jie'bian'yi 边界变异
'bian'ma'ju'zhen 编码矩阵
'bian'yi 变异
'bian'yi'gai'lv 变异概率
'bian'yi'pin'lv 变异频率
'bian'yi'suan'zi 变异算子
'biao'ji 标记
'biao'ji'dai'jia 标记代价
'biao'ji'hua 标记化
'biao'ji'kong'jian 标记空间
'biao'qian 标签
'biao'shi'ding'li 表示定理
'biao'zheng 表征
'biao'zheng'xue'xi 表征学习
'biao'zhun'xing'bing'xing'fang'fa 标准型并行方法
'bing'xing'xing 并行性
'bing'xing'yi'chuan'suan'fa 并行遗传算法
'bo'er'zi'man'ji 玻尔兹曼机
'bo'yi'lun 博弈论
'bu'er'gai'nian'xue'xi 布尔概念学习
'bu'fen'pi'pei'jiao'cha 部分匹配交叉
'bu'fen'ying'she'jiao'cha 部分映射交叉
'bu'he'du'liang 不合度量
'bu'min'gan'sun'shi 不敏感损失
'cai'yang 采样
'can'cha'wang'luo 残差网络
'can'cha'ying'she 残差映射
'can'kao'mo'xing 参考模型
'can'shu 参数
'can'shu'gu'ji 参数估计
'can'shu'tiao'jie 参数调节
'ce'shi 测试
'ce'shi'dai'jia 测试代价
'ce'shi'han'shu 测试函数
'ce'shi'ji 测试集
'ce'shi'shi'li 测试示例
'ce'shi'shi'li 测试试例
'ce'shi'wu'cha 测试误差
'ce'shi'yang'ben 测试样本
'ceng'ci'ju'lei 层次聚类
'cha'quan'lv 查全率
'cha'yi'xing'du'liang 差异性度量
'cha'zhun'lv 查准率
'chang'duan'qi'ji'yi 长短期记忆
'chao'can'shu 超参数
'chao'li'fang'ti 超立方体
'chao'xian'xue'xi'ji 超限学习机
'cheng'ben'han'shu 成本函数
'cheng'ben'ju'zhen 成本矩阵
'cheng'ben'min'gan 成本敏感
'cheng'ben'qu'xian 成本曲线
'cheng'dui'ma'er'ke'fu'xing 成对马尔可夫性
'cheng'dui'xing 成对型
'cheng'mi'chi'du'bian'huan 乘幂尺度变换
'chi'hua 池化
'chu'shi'qun'ti 初始群体
'chun'he'zi 纯合子
'ci'kuai 词块
'ci'qian'ru 词嵌入
'ci'xing'biao'zhu 词性标注
'ci'yi'xiao'qi 词义消歧
'cu'jian'xiang'si'du 簇间相似度
'cu'li'du'bing'xing'yi'chuan'suan'fa 粗粒度并行遗传算法
'cu'nei'xiang'si'du 簇内相似度
'cuo'wu'lv 错误率
'da'shu'ju 大数据
'dai'gou 代沟
'dai'jia'min'gan'xue'xi 代价敏感学习
'dai'jia'qu'xian 代价曲线
'dan'bei'ti 单倍体
'dan'bian'liang'jue'ce'shu 单变量决策树
'dan'dian'jiao'cha 单点交叉
'dan'feng'zhi'han'shu 单峰值函数
'dan'wei'jie'yue'han'shu 单位阶跃函数
'dan'zhi'ling'liu'duo'shu'ju'liu 单指令流多数据流
'dao'de'tu 道德图
'dao'wei'gai'lv 倒位概率
'dao'wei'suan'zi 倒位算子
'dao'yu'mo'xing 岛屿模型
'deng'du'liang'ying'she 等度量映射
'deng'fen'hui'gui 等分回归
'deng'wei'ji'yin 等位基因
'di'gui'shen'jing'wang'luo 递归神经网络
'die'dai'er'fen'qi 迭代二分器
'dong'liang 动量
'dong'tai'can'shu'bian'ma 动态参数编码
'dong'tai'gui'hua 动态规划
'dong'tai'rong'he 动态融合
'du'li'cheng'fen'fen'xi 独立成分分析
'du'li'tong'fen'bu 独立同分布
'du'liang'xue'xi 度量学习
'du'pan'xuan'ze 赌盘选择
'du'yi'lai'gu'ji 独依赖估计
'duan'dao'duan 端到端
'duan'zheng'tu 端正图
'dui'kang'wang'luo 对抗网络
'dui'ou'wen'ti 对偶问题
'dui'shu'ji'lv 对数几率
'dui'shu'si'ran 对数似然
'dui'shu'xian'xing'hui'gui 对数线性回归
'duo'bei'ti 多倍体
'duo'bian'liang'xian'xing'hui'gui 多变量线性回归
'duo'can'shu'bian'ma 多参数编码
'duo'ceng'gan'zhi'qi 多层感知器
'duo'ceng'qian'kui'shen'jing'wang'luo 多层前馈神经网络
'duo'dian'jiao'cha 多点交叉
'duo'fen'lei 多分类
'duo'fen'lei'ren'wu 多分类任务
'duo'feng'zhi'han'shu 多峰值函数
'duo'mo'tai'han'shu 多模态函数
'duo'mo'tai'xue'xi 多模态学习
'duo'mu'biao'zui'you'hua 多目标最优化
'duo'shi'yuan'ze 多释原则
'duo'wei'suo'fang 多维缩放
'duo'wen'dang'zhai'yao 多文档摘要
'duo'xiang'shi'he'han'shu 多项式核函数
'duo'xiang'ying'xian'xing'hui'gui 多响应线性回归
'duo'yang'xing'du'liang 多样性度量
'duo'yuan'xian'xing'hui'gui 多元线性回归
'duo'zhi'ling'liu'duo'shu'ju'liu 多指令流多数据流
'er'ci'xue'xi 二次学习
'er'fen'fa 二分法
'er'fen'lei 二分类
'er'fen'lei'ren'wu 二分类任务
'er'jin'zhi'bian'ma'ji'yin 二进制编码基因
'er'xiang'jian'yan 二项检验
'fa'han'shu'pai'lie 罚函数排列
'fan'hua 泛化
'fan'hua'neng'li 泛化能力
'fan'hua'wu'cha 泛化误差
'fan'hua'wu'cha'shang'jie 泛化误差上界
'fan'lei 反类
'fan'li 反例
'fan'shu 范数
'fan'xiang'chuan'bo 反向传播
'fan'zhuan'fa 翻转法
'fang'cha'kun'jing 方差困境
'fang'she'ceng 仿射层
'fei'bao'he'bo'yi 非饱和博弈
'fei'du'liang'ju'li 非度量距离
'fei'fu'ju'zhen'fen'jie 非负矩阵分解
'fei'jun'deng'dai'jia 非均等代价
'fei'jun'yun'bian'yi 非均匀变异
'fei'tu'you'hua 非凸优化
'fei'xian'xing'mo'xing 非线性模型
'fen'bu 分布
'fen'bu'sui'ji'jin'lin'qian'ru 分布随机近邻嵌入
'fen'ceng'cai'yang 分层采样
'fen'jie'xing'bing'xing'suan'fa 分解型并行算法
'fen'lei 分类
'fen'lei'qi 分类器
'fen'lei'qi'xi'tong 分类器系统
'fen'lei'yu'hui'gui'shu 分类与回归树
'fen'li'chao'ping'mian 分离超平面
