'a'cheng 阿澄
'a'jing 阿箐
'a'song 阿松
'a'yang 阿洋
'ao'xue'ling'shuang'song'zi'chen 傲雪凌霜宋子琛
'ba'ling'ou'yang'shi 巴陵欧阳氏
'ba'xia 霸下
'bai'feng'shan'wei'lie 百凤山围猎
'bao'shan'san'ren 抱山散人
'bi'chen 避尘
'bu'hui'lai'jiu'bu'hui'lai 不回来就不回来
'cang'se'san'ren 藏色散人
'chen'qing 陈情
'cheng'mei 成美
'chi'feng'zun 赤锋尊
'ci'sheng'bu'wang'xian'yun'tian 此生不忘羡云天
'da'fan'shan 大梵山
'dan'mei 耽美
'dian'jing'zhao'jiang'shu 点睛召将术
'dong'ying'luan'po'chao 东瀛乱魄抄
'duo'she 夺舍
'feng'luan'bi'chu 逢乱必出
'feng'xie'pan 风邪盘
'fu'xue 拂雪
'gu'su'lan'shi 姑苏蓝氏
'gu'su'yi'bei'dao 姑苏一杯倒
'gu'su'yun'shen'bu'zhi'chu 姑苏云深不知处
'gui'dao 鬼道
'han'guang'jun 含光君
'he'ta'he'guo'de'jiu'shou'ta'shou'guo'de'shang 喝他喝过的酒受他受过的伤
'hen'sheng 恨生
'hua'dan'shou 化丹手
'ji'xiong 机兄
'jia'wen 家纹
'jia'zhu 家主
'jiang'cheng 江澄
'jiang'feng'mian 江枫眠
'jiang'wan'yin 江晚吟
'jiang'yan'li 江厌离
'jiang'zai 降灾
'jin'guang'shan 金光善
'jin'guang'yao 金光瑶
'jin'ling 金凌
'jin'ru'lan 金如兰
'jin'xi'shi'he'nian 今夕是何年
'jin'xing'xue'lang 金星雪浪
'jin'zi'xuan 金子轩
'jin'zi'xun 金子勋
'jiu'ban'lian 九瓣莲
'jiu'yong'zhe'wu'ming'yi'qu'nuo'ci'sheng 就用这无名一曲诺此生
'juan'yun'wen 卷云纹
'lan'da 蓝大
'lan'er 蓝二
'lan'huan 蓝涣
'lan'jing'yi 蓝景仪
'lan'ling'jin'lin'tai 兰陵金鳞台
'lan'ling'jin'shi 兰陵金氏
'lan'qi'ren 蓝启仁
'lan'shi'shuang'bi 蓝氏双璧
'lan'si'zhui 蓝思追
'lan'wang'ji 蓝忘机
'lan'xi'chen 蓝曦臣
'lan'yuan 蓝愿
'lan'zhan 蓝湛
'lao'zu 老祖
'lian'fang'zun 敛芳尊
'lian'ou'pai'gu'tang 莲藕排骨汤
'liao'wang'tai 瞭望台
'lie'bing 裂冰
'ling'qi'ye'shi'qi 灵气也是气
'luo'qing'yang 罗青羊
