'ai'xi'jing'shen 爱惜精神
'an'shang'bu'ke'duo'shu 案上不可多书
'an'wei'ding'bian 安危定变
'ba'yi'nian'chen'qian'de'xia 把意念沉潜得下
'ba'zhi'qi'fen'fa'de'qi 把志气奋发得起
'bao'shi'men'shen 饱食闷神
'bei'bai'hang'yi'kao'de 备百行以考德
'bei'hou'zuo'you 背后左右
'bian'li'ming'shan'da'chuan 遍历名山大川
'bian'ren'li'bu'zhen 便认理不真
'bian'ru'dian'guang'zhao'wu 便如电光照物
'bian'ru'jiao'zhu'gu'se 便如胶柱鼓瑟
'bian'ru'shui'xing'de'che 便如水行得车
'bian'ru'yi'shui'wo'shi 便如以水沃石
'bian'shou'li'bu'ding 便守理不定
'bian'suan'du'shu'zhong'zi 便算读书种子
'bie'wu'qi'shu 别无奇书
'bo'dong'nian'yi'zhi'ji 卜动念以知几
'bu'gong'xing 不躬行
'bu'guo'zi'chen'di'you 不过子臣弟友
'bu'kai'wu 不开悟
'bu'neng'xian'ye 不能限也
'bu'neng'yu'ye 不能御也
'bu'ran 不然
'bu'ran'er'bian'kou'tou'er 不然耳边口头尔
'bu'ran'yi'shuo'du'zhuan'ye 不然臆说杜撰也
'bu'ti'ren 不体认
'bu'xu'xin 不虚心
'cheng'jiu'chu'shi'zhi'cheng'wu'wang 成就处是至诚无妄
'chu'gu'ren'zhi'wei'wei'gu'ren'zhi'shi 处古人之位为古人之事
'chu'shi'yao'jing'zhong'you'guo 处事要精中有果
'ci'zhang'zhi'shi'bu'ke'yi'zhi'guo'jia 词章之士不可以治国家
'cong'ming'yong'yu'xie'lu 聪明用于邪路
'cong'ming'yong'yu'zheng'lu 聪明用于正路
'cuo'tuo'sui'yue 蹉跎岁月
'du'jing'zhuan'ze'gen'di'hou 读经传则根柢厚
'du'liang'yao'hong 度量要宏
'du'lin'ming'dan 独凛明旦
'du'shu'gui'neng'yi 读书贵能疑
'du'shu'ji'wei'cheng'ming 读书即未成名
'du'shu'zai'you'jian 读书在有渐
'du'wei'jian'shu 读未见书
'dun'da'lun'yi'ning'dao 敦大伦以凝道
'duo'si'nao'shen 多思挠神
'duo'yan'shang'shen 多言伤神
'duo'you'yu'shen 多忧郁神
'er'ai'wei'ben 而哀为本
'er'cheng'wei'ben 而诚为本
'er'wen'xue'gong'ming 而文学功名
'er'xing'wei'ben 而行为本
'fang'shi'you'gen'xue'wen 方是有根学问
'fu'yu'qi'shen 附于其身
'gong'cheng'ming'jiao'zhong'ren 共成名教中人
'gu'dang'bo'qia 故当博洽
'gu'dang'chen'qian 故当沉潜
'gu'jin'lai'xu'duo'shi'jia 古今来许多世家
'gu'zhi'jun'zi'bing'qi'wu'neng'ye 古之君子病其无能也
'gu'zhi'xue'zhe'de'yi'shan'yan 古之学者得一善言
'guan'tian'di'sheng'wu'qi'xiang 观天地生物气象
'guan'yun'tian'ze'yan'jie'kuan 观云天则眼界宽
'hao'yin'shang'shen 浩饮伤神
'he'li'bu'ke'de 何理不可得
'he'shi'bu'ke'wei 何事不可为
'he'si'he'lv 何思何虑
'he'wei'da'ren 何谓大人
'he'wei'zhi'xing 何谓至行
'he'yi'shang'da 何以上达
'he'yi'yuan'dao 何以远到
'hou'shi'xue'wen'shi'liang'jie 后世学问是两截
'hou'wei'hun'shen 厚味昏神
'hui'zhi 讳之
'ji'du'shi'fu'du'jing 既读史复读经
'ji'fen'nei'shi 己分内事
'ji'sui'you'yi 祭虽有仪
'ji'yue'guang'feng 霁月光风
'jian'nai'ke'di'you'cheng 渐乃克底有成
'jian'yi'du'shu 见已读书
'jie'bao'shi 戒饱食
'jie'duo'si 戒多思
'jie'duo'yan 戒多言
'jie'duo'you 戒多忧
'jie'hao'yin 戒浩饮
'jie'hou'wei 戒厚味
'jie'jiu'du 戒久读
'jie'jiu'shui 戒久睡
'jie'ren'yao'he'zhong'you'jie 接人要和中有介
'jie'tan'se 戒贪色
'jie'wang'dong 戒妄动
'jie'zhong'jin'xiao 竭忠尽孝
'jin'ci'shen'wu'hui'qian'kun 尽此身污秽乾坤
'jin'wei'yi'yi'ding'ming 谨威仪以定命
'jin'wu'ben'fen'zai'su'wei'zhong 尽吾本分在素位中
'jin'wu'lun'ben'fen 尽五伦本分
'jin'zhi'jun'zi'chi'qi'wu'neng'ye 今之君子耻其无能也
'jin'zhi'xue'zhe'de'yi'shan'yan 今之学者得一善言
'jing'ji'chu'zi'xue'wen 经济出自学问
'jing'ji'fang'you'ben'yuan 经济方有本源
'jing'tian'wei'di 经天纬地
'jiu'du'ku'shen 久读枯神
'jiu'jing'ren'gao'pin'ya 究竟人高品雅
'jiu'shui'juan'shen 久睡倦神
'ju'xin'dang'ru'zhi'shui 居心当如止水
'kan'shi'jian'ze'shi'li'tong 看史鉴则事理通
'kan'shu'qiu'li 看书求理
'kou'li'yi'zhou 口里伊周
'lao'shen'ze'pi'er'bu'ru 劳神则疲而不入
'li'hai'lin'zhi'er'bi'bian 利害临之而必变
'li'yi'xin'de'wei'jing 理以心得为精
'lin'xian'ju'yi'ti'du 凛闲居以体独
'liu'jing'yi'wai 六经以外
'liu'ta'ri'dan'dang'yu'zhou 留他日担当宇宙
'lu'xing'de'zhou 陆行得舟
'mian'qian'ming 面前明
'ming'wei'gua'bang'sheng'xian 名为挂榜圣贤
'mu'shen'za'guan 目慎杂观
'nai'ji'fen'nei'shi 乃己分内事
'nai'yu'zhou'nei'shi 乃宇宙内事
'piao'feng'bu'ke'yi'tiao'gong'shang 飘风不可以调宫商
'qi'tu'xue'wen'wen'zhang 岂徒学问文章
'qian'shan'gai'guo'yi'zuo'sheng 迁善改过以作圣
'qiao'fu'bu'ke'yi'zhu'zhong'kui 巧妇不可以主中馈
'qiong'shan'ju'hai 穷山距海
'qiu'xing'dao'bu'wai'wen'zhang 求性道不外文章
'qu'shi'yu'ze'xiong'huai'jing 去嗜欲则胸怀净
'ren'li'yao'zheng'zhong'you'dao'tong 认理要正中有道通
'ru'de'liang'you 如得良友
'ru'feng'gu'ren 如逢故人
'ru'jiu'han'ou'ren 如酒汉欧人
'ru'pao'ren'yang'zao 如庖人炀灶
'rui'bing'gu'jia 锐兵固甲
'sang'sui'you'li 丧虽有礼
'shan'yi'yi'wei'chang 擅一艺微长
'she'shi'gong'geng'wu'xue'wen 舍事功更无学问
'shen'zai'tian'di'hou 身在天地后
'shen'zai'wan'wu'zhong 身在万物中
'sheng'xian'xue'wen'shi'yi'tao 圣贤学问是一套
'shi'ji'qi'jian 适济其奸
'shi'sheng'xian'di'yi'deng'gong'fu 是圣贤第一等工夫
'shi'sheng'xian'di'yi'deng'xue'wen 是圣贤第一等学问
'shi'sui'you'xue 士虽有学
'shi'yi'dian'gu'wei'ju 事以典故为据
'shou'wu'ben'xin'zai'qiang'zi'li 收吾本心在腔子里
'shu'du'wu'jing'zhu'shi 熟读五经诸史
'suo'yi'shuo'wei'jing 所以说惟精
'suo'yi'shuo'wei'yi 所以说惟一
'tan'se'mie'shen 贪色灭神
'tian'di'jian'di'yi'ren'pin 天地间第一人品
'wan'li'cheng'che 万理澄彻
'wan'wu'yi'ti 万物一体
'wang'dong'luan'shen 妄动乱神
'wei'shan'zui'le 为善最乐
'wei'xue'dang'ru'liu'shui 为学当如流水
'wei'zhi'cai 谓之才
'wei'zhi'du 谓之度
'wei'zhi'ren 谓之仁
'wei'zhi'wen 谓之文
'wei'zhi'xin 谓之心
'wei'zhi'xue 谓之学
'wu'fei'ji'de 无非积德
'wu'fen'hao'qi'li 无分毫气力
'wu'gen'ben'di'qi'jie 无根本底气节
'wu'jian'bu'ru 无坚不入
'wu'qu'wu'wang 勿取勿忘
'wu'xue'wen'di'shi'jian 无学问底识见
'wu'yi'xie'zhao'gu 无一些照顾
'wu'yi'yue'ren 务以悦人
'wu'yuan'wu'jie 无远勿届
'xia'shou'chu'shi'zi'qiang'bu'xi 下手处是自强不息
'xian'du'jing'hou'du'shi 先读经后读史
'xin'bu'yu'lao 心不欲劳
'xin'bu'yu'za 心不欲杂
'xin'li'shu'ze'shen'suo 心离书则神索
'xin'shen'za'yu 心慎杂欲
'xin'xing'fang'wei'yuan'man 心性方为圆满
'xin'xing'jian'zhi'shi'gong 心性见之事功
'xin'zai'tian'di'qian 心在天地前
'xin'zai'wan'wu'shang 心在万物上
'xin'zhong'bu'ke'shao'shu 心中不可少书
'xin'zhong'dao'zhi 心中盗跖
'xing'lai'tui'xiao 醒来退消
