'ai'gao'qiu'zhi'wu'nv 哀高丘之无女
'ai'min'sheng'zhi'duo'jian 哀民生之多艰
'ai'nan'yi'zhi'mo'wu'zhi'xi 哀南夷之莫吾知兮
'ai'wu'sheng'zhi'wu'le'xi 哀吾生之无乐兮
'ai'zhen'shi'zhi'bu'dang 哀朕时之不当
'ai'zhong'fang'zhi'wu'hui 哀众芳之芜秽
'bai'shen'yi'qi'bei'jiang'xi 百神翳其备降兮
'ban'lu'li'qi'shang'xia 斑陆离其上下
'bao'jue'mei'yi'jiao'ao'xi 保厥美以骄傲兮
'bei'ming'yue'xi'pei'bao'lu 被明月兮珮宝璐
'bei'sheng'mo'yi'zhui'qu'xi 背绳墨以追曲兮
'bi'gan'zu'hai 比干菹醢
'bi'yao'shun'zhi'geng'jie'xi 彼尧舜之耿介兮
'bu'fu'zhuang'er'qi'hui'xi 不抚壮而弃秽兮
'bu'gu'nan'yi'tu'hou'xi 不顾难以图后兮
'bu'liang'zao'er'zheng'rui'xi 不量凿而正枘兮
'bu'wu'zhi'qi'yi'yi'xi 不吾知其亦已兮
'bu'yu'ma'xi'shan'gao 步余马兮山皋
'bu'yu'ma'yu'lan'gao'xi 步余马於兰皋兮
'cao'wu'ge'xi'pi'xi'jia 操吴戈兮披犀甲
'ceng'xu'xi'yu'yu'yi'xi 曾歔欷余郁邑兮
'chang'kan'han'yi'he'shang 长顑颔亦何伤
'chang'tai'xi'yi'yan'ti'xi 长太息以掩涕兮
'chang'yu'pei'zhi'lu'li 长余佩之陆离
'chao'fa'ren'yu'cang'wu'xi 朝发轫於苍梧兮
'chao'fa'ren'yu'tian'jin'xi 朝发轫於天津兮
'chao'fa'wang'zhu'xi 朝发枉陼兮
'chao'qian'pi'zhi'mu'lan'xi 朝搴阰之木兰兮
'chao'tang'tan'xi 巢堂坛兮
'chao'wu'jiang'ji'yu'bai'shui'xi 朝吾将济於白水兮
'chao'yin'mu'lan'zhi'zhui'lu'xi 朝饮木兰之坠露兮
'chao'zhuo'fa'hu'wei'pan 朝濯发乎洧盘
'che'cuo'gu'xi'duan'bing'jie 车错毂兮短兵接
'cheng'e'zhu'er'fan'gu'xi 乘鄂渚而反顾兮
'cheng'ji'yong'xi'you'yi'wu 诚既勇兮又以武
'cheng'ling'chuan'yu'shang'yuan'xi 乘舲船余上沅兮
'cheng'qi'ji'yi'chi'cheng'xi 乘骐骥以驰骋兮
'chi'jiao'qiu'qie'yan'zhi'xi 驰椒丘且焉止息
'chu'bu'ru'xi'wang'bu'fan 出不入兮往不反
'chu'ji'yu'yu'cheng'yan'xi 初既与余成言兮
'chuan'rong'yu'er'bu'jin'xi 船容与而不进兮
'chun'yu'qiu'qi'dai'xu 春与秋其代序
'ci'lu'shi'yi'ying'shi'xi 薋菉葹以盈室兮
'dai'chang'jia'zhi'lu'li'xi 带长铗之陆离兮
'dai'chang'jian'xi'xie'qin'gong 带长剑兮挟秦弓
'dan'yu'ji'hu'jiang'xiang 旦余济乎江湘
'deng'kun'lun'xi'shi'yu'ying 登昆仑兮食玉英
'deng'lang'feng'er'xie'ma 登阆风而緤马
'di'gao'yang'zhi'miao'yi'xi 帝高阳之苗裔兮
'di'yu'che'xi'fang'lin 邸余车兮方林
'dian'yu'shen'er'wei'si'xi 阽余身而危死兮
'dun'yu'yi'yu'tuo'chi'xi 忳郁邑余佗傺兮
'ei'qiu'dong'zhi'xu'feng 欸秋冬之绪风
'er'he'huai'hu'gu'yu 尔何怀乎故宇
'fan'xin'chan'yi'ji'nu 反信谗以齌怒
'fang'bu'de'bao'xi 芳不得薄兮
'fang'fei'fei'er'nan'kui'xi 芳菲菲而难亏兮
'fang'fei'fei'qi'mi'zhang 芳菲菲其弥章
'fang'yu'ze'qi'za'rou'xi 芳与泽其杂糅兮
'fei'shi'su'zhi'suo'fu 非世俗之所服
'fei'yu'xin'zhi'suo'ji 非余心之所急
'fen'du'you'ci'hu'jie 纷独有此姱节
'fen'wu'ji'you'ci'nei'mei'xi 纷吾既有此内美兮
'fen'zhi'jin'you'wei'mei 芬至今犹未沬
'fen'zong'zong'qi'li'he'xi 纷总总其离合兮
'feng'huang'ji'shou'yi'xi 凤皇既受诒兮
'feng'huang'yi'qi'cheng'qi'xi 凤皇翼其承旂兮
'fu'he'qiong'du'er'bu'yu'ting 夫何茕独而不予听
'fu'qing'bai'yi'si'zhi'xi 伏清白以死直兮
'fu'shu'fei'yi'er'ke'yong'xi 夫孰非义而可用兮
