'an'gu'fen'hong 按股分红
'an'lao'fen'hong 按劳分红
'an'quan'sheng'chan'ze'ren'zhi 安全生产责任制
'ba'ke'zhi 巴克制
'ba'xiao'shi'gong'zuo'zhi 八小时工作制
'ban'shi'ye 半失业
'ben'qi'ye'gong'ling 本企业工龄
'bian'zhi'ding'yuan 编制定员
'bu'lao'dong'zhe'bu'de'shi 不劳动者不得食
'chao'e'lao'dong'bao'chou 超额劳动报酬
'cheng'zhen'lao'dong'li'ping'heng'biao 城镇劳动力平衡表
'chu'qin'lv 出勤率
'dai'ye'ren'yuan 待业人员
'ding'yuan 定员
'ding'yuan'biao'zhun 定员标准
'ding'yuan'fang'fa 定员方法
'fa'ding'jia'ri 法定假日
'fei'ding'e'shi'jian 非定额时间
'fei'gong'shang 非工伤
'fei'gong'shang'shi'gu 非工伤事故
'fei'lao'dong'shou'ru 非劳动收入
'fei'zhi'jie'sheng'chan'ren'yuan 非直接生产人员
'ge'jin'suo'neng'an'lao'fen'pei 各尽所能按劳分配
'ge'jin'suo'neng'an'xu'fen'pei 各尽所能按需分配
'ge'ti'lao'dong'zhe 个体劳动者
'gong'piao 工票
'gong'ri 工日
'gong'shang 工伤
'gong'shi 工时
'gong'shi'ding'e 工时定额
'gong'shi'li'yong'lv 工时利用率
'gong'wu'yuan'zhi'du 公务员制度
'gong'xu 工序
'gong'zhong 工种
'gong'zuo'shi'jian 工作时间
'gu'ding'gong'zhi'du 固定工制度
'guo'jia'zhi'gong'ren'shu'ji'hua 国家职工人数计划
'ji'gong'pei'xun'ji'hua 技工培训计划
'ji'hua'wai'yong'gong 计划外用工
'jia'wu'lao'dong 家务劳动
'jie'gou'xing'shi'ye 结构性失业
'jiu'ye'lv 就业率
'kao'qin'zhi'du 考勤制度
'lao'dong 劳动
'lao'dong'bao'chou 劳动报酬
'lao'dong'bao'hu 劳动保护
'lao'dong'bao'xian 劳动保险
'lao'dong'ding'yuan 劳动定员
'lao'dong'er'chong'xing 劳动二重性
'lao'dong'fu'he'liang 劳动负荷量
'lao'dong'fu'wu'gong'si 劳动服务公司
'lao'dong'gong'zuo 劳动工作
'lao'dong'guan'li 劳动管理
'lao'dong'he'tong 劳动合同
'lao'dong'ji'hua 劳动计划
'lao'dong'ji'ji'xing 劳动积极性
'lao'dong'ji'lv 劳动纪律
'lao'dong'jing'ji'xiao'yi 劳动经济效益
'lao'dong'jiu'ye 劳动就业
'lao'dong'jiu'ye'fang'zhen 劳动就业方针
'lao'dong'ke'xue 劳动科学
'lao'dong'li'fen'pei 劳动力分配
'lao'dong'li'guan'li 劳动力管理
'lao'dong'li'ji'hua 劳动力计划
'lao'dong'li'liu'dong 劳动力流动
'lao'dong'li'ping'heng'biao 劳动力平衡表
'lao'dong'li'su'zhi 劳动力素质
'lao'dong'li'tiao'pei 劳动力调配
'lao'dong'li'zi'yuan 劳动力资源
'lao'dong'li'zi'yuan'liang 劳动力资源量
'lao'dong'li'zi'yuan'lv 劳动力资源率
'lao'dong'li'zi'yuan'zong'liang 劳动力资源总量
'lao'dong'qiang'du 劳动强度
'lao'dong'sheng'chan'li 劳动生产力
'lao'dong'sheng'chan'lv'ji'hua 劳动生产率计划
'lao'dong'sheng'li'xue 劳动生理学
'lao'dong'shu'lian'cheng'du 劳动熟练程度
'lao'dong'wei'sheng 劳动卫生
'lao'dong'xiao'hao 劳动消耗
'lao'dong'xiao'yi 劳动效益
'lao'dong'xin'li'xue 劳动心理学
'lao'dong'yu'bei'zhi'du 劳动预备制度
'lao'dong'zheng'yi 劳动争议
'lao'dong'zhi'du 劳动制度
'lao'dong'zu'he 劳动组合
'lao'wu'chu'kou 劳务出口
'lao'wu'fei 劳务费
'lao'wu'he'zuo 劳务合作
'lao'wu'jia'ge 劳务价格
'li'run'fen'xiang 利润分享
'li'xiu 离休
'lian'chan'dao'lao 联产到劳
'lian'xu'gong'ling 连续工龄
'liang'zhong'lao'dong'zhi'du 两种劳动制度
'pin'ren'zhi 聘任制
'ping'jun'xian'jin'ding'e 平均先进定额
'ping'zhun'hua'fa 平准化法
'quan'yuan'lao'dong'sheng'chan'lv 全员劳动生产率
'quan'yuan'pei'xun 全员培训
'she'hui'bao'xian 社会保险
'she'hui'bao'zhang 社会保障
'she'hui'bao'zhang'zhi'du 社会保障制度
'she'hui'lao'dong'li'ji'hua 社会劳动力计划
'she'hui'lao'dong'li'ping'heng'biao 社会劳动力平衡表
'she'hui'lao'dong'zhe 社会劳动者
'shi'ji'gong'shi 实际工时
'shi'ye'lv 失业率
'te'shu'bao'hu 特殊保护
'tie'fan'wan 铁饭碗
'tong'bao'tong'pei 统包统配
'tong'gong'tong'chou 同工同酬
'tui'xiu 退休
'tui'zhi 退职
'xian'pei'xun'hou'jiu'ye 先培训后就业
'yi'wu'lao'dong'jian'ding 医务劳动鉴定
'yong'gong'zhi'du 用工制度
'you'xiao'shi'jian 有效时间
'zhi'gong'zi'ran'jian'yuan 职工自然减员
'zhi'ye'bing 职业病
'zhi'ye'dao'de 职业道德
