'an'de'wei'jing 安德维京
'bi'er'xi'en'si 比尔希恩斯
'bing'zhong 兵种
'bu'si'niao'hao 不死鸟号
'cai'kuang 采矿
'chuan'song 传送
'dai'er'a'na'jin 戴尔阿纳金
'gai'zhuang'gong'chang 改装工厂
'gao'neng'fang'hu 高能防护
'gu'lang'hao 孤狼号
'hong'zha'ji 轰炸机
'ji'di 基地
'ji'jia 机甲
'ji'qi'ren 机器人
'jia'su 加速
'jiang'ling 将领
'jie'sen 杰森
'jing'ti 晶体
'jun'qing'chu 军情处
'jun'shi'xue'yuan 军事学院
'jun'xian 军衔
'kai'en 凯恩
'ke'yan'zhong'xin 科研中心
'kuang'feng'hao 狂风号
'lei'ze'bi'en 雷泽比恩
'lian'meng 联盟
'ling'bo'su'zi 绫波素子
'luo'bo'te'xin'pu'sen 罗伯特辛普森
'na'ta'sha 娜塔莎
'pei'jian'zhong'xin 配件中心
'tan'ke 坦克
'wa'er'ji'li 瓦尔基里
'xing'bi 星币
'xing'bi'kuang 星币矿
'xing'gang 星港
'xing'ji'shang'chuan 星际商船
'xing'jun'jia'su 行军加速
'xiu'li'chang 修理厂
'you'kuang 铀矿
'yue'han'lei'nuo 约翰雷诺
'zhan'che 战车
'zhan'ji 战机
'zhan'jian 战舰
'zhi'hui'zhong'xin 指挥中心
