'an'he'ye 暗合页
'bai'hui 白灰
'bai'tie'pi 白铁皮
'ban'cai 板材
'bao'bi'xing'gang 薄壁型钢
'bao'li'ban 宝丽板
'bi'zhi 壁纸
'bian'gang 扁钢
'bo'hua'zhuan 玻化砖
'bo'li'gang 玻璃钢
'bo'li'mian 玻璃棉
'bo'li'xian'wei 玻璃纤维
'bo'li'zhuan 玻璃砖
'bu'wen'bo'li 布纹玻璃
'bu'xiu'gang'guan 不锈钢管
'cai'liao 材料
'cao'gang 槽钢
'cao'xing'ban 槽形板
'chuan'kong'ban 穿孔板
'chuan'kong'lv'kou'ban 穿孔铝扣板
'chun'suan'qing'qi 醇酸清漆
'ci'zhuan 瓷砖
'ci'zhuan 磁砖
'da'li'shi 大理石
'da'xin'ban 大芯板
'di'tan 地毯
'di'zhuan 地砖
'dian'han'tiao 电焊条
'dian'shi'bo'li 点式玻璃
'dian'shi'zhi'cheng 点式支承
'duo'le'shi 多乐士
'er'duan'li 二段力
'fa'pao 发泡
'fang'huo'ban 防火板
'fang'shui'shi'gao'ban 防水石膏板
'fang'xiu'qi 防锈漆
'fu'fa'bo'li 浮法玻璃
'gai'xing'li'qing 改性沥青
'gan'ying'xing 干硬性
'gang'ban'wang 钢板网
'gang'guan 钢管
'gang'gui 钢轨
'gang'hua'bo'li 钢化玻璃
'gang'jie'gou 钢结构
'gang'jin'hun'ning'tu 钢筋混凝土
'gang'si'wang 钢丝网
'gang'xing 刚性
'gong'zi'gang 工字钢
'gui'suan'yan'shui'ni 硅酸盐水泥
'he'ye 合页
'hua'gang'yan 花岗岩
'huan'bao 环保
'huan'bao'bi'zhi 环保壁纸
'hun'he'sha'jiang 混合砂浆
'jia'si'bo'li 夹丝玻璃
'jiao'gang 角钢
'jiao'he'ban 胶合板
'jiao'lian 铰链
'jiu'li'ban 九厘板
'ju'an'zhi 聚氨脂
'ju'ben'yi'xi 聚苯乙烯
'juan'cai 卷材
'kong'xin'zhuan 空心砖
'kuang'mian 矿棉
'kuang'mian'ban 矿棉板
'kuang'mian'xi'yin'ban 矿棉吸音板
'kuang'zha'mian 矿渣棉
'leng'di'zi'you 冷底子油
'li'bang'qi 立邦漆
'li'qing 沥青
'lian'su'guan 联塑管
'lv'he'jin 铝合金
'lv'kou'ban 铝扣板
'mi'du'ban 密度板
'mian'zhuan 面砖
'mo'sha'bo'li 磨砂玻璃
'pan'gen 盘根
'pen'sha'bo'li 喷砂玻璃
'peng'zhang'zhen'zhu'yan 膨胀珍珠岩
'pin'hua 拼花
'ping'ban'bo'li 平板玻璃
'ping'wa 平瓦
'pu'di'zhuan 铺地砖
'qi'kuai 砌块
'qian'feng'gao 嵌缝膏
'qian'you 铅油
'qiang'ban 墙板
'qiang'zhi 墙纸
'qing'gang'long'gu 轻钢龙骨
'qing'qi 清漆
'ren'zao'shi 人造石
'ru'jiao'qi 乳胶漆
'san'he'tu 三合土
'san'he'yi 三合一
'sheng'shi'hui 生石灰
'shi'cai 石材
'shi'gao 石膏
'shi'gao'ban 石膏板
'shi'gao'xian 石膏线
'shi'hui 石灰
'shi'hui'sha'jiang 石灰砂浆
'shi'mian'sheng 石绵绳
'shi'mian'wa 石棉瓦
'shi'mu 实木
'shi'mu'xian 实木线
'shou'kou'xian 收口线
'shu'shi'hui 熟石灰
'shui'ni'sha'jiang 水泥砂浆
'shui'ni'wa 水泥瓦
'shui'ni'ya'suo'ban 水泥压缩板
'shui'ni'zhuan 水泥砖
'su'liao 塑料
'su'shui'ni 素水泥
'tai'mian'ban 台面板
'tong'ti'zhuan 通体砖
'wa'leng'tie 瓦楞铁
'wai'qiang'mian'zhuan 外墙面砖
'wai'qiang'zhuan 外墙砖
'wei'kong'ban 微孔板
'wu'guang'qi 无光漆
'wu'he'yi 五合一
'wu'li'ban 五厘板
'xi'mu'gong'ban 细木工板
'xian'wei'ban 纤维板
'xiao'ji'qing'qi 硝基清漆
'xing'gang 型钢
'ya'guang'qi 亚光漆
'ya'hua'bo'li 压花玻璃
'yi'ci'cheng'xing'ban 一次成型板
'yin'fen'qi 银粉漆
'ying'mu 硬木
'you'ji'bo'li 有机玻璃
'you'mian'zhuan 釉面砖
'you'qi 油漆
'you'zhan 油毡
'yuan'gang 圆钢
'yuan'hu'bo'li 圆弧玻璃
'zhi'mian'shi'gao'ban 纸面石膏板
'zhi'shui'dai 止水带
'zhong'mi'du'ban 中密度板
'zhuang'shi'ban 装饰板
