'ai'ai'duo'shi 蔼蔼多士
'ai'ce'liu'wen 哀策流文
'ai'diao'di'shi'san 哀吊第十三
'ai'er'you'zheng 哀而有正
'ai'gong'zuo'lei 哀公作诔
'ai'hu'ruo'ke'di 暧乎若可觌
'ai'qi'fan'jing'zhi'you 爱奇反经之尤
'ai'qi'zhe'wen'gui'er'jing'ting 爱奇者闻诡而惊听
'ai'yan'ru'mian 僾焉如面
'ai'zhe 哀者
'an'bu'zheng'wu 按部整伍
'an'chun'qiu'jing'zhuan 按春秋经传
'an'ge'tian'zhi'ge 按葛天之歌
'an'gong'yi'yi 安恭已矣
'an'gui'cang'zhi'jing 按归藏之经
'an'guo'zhi'bian'xiong'nu 安国之辩匈奴
'an'guo'zhi'chuan'shu 安国之传书
'an'jing'yan'wei 按经验纬
'an'ke'yi'qu'lun'zai 安可以曲论哉
'an'na'zhi'zu'zhang 按那之卒章
'an'pei'wen'ya'zhi'chang 按辔文雅之场
'an'pei'yu'xie'zheng'zhi'lu 按辔于邪正之路
'an'qi'lue'yi'wen 按七略艺文
'an'ren'qing'min 安仁轻敏
'an'shi'er'shu 按实而书
'an'you'lei'de'shu'zun 安有累德述尊
'an'you'zhang'fu'xue'wen 安有丈夫学文
'an'zhao'nan'xing'lu 按召南行露
'ao'an'quan'shi 傲岸泉石
'ao'xiang'hu'shu'pu 翱翔乎书圃
'ao'ya'shang'dou'zhi'qian 傲雅觞豆之前
'ao'yu'xian'shu 奥与显殊
'ao'zhe'fu'yin 奥者复隐
'ba'cui'chu'lei 拔萃出类
'ba'cui'yu'yong'shi 拔萃于咏史
'ba'ming'qu'fen 八名区分
'ba'shu'yi'pu'zheng'ti 八书以铺政体
'ba'ti'sui'shu 八体虽殊
'ba'xing'ke'ping 八刑克平
'ba'yin'chi'wen 八音攡文
'ba'yue'qing'mi 八曰轻靡
'bai'feng'ge'yi 百封各意
'bai'fu'mo'shu 百夫莫赎
'bai'guan'xun'shi 百官询事
'bai'guan'zhen'que 百官箴阙
'bai'hu'tong'jiang 白虎通讲
'bai'jia'biao'hai 百家飙骇
'bai'ju'bu'qian 百句不迁
'bai'liang'lie'yun 柏梁列韵
'bai'liang'zhan'chao'yan'zhi'shi 柏梁展朝宴之诗
'bai'ling'ying'cu 百龄影徂
'bai'ri'chui'qi'zhao 白日垂其照
'bai'ri'yu'chun'lin'gong'chao'zai 白日与春林共朝哉
'bai'shi'wu'pi'zhe'ye 百世无匹者也
'bai'xing'zhi'qun'ju 百姓之群居
'bai'yan'zi'chen 百言自陈
'bai'you'ba'shi'yu'jia'yi 百有八十馀家矣
'bai'yu'chi'wu'zhi'fu 白鱼赤乌之符
'ban'biao'cai'yong 班彪蔡邕
'ban'biao'can'zou'yi'bu'ling 班彪参奏以补令
'ban'cao'shi'ye 班曹是也
'ban'gu'bin'xi 班固宾戏
'ban'gu'chan'dou'yi'zuo'wei 班固谄窦以作威
'ban'gu'cheng'gu'shi'zhi'liu'ye 班固称古诗之流也
'ban'gu'dian'yin 班固典引
'ban'gu'yi'wei 班固以为
'ban'gu'zhi'si'zhuo'shan 班固之祀涿山
'ban'ji'nv'jie 班姬女戒
'ban'jian'bi'lu 半简必录
'ban'shi'li'ji 班史立纪
'ban'zhe'xin'shi 半折心始
'ban'zi'tong'wen'zhe'ye 半字同文者也
'bang'cai'ze'tan'nang 傍采则探囊
'bang'ji'wan'pin 傍及万品
'bao'bi'hun'luan 暴彼昏乱
'bao'bian'ren'sheng 褒贬任声
'bao'bian'yu'cai'lue 褒贬于才略
'bao'er'wu'jian 褒而无间
'bao'hui'tong 苞会通
'bao'jian'yi'zi 褒见一字
'bao'kong'zhang'shu'yun 报孔璋书云
'bao'mei'zi'chan 褒美子产
'bao'yu'da'gong 宝玉大弓
'bao'yun'liu'yi 包韫六义
'bei'gao'bai'guan 备告百官
'bei'jie'yun'qi 碑碣云起
'bei'jiu'zhang'yi 倍旧章矣
'bei'lei'yi'li 碑诔以立
'bei'shi'yi'xin 悲实依心
'bei'yu'ji'zhuan 被于纪传
'bei'zhai'qian'li 倍摘千里
'bei'zhe 碑者
'bei'zhi'qian'zai 被之千载
'bei'zong'qing'bian 备总情变
'ben'hu'dao 本乎道
'ben'xiang'qiong'bai 贲象穷白
'ben'xing'yu'wan'hong'ru'xuan 奔星与宛虹入轩
'ben'yin'yang'zhi'hua 本阴阳之化
'ben'yu'ming'de 本于明德
'ben'yu'ren'sheng'zhe'ye 本于人声者也
'ben'zai'jin'yan 本在尽言
'bi'bo'qi'ci'jian 彼波起辞间
'bi'cai'er'tui 比采而推
'bi'chao'qian'zhe'yan 必超前辙焉
'bi'cheng'yi'jing 必诚以敬
'bi'de'qi'ou 必得其偶
'bi'dian'dao'wen'ju 必颠倒文句
'bi'fu'sheng'yi'ju'zong 必附圣以居宗
'bi'ge'jiu'de 必歌九德
'bi'gu'zhi'zhi 笔固知止
'bi'guan'hu'bai'shi 必贯乎百氏
'bi'gui'lan'qian 必归蓝蒨
'bi'gui'yan'yi'zhi'hua 必归艳逸之华
'bi'hu'wo'chong'chu 比乎握舂杵
'bi'huan'ran'nei'yi 必欢然内怿
'bi'jia'kong'shi 必假孔氏
'bi'jian'jie'yi'ju'tong 必兼解以俱通
'bi'jian'jun'wei'zhi'lie 必见峻伟之烈
'bi'jian'qing'feng'zhi'hua 必见清风之华
'bi'jian'shi'qu 比肩诗衢
'bi'jie'man'yan'za'shuo 彼皆蔓延杂说
'bi'jie'yan'yu'si'zi'zhi'ju 必结言于四字之句
'bi'jin'sheng'er'yu'zhen 必金声而玉振
'bi'lei'yu'yi 比类寓意
'bi'lian'chi'ru'gui 必敛饬入规
'bi'lie'gao'yu 必裂膏腴
'bi'min'zu'kuang 俾民卒狂
'bi'mo'zhi'xing 笔墨之性
'bi'qi'dian'yu 必其玷欤
'bi'qian'shen'yu'ni 必欠伸鱼睨
'bi'rui'gan'jiang 笔锐干将
'bi'shi'bi'duan'zhen'feng 必使笔端振风
'bi'shi'bo'tu 彼实博徒
'bi'shi'fan'yue'de'zheng 必使繁约得正
'bi'shi'hu'feng 必始乎风
'bi'shi'li'you'dian'xing 必使理有典刑
'bi'shi'li'yuan'shi'mi 必使理圆事密
'bi'shi'qing'wang'hui'bei 必使情往会悲
'bi'shi'shi'li'er'yi'zhen 必使时利而义贞
'bi'shi'xin'yu'li'he 必使心与理合
'bi'shi'yao'hun 必施夭昏
'bi'shi'zhang'zou 必试章奏
'bi'shi'zhao'er'li'bian 必事昭而理辨
'bi'shu'niu'jing'dian 必枢纽经典
'bi'shu'ti'tong 必疏体统
'bi'si'qin'ming 毖祀钦明
'bi'sui'shi'er'shi'yong 必随时而适用
'bi'tu'jian'e 必吐謇谔
'bi'wei'yan'shi 笔为言使
'bi'xian'er'xing'yin'zai 比显而兴隐哉
'bi'xian'ya'zhi 必先雅制
'bi'xing'di'san'shi'liu 比兴第三十六
'bi'xing'yu'huang'yu 比行于黄虞
'bi'xing'zhi'yi'ye 比兴之义也
'bi'xu'jian'ze 必须拣择
'bi'xu'wei'ji 必序危机
'bi'xun'gui'yi'wen'ya 必循规以温雅
'bi'ya'yi'yi'shan'qi'feng 必雅义以扇其风
'bi'yang'ma'zhi'tu 彼扬马之徒
'bi'yao'cheng'dian 比尧称典
'bi'ye 闭也
'bi'yi'qing'zhi'wei'shen'ming 必以情志为神明
'bi'yi'yuan'feng'wei'cheng'shou 必以元封为称首
'bi'yin'ze'jin 比音则近
'bi'you'er'huan 必有二患
'bi'yu'qi'lun 必于其伦
'bi'yu'zhen'mei 必欲臻美
'bi'yu'zhu'yi 必于祝矣
'bi'ze'chu'fen'yi'chi'yan 比则畜愤以斥言
'bi'zha'za'ming 笔札杂名
'bi'zheng'yan'yan 必征言焉
'bi'zhi'gai'zhang 必知改张
'bi'zhi'wei'ti 笔之为体
'bi'zhi'wu'se 比之无色
'bi'zhu'qin'shou 比诸禽兽
'bi'zi'xiao'shu 必资晓术
'bi'zu'tong'yi'zhi 庇足同一智
'bian'diao'wan'wu 辨雕万物
'bian'gei'zu'cai 辨给足采
'bian'hu'sao 变乎骚
'bian'li'you'duan'ci'zhi'yi 辩立有断辞之义
'bian'ma'you'gui'xin 边马有归心
'bian'mi'fei'yi'xiang'qu'yuan 鞭宓妃以饷屈原
'bian'nian'zhui'shi 编年缀事
'bian'sao'di'wu 辨骚第五
'bian'shi'mi'jie 辨士弭节
'bian'shi'yun'yong 辨士云涌
'bian'shi'ze'yu'zan'ping'qi'xing 辨史则与赞评齐行
'bian'sui'bu'chang 变虽不常
'bian'tong'shi'hui 变通适会
'bian'tong'yi'qu'shi 变通以趋时
'bian'wei'xu'yin 变为序引
'bian'wen'zhi'shu'wu'fang 变文之数无方
'bian'xi'shu'tong'wei'shou 辨析疏通为首
'bian'xie'xiang'can 辨絜相参
'bian'xin'e'xiong'nao 褊心恶凶呶
'bian'yao'qing'qing 辨要轻清
'bian'yi'jian'ce 编以简策
'bian'ying'hu'qi 辩盈乎气
'bian'zai'pian'yan 贬在片言
