'a'nan 阿难
'a'nan'bai'fo 阿难白佛
'a'nan'dang'zhi 阿难当知
'a'nan'di'ting 阿难谛听
'a'nan'you'wen 阿难又问
'ai'jing'fu'mu 爱敬父母
'ai'shou'shi'cao 哀受施草
'an'xiang'xu'shi 安详徐逝
'an'zhu'yi'qie'gong'de'zhi'fa 安住一切功德之法
'ba'gong'de'shui 八功德水
'ba'zhu'sheng'si'qin'ku'zhi'ben 拔诸生死勤苦之本
'bai'fo'yan 白佛言
'bai'qian'wan'se 百千万色
'bai'qian'wan'yi'bu'ke'ji'bei 百千万亿不可计倍
'bai'qian'wan'yi'wu'liang'wu'shu 百千万亿无量无数
'bai'qian'yi'bei'bu'xiang'lei'ye 百千亿倍不相类也
'bai'qian'yi'wan 百千亿万
'bai'qian'yi'ye 百千亿叶
'bai'qian'za'bao 百千杂宝
'bai'se'bai'guang 白色白光
'bai'wei'yin'shi 百味饮食
'bai'yin'chi'zhe 白银池者
'bai'yin'wei'ben 白银为本
'bai'yin'wei'hua 白银为华
'bai'yin'wei'jing 白银为茎
'bai'yin'wei'shi 白银为实
'bai'yin'wei'tiao 白银为条
'bai'yin'wei'ye 白银为叶
'bai'yin'wei'zhi 白银为枝
'bai'yu'chi'zhe 白玉池者
'bao'guan'ying'luo 宝冠璎珞
'bao'sha'ying'che 宝沙映彻
'bao'ying'pu'sa 宝英菩萨
'bei'hong'shi'kai 被弘誓铠
'ben'xue'ming'le 本学明了
'ben'yuan'li'gu 本愿力故
'bi'ci'ju'hai 彼此俱害
'bi'di'liu'tian'wang 比第六天王
'bi'fo'chu'hui'sheng'wen'zhong'shu'bu'ke'cheng'ji 彼佛初会声闻众数不可称计
'bi'fo'guo'tu 彼佛国土
'bi'jie'wu'liang'shou'fo'wei'shen'li'gu 比皆无量寿佛威神力故
'bi'qiu'bai'fo 比丘白佛
'bi'se'zhu'e'dao 闭塞诸恶道
'bi'suo'ti'shui 彼所渧水
'bi'wu'liang'shou'fo'guo'pu'sa'sheng'wen 比无量寿佛国菩萨声闻
'bi'yu'da'hai'duo'shao'zhi'liang 比于大海多少之量
'bi'zhi'dao'li'tian'wang 比之忉利天王
'bi'zhi'mie'du'zhe 必至灭度者
'bi'zhi'qi'xiang 鼻知其香
'bi'zhi'wu'shang'dao 必至无上道
'bi'zhi'zhuan'lun'sheng'wang 比之转轮圣王
'bi'zhu'pu'sa 彼诸菩萨
'bian'bu'qi'di 遍布其地
'bian'ci'zhu'guo 遍此诸国
'bian'man'fo'tu 遍满佛土
'bian'qi'ming'shu'zhe 辩其名数者
'biao'zhang'gong'zuo 表章功祚
'bo'li'shu'shan'hu'shu 玻璃树珊瑚树
'bo'li'wei'ye 玻璃为叶
'bo'luo'mi'sheng 波罗蜜声
'bo'tan'mo'hua 钵昙摩华
'bo'yang'wu'liang'zi'ran'miao'sheng 波扬无量自然妙声
'bo'zong'dao'shu 博综道术
'bu'chi'bu'ji 不迟不疾
'bu'dan'wo'jin'cheng'qi'guang'ming 不但我今称其光明
'bu'de'jian'ta'xin'zhi 不得见他心智
'bu'de'jin'gang'na'luo'yan'shen'zhe 不得金刚那罗延身者
'bu'de'pu'sa'wu'sheng'fa'ren'zhu'shen'zong'chi'zhe 不得菩萨无生法忍诸深总持者
'bu'de'shen'zu 不得神足
'bu'de'tian'er 不得天耳
'bu'de'tian'yan 不得天眼
'bu'de'xiang'yu'wan'yi'bei'ye 不得相喻万亿倍也
'bu'duan'guang'fo 不断光佛
'bu'guo'sui'zhe 不果遂者
'bu'han'bu're 不寒不热
'bu'han'bu'shu 不寒不暑
'bu'ji'de'zhi'bu'tui'zhuan'zhe 不即得至不退转者
'bu'ji'de'zhi'di'yi'ren 不即得至第一忍
'bu'ji'zhong'ku 不计众苦
'bu'ke'cheng'ji 不可称计
'bu'ke'cheng'shuo 不可称说
'bu'ke'sheng'shi 不可胜视
