'ai'jing'jin'yu'shi'qin 爱敬尽于事亲
'ai'qin'zhe 爱亲者
'an'qin 安亲
'an'shang'zhi'min'mo'shan'yu'li 安上治民莫善于礼
'bi'you'xian'ye'yan'you'xiong'ye 必有先也言有兄也
'bing'ze'zhi'qi'you 病则致其忧
'bu'gan'e'yu'ren 不敢恶于人
'bu'gan'hui'shang'xiao'zhi'shi'ye 不敢毁伤孝之始也
'bu'gan'man'yu'ren 不敢慢于人
'bu'jing'qi'qin'er'jing'ta'ren'zhe 不敬其亲而敬他人者
'bu'qi'zhai'zhao'er'an'cuo'zhi 卜其宅兆而安措之
'can'bu'min 参不敏
'chen'bu'ke'yi'bu'zheng'yu'jun 臣不可以不争于君
'chen'zhi'yu'de'yi'er'min'xing'xing 陈之于德义而民兴行
'chun'qiu'ji'si'yi'shi'si'zhi 春秋祭祀以时思之
'ci'ai'qi'zhi'qing'ye 此哀戚之情也
'ci'da'luan'zhi'dao'ye 此大乱之道也
'cong'fu'zhi'ling'you'yan'de'wei'xiao'hu 从父之令又焉得为孝乎
'da'ya'yun 大雅云
'dai'fu'you'zheng'chen'san'ren 大夫有争臣三人
'dao'zhi'yi'li'le'er'min'he'mu 导之以礼乐而民和睦
'de'yi'ke'zun 德义可尊
'de'zhi'ben'ye 德之本也
'er'de'jiao'jia'yu'bai'xing 而德教加于百姓
'er'he'qi'min'ren 而和其民人
'er'min'mo'yi'qi'qin 而民莫遗其亲
'er'ming'li'yu'hou'shi'yi 而名立于后世矣
'er'xing'qi'zheng'ling 而行其政令
'er'zui'mo'da'yu'bu'xiao 而罪莫大于不孝
'fei'dao'bu'xing 非道不行
'fei'xian'wang'zhi'de'xing'bu'gan'xing 非先王之德行不敢行
'fei'xian'wang'zhi'fa'fu'bu'gan'fu 非先王之法服不敢服
'fei'xian'wang'zhi'fa'yan'bu'gan'dao 非先王之法言不敢道
'fei'zhi'de'qi'shu'neng'shun'min 非至德其孰能顺民
'fu'gui'bu'li'qi'shen 富贵不离其身
'fu'mu'sheng'zhi'xu'mo'da'yan 父母生之续莫大焉
'fu'ran'gu'sheng'ze'qin'an'zhi 夫然故生则亲安之
'fu'sheng'ren'zhi'de 夫圣人之德
'fu'xiao 夫孝
'fu'xing'yun 甫刑云
'fu'you'zheng'zi 父有争子
'fu'zi'zhi'dao 父子之道
'fu'zuo'wu'yu'ru 复坐吾语汝
'gai'qing'da'fu'zhi'xiao'ye 盖卿大夫之孝也
'gai'shi'zhi'xiao'ye 盖士之孝也
'gai'tian'zi'zhi'xiao'ye 盖天子之孝也
'gai'zhu'hou'zhi'xiao'ye 盖诸侯之孝也
'gan'wen'sheng'ren'zhi'de 敢问圣人之德
'gan'wen'zi'cong'fu'zhi 敢问子从父之
'gan'ying'zhang'di'shi'liu 感应章第十六
'gao'er'bu'wei 高而不危
'ge'yi'qi'zhi'lai'ji 各以其职来祭
'gong'jing 恭敬
'gu'bu'ai'qi'qin'er'ai'ta'ren'zhe 故不爱其亲而爱他人者
'gu'dang'bu'yi 故当不义
'gu'dang'bu'yi'ze'zheng'zhi 故当不义则争之
'gu'de'bai'xing'zhi'huan'xin 故得百姓之欢心
'gu'de'ren'zhi'huan'xin'yi'shi'qi'qin 故得人之欢心以事其亲
'gu'de'wan'guo'zhi'huan'xin 故得万国之欢心
'gu'jing'qi'fu'ze'zi'yue 故敬其父则子悦
'gu'ming'wang'zhi'yi'xiao'zhi'tian'xia'ye 故明王之以孝治天下也
'gu'neng'cheng'qi'de'jiao 故能成其德教
'gu'qin'sheng'zhi'xi'xia 故亲生之膝下
'gu'shi'tian'ming 故事天明
