'ao'men'you'zu'zhi'fan'zui'yan'jiu 澳门有组织犯罪研究
'bi'jiao'min'fa'xue 比较民法学
'bi'jiao'wai'zi'fa 比较外资法
'bi'jiao'xian'fa'xue 比较宪法学
'bi'jiao'xing'fa'yuan'li 比较刑法原理
'dan'bao'wu'quan'fa'bi'jiao'yan'jiu 担保物权法比较研究
'dang'dai'xi'fang'jing'ji'xue'shuo 当代西方经济学说
'de'guo'gu'dian'zhe'xue'luo'ji'jin'cheng 德国古典哲学逻辑进程
'deng'xiao'ping'zhe'xue'yan'jiu 邓小平哲学研究
'fan'zui'tong'lun 犯罪通论
'gai'ge'kai'fang'de'she'hui'xue'yan'jiu 改革开放的社会学研究
'guang'yi'zheng'zhi'lun 广义政治论
'guo'ji'jing'ji'fa'gai'lun 国际经济法概论
'guo'ji'min'shang'xin'zhi'xu'de'li'lun'jian'gou 国际民商新秩序的理论建构
'guo'ji'qiang'xing'fa'yu'guo'ji'gong'gong'zheng'ce 国际强行法与国际公共政策
'guo'ji'si'fa 国际私法
'guo'ji'tiao'yue'fa 国际条约法
'guo'ji'xing'fa'xue 国际刑法学
'guo'ji'zu'zhi'fa 国际组织法
'hai'wai'han'xue'yan'jiu 海外汉学研究
'han'shui'zhong'xia'you'he'dao'bian'qian'yu'di'fang 汉水中下游河道变迁与堤防
'jing'shen'dong'li'lun 精神动力论
'kang'de'hei'ge'er'zhe'xue'yan'jiu 康德黑格尔哲学研究
'liang'fa'lun 良法论
'mao'ze'dong'zhe'xue'fen'zhi'xue'ke'yan'jiu 毛泽东哲学分支学科研究
'qing'dai'cai'zheng'zheng'ce'yu'huo'bi'zheng'ce'yan'jiu 清代财政政策与货币政策研究
'ren'min'dai'biao'da'hui'zhi'du'de'li'lun'yu'shi'jian 人民代表大会制度的理论与实践
'ren'wen'she'hui'ke'xue'zhe'xue 人文社会科学哲学
'she'hui'ren'shi'fang'fa'lun 社会认识方法论
'si'xiang'zheng'zhi'jiao'yu'you'xiao'xing'yan'jiu 思想政治教育有效性研究
'song'dai'nv'xing'wen'xue 宋代女性文学
'tang'chang'ru'she'hui'wen'hua'shi'lun'cong 唐长孺社会文化史论丛
'tang'dai'ren'kou'wen'ti'yan'jiu 唐代人口问题研究
'tang'wu'dai'zhu'chen'yu'bian'zhe'wen'xue'yan'jiu 唐五代逐臣与贬谪文学研究
'tiao'he'yu'zhi'heng 调和与制衡
'xing'fa'tong'lun 刑罚通论
'xing'wei'zhu'yi'zheng'zhi'xue'fang'fa'lun'yan'jiu 行为主义政治学方法论研究
'xing'zheng'fa'ji'ben'yuan'ze'yan'jiu 行政法基本原则研究
'zhan'shi'mei'guo'da'zhan'lue'yu'zhong'guo'kang'ri'zhan'chang 战时美国大战略与中国抗日战场
'zhe'xue'yan'jiu'fang'fa'lun 哲学研究方法论
'zhe'xue'yu'mei'xue'wen'ti 哲学与美学问题
'zheng'zhi'wen'ming'lun 政治文明论
'zheng'zhi'xian'dai'hua'bi'jiao'yan'jiu 政治现代化比较研究
'zhong'guo'bian'zheng'fa'shi'gao 中国辩证法史稿
'zhong'guo'chong'tu'fa'yan'jiu 中国冲突法研究
'zhong'guo'dang'dai'zhe'xue'wen'ti'tan'suo 中国当代哲学问题探索
'zhong'guo'gu'dai'wen'lun'shi'xing'te'zheng'yan'jiu 中国古代文论诗性特征研究
'zhong'guo'gu'ji'bian'zhuan'shi 中国古籍编撰史
'zhong'guo'she'wai'jing'ji'fa'lv'wen'ti'xin'tan 中国涉外经济法律问题新探
'zhong'guo'shi'lu'ti'shi'xue'yan'jiu 中国实录体史学研究
'zhong'guo'xian'dai'jia'zhi'guan'de'chu'sheng'li'cheng 中国现代价值观的初生历程
'zhong'guo'xing'shi'zheng'ce'xue 中国刑事政策学
'zhong'guo'yu'guo'ji'si'fa'tong'yi'hua'jin'cheng 中国与国际私法统一化进程
'zhong'guo'zao'qi'wen'hua'yi'shi'de'shan'bian 中国早期文化意识的嬗变
'zhong'xi'wen'hua'fen'ye'de'li'shi'fan'si 中西文化分野的历史反思
