'ai'shi'wan'yuan'zhi'gen 爱是万缘之根
'ai'zeng'zhong 爱憎重
'an'chu'bu'qi'yin 暗处不欺隐
'an'dao'chu'bian'li'chuan 岸到处便离船
'an'shi'bi'fang'yi 暗室必放逸
'an'shi'zhong'you'qing'tian 暗室中有青天
'an'zhi'wu'wei'gui 安知物为贵
'an'zhong'bu'qi'yin 暗中不欺隐
'ao'jiu 傲就
'ao'tian'shang'ling'long'ye'sui 熬天上玲珑液髓
'ba'wo'wei'ding 把握未定
'bai'hou'huo'fan'cheng'gong 败后或反成功
'bai'ri'qi'ren 白日欺人
'bai'ri'xia'you'li'gui 白日下有厉鬼
'bai'sha'yun 白沙云
'bai'sui'hao'guang'yin 百岁好光阴
'bai'tuo'de'su'qing'bian'ru'ming'liu 摆脱得俗情便入名流
'bai'yun'yi'lan 白云意懒
'ban'sheng'zhi'qing'ku'ju'fei 半生之清苦俱非
'ban'zhen'ban'huan 半真半幻
'bao'hou'si'wei 饱后思味
'bao'quan'de'yi'wo'ye'qi 保全得一窝夜气
'bei'chang'shi'wei 备尝世味
'bei'hou'xu'fang'she'ying'zhi'chong 背后须防射影之虫
'bei'mang'shan'wei'sheng'liu'xian'di 北邙山未省留闲地
'ben'lai'bu'shi 本来不失
'bi'bu'ke'jia'piao'ran'yuan'yin'zhi'shi 必不可加飘然远引之士
'bi'bu'ke'long'dan'ran'wu'yu'zhi'ren 必不可笼淡然无欲之人
'bi'bu'lao'shai 笔不落色
'bi'fa'yu'ren'suo'gong'jian 必发于人所共见
'bi'fu'nian'tou'po'cu 鄙夫念头迫促
'bi'fu'wo'ren 彼富我仁
'bi'jiang'zi'fen 必将自焚
'bi'jue'wo'yi 彼爵我义
'bi'sheng'fei'yong 必胜非勇
'bi'shou'tian'dao'de'kui 必受天道的亏
'bi'wei'nong'yan'zhe'suo'yi 必为浓艳者所疑
'bi'wu'shi'yi 必无实谊
'bi'xian'yi'wei'fu'jiao'zhi 必先以微福骄之
'bi'yao'gong 必邀功
'bi'yi'nong'yan'sun'zhi 彼以浓艳损志
'bi'zhao'wai'you 必招外忧
'bi'zhao'xing'fen'de'sun 必招性分的损
'bi'zhi'niu'zhi'ren 必执拗之人
'bian'ba'ci'sheng'mai'zai'zhen'du'zhong'yi 便把此生埋在鸩毒中矣
'bian'chao'ci'chang'zhong'yi 便超此场中矣
'bian'cheng'ge'hua'zi 便成个花子
'bian'cheng'shi'dao'yi 便成市道矣
'bian'cheng'wei'guo 便成伪果
'bian'cheng'wo'xiang 便成我相
'bian'en'wei'can 变恩为惨
'bian'fu'hou'er'qing'chang 便福厚而庆长
'bian'ju'ran'you'wan'li'shan'chuan'zhi'shi 便居然有万里山川之势
'bian'jue'bai'hang'jie'fei 便觉百行皆非
'bian'ke'jie'que'xiong'shang'gu'qu'gu 便可解却胸上罟去古
'bian'ke'wei'wan'wu'li'ming'tian'di'li'xin'yi 变可为万物立命天地立心矣
'bian'ke'yi'wan'hun'dun'er 便可以完混沌而
'bian'lu'bao 便禄薄
'bian'luo 便落
'bian'min'bu'rang'wang'gong 编民不让王公
'bian'qi'qi'ren'zhi'nian 便起欺人之念
'bian'ru'ma'ru'niu 便如马如牛
'bian'ru'sai'shu'xue'zhe 便如塞鼠穴者
'bian'sao'chu'wu'xian'sha'ji 便扫除无限杀机
'bian'shi 便是
'bian'shi'an'shen'li'ming'de'gong 便是安身立命的工
'bian'shi'chi'shen'she'shi'yi'an'le'wo'ye 便是持身涉世一安乐窝也
'bian'shi'ge'mu'ren 便是个木人
'bian'shi'ji'si'zhi'han'hui 便是既死之寒灰
'bian'shi'kai'tiao'fu'lu 便是开条福路
'bian'shi'lu'ren 便是路人
'bian'shi'wu'wei'de'qing'xiang 便是无位的卿相
'bian'shi'yi'da'xue'wen 便是一大学问
'bian'shi'yi'zai'shi'chu'shi'fa'ye 便是一在世出世法也
'bian'shuang'ke'fei'cheng'ke'yun'jin'shi'ke'guan 便霜可飞城可陨金石可贯
'bian'si'bu'ru'wo'de'ren 便思不如我的人
'bian'si'sheng'si'wo'de'ren 便思胜似我的人
'bian'wan'cong'li'lu'shang'lai 便挽从理路上来
'bian'wei'ku'hai 便为苦海
'bian'wei'lian'yuan'zhi'dao 便为敛怨之道
'bian'wei'ru 便味如
'bian'xiao'gang'wei'rou 便销刚为柔
'bian'xing'si'han'hui 便兴似寒灰
'bian'yue'ren'qing 遍阅人情
'bian'zao'wu'bu'neng'ji'wo 便造物不能忌我
'bian'zhi'chi'qian'li'yi 便咫尺千里矣
'bian'zhong'shen'nan'zhi'jia'miao'yi 便终身难植嘉苗矣
'bian'zhong'shen'wu'ge'jin'bu 便终身无个进步
'bing'ren'ge'mao 兵刃戈矛
'bing'shou'yu'ren'suo'bu'jian 病受于人所不见
'bo'kai'shi'shang'chen'fen 拨开世上尘氛
'bu'bai'tuo 不摆脱
'bu'bi'jue'ren'yi'tao'shi 不必绝人以逃世
'bu'bi'jue'yu 不必绝欲
'bu'bi'mang'mang 不必忙忙
'bu'bi'yang'yang 不必扬扬
'bu'dan'dang 不担当
'bu'dang'guo'qiu 不当过求
'bu'dang'you'qi'yu 不当有其语
'bu'fa'ren'yin'si 不发人阴私
'bu'fu'ren'qing 不拂人情
'bu'fu'zhi 不复知
'bu'huan'qi'bu'chi'zhong 不患其不持重
'bu'huan'qi'bu'fen'xun 不患其不奋迅
'bu'ji'shi'shu'pian'ji'yu 不积诗书偏积玉
'bu'jie'du'wu'zi'shu 不解读无字书
'bu'jie'wu'li 不竭物力
'bu'jin 不尽
'bu'jin'zhi'en'li 不尽之恩礼
'bu'jue'er'gen'jin'che 不觉耳根尽彻
'bu'ke'bu 不可不
'bu'ke'cheng'kuai'er'duo'shi 不可乘快而多事
'bu'ke'cheng'xi'er'qing'nuo 不可乘喜而轻诺
'bu'ke'chi'hao'jie 不可持好洁
'bu'ke'chong'wei'ai'zeng 不可重为爱憎
'bu'ke'cun'yi'jiao'su'zhi'xin 不可存一矫俗之心
'bu'ke'qi'yi'qu'shi'zhi'nian 不可起一趋时之念
'bu'ke'shao'qian'jiu 不可少迁就
'bu'ke'shi'ren 不可使人
'bu'ke'shi'ren'bu'zhi 不可使人不知
'bu'ke'sui'jing'er'qian 不可随境而迁
'bu'ke'tai'fen'ming 不可太分明
'bu'ke'tai'nong'yan 不可太浓艳
'bu'ke'wu'han'gou'na'wu'zhi'ya'liang 不可无含垢纳污之雅量
'bu'ke'wu'shan'lin'de'qi'wei 不可无山林的气味
'bu'ke'yin'juan'er'xian 不可因倦而鲜
'bu'ke'yin'zui'er'sheng'mu'zhen 不可因醉而生目真
'bu'ke'you'fei'fen'zhi'fu 不可有非分之福
'bu'ke'you'guo'qing'zhi'yu 不可有过情之誉
'bu'ke'zuo'yi'hao'ai'mei'zhi'zhuang 不可作一毫暧昧之状
'bu'mei'ji'xin 不昧己心
'bu'meng'ran'zhuan'nian'zai 不猛然转念哉
'bu'nan'zai'di'jie 不难在砥节
'bu'nan'zai'tui'en 不难在推恩
'bu'neng'jue'yu 不能绝欲
'bu'neng'qing'yi'qing'fu'gui'zhi'xin 不能轻一轻富贵之心
'bu'nian'ren'jiu'e 不念人旧恶
'bu'pao'nuan'yu'hu'hao 布袍暖于狐貉
'bu'ran 不然
'bu'ran'cao'chi'wei'ding 不然操持未定
'bu'ran'kong'qu'hun'hun'zhi'bing 不然恐去昏昏之病
'bu'ran'zong'yi'qin'yi'he'yi'hua'yi'zhu 不然纵一琴一鹤一花一竹
'bu'ru'bao'yi'cheng'zhi'ye 不如保已成之业
'bu'ru'mian'yi'shi'zhi'chou 不如免一事之丑
'bu'ru'shi'yi'ren'zhi'yuan 不如释一人之怨
'bu'ru'wu'e'er'zhi'ren'hui 不如无恶而致人毁
'bu'ru'yu'niao'jie'qin'ren 不如鱼鸟解亲人
'bu'ruo'nan'qin'yu'shi 不若难亲于始
'bu'ruo'shi'qi'wu'bei'hou'zhi'hui 不若使其无背后之毁
'bu'ruo'shi'qi'wu'jiu'chu 不若使其无久处
'bu'ruo'xiao'ren'zhi'zi'xin 不若小人之自新
'bu'ruo'zhi'jie'er'shi'ren'ji 不若直节而使人忌
'bu'ruo'zhuo'shou 不若拙守
'bu'shan 不善
'bu'sheng'nei'bian 不生内变
'bu'shi'ge'hao'chen'gong 不是个好臣工
'bu'shi'ge'hao'ren'jia 不是个好人家
'bu'shi'ge'hao'shi'zi 不是个好士子
'bu'shou'qi'duan 不受其煅
'bu'si'li'hao'yan'xing'hao'shi 不思立好言行好事
'bu'wei'shi'zhang 不畏事障
'bu'yan'bu'ming'er'zi'qing'fen 不烟不茗而自清芬
'bu'yi'cun'ban'dian'ge'he'zhi'xing 不宜存半点隔阂之形
'bu'yi'du'ren 不宜独任
'bu'yi'ju'qi'ming 不宜居其名
'bu'yi'qing'qi 不宜轻弃
'bu'yi'quan'tui 不宜全推
'bu'yi'ren'de'tai'zhen 不宜认得太真
'bu'yi'xian'fa 不宜先发
'bu'yi'yu'yang 不宜预扬
'bu'yuan'ren'lian 不愿人怜
'bu'ze'ren'xiao'guo 不责人小过
'bu'zhao'de'cai'shi'gao'shou 不着得才是高手
'bu'zhi'bu'ji'bu'han'zhi 不知不饥不寒之
'bu'zhi'chu'yin'er'ying'zi'mie 不知处阴而影自灭
