'a'gong'ma'de'chuan'shuo 阿弓玛的传说
'a'gu'da'de'chuan'shuo 阿骨打的传说
'a'li'shan 阿里山
'a'li'shan'zi'mei'tan'de'chuan'shuo 阿里山姊妹潭的传说
'a'luan'de'you'lai 阿銮的由来
'a'luo'zhao'bu'gu'niao 阿罗找布谷鸟
'a'xi'bo 阿细卜
'a'xi'gu'niang'de'hong'lv'yao'dai 阿细姑娘的红绿腰带
'a'zha 阿扎
'an'si'sheng'de'chuan'shuo 安斯生的传说
'ao'bao'de'you'lai 敖包的由来
'ba'hu'ling'de'chuan'shuo 巴虎岭的传说
'ba'jiao'jing 八角井
'ba'li'qiao'de'gu'shi 八里桥的故事
'ba'wang'si'jing'shui 八王寺井水
'ba'ya'sang'mu'di 叭牙桑目氐
'bai'cha 白茶
'bai'he'jing 白鹤井
'bai'ju'yi'mu'de'chuan'shuo 白居易墓的传说
'bai'lian'guan'di'miao 白脸关帝庙
'bai'lian'jiao'de'chuan'shuo 白莲教的传说
'bai'long'jing'shui 白龙井水
'bai'long'piao'niang 白龙瞟娘
'bai'long'tan 白龙潭
'bai'ma'si'de'chuan'shuo 白马寺的传说
'bai'sha'tan 白纱滩
'bai'she'de'chuan'shuo'gu'shi 白蛇的传说故事
'bai'wang'de'chuan'shuo 白王的传说
'bai'yin'she'he 白银蛇河
'bai'yun'guan'de'chuan'shuo 白云观的传说
'bai'zhe'qun'na'li'qu'le 百褶裙哪里去了
'ban'jie'guan'yin 半截观音
'ban'la'shan'de'gu'shi 半拉山的故事
'bao'ding'de'chuan'shuo 保定的传说
'bao'lan'hua 宝兰花
'bao'luan'shi'de'chuan'shuo 宝卵石的传说
'bao'shan'he'bao'lu'de'chuan'shuo 宝山和宝鹿的传说
'bao'wan 宝碗
'bei'chai'chong 背柴虫
'bei'jiao'dao'de'chuan'shuo 北茭岛的传说
'bei'jing'de'chuan'shuo 北京的传说
'bei'nan'da'xi 卑南大溪
'bei'song'mo'nian'fang'la'qi'yi'de'chuan'shuo 北宋末年方腊起义的传说
'bi'luo'chun'de'chuan'shuo 碧螺春的传说
'bian'que'de'chuan'shuo 扁鹊的传说
'bing'deng'de'lai'li 冰灯的来历
'bing'zuo'shan'de'chuan'shuo 并座山的传说
'bo'ge'da'shan'de'chuan'shuo 博格达山的传说
'bo'wang'xian'cha'qiao 博望仙槎桥
'bu'bo'de'gu'shi 布伯的故事
'bu'ken'qu'guan'yin'yuan 不肯去观音院
'bu'sang'gai'ya'sang'gai 布桑该雅桑该
'cai'hong'de'chuan'shuo 彩虹的传说
'cai'shen'ri'de'chuan'shuo 采参日的传说
'can'mao'tu 蚕猫图
'cao'cao'de'chuan'shuo 曹操的传说
'cao'xue'qin'de'chuan'shuo 曹雪芹的传说
'cha'ai'hao'de'lai'li 插艾蒿的来历
'cha'dong 茶洞
'cha'tian'niao 插田鸟
'chan'he'de'chuan'shuo 缠河的传说
'chang'dao 长刀
'chang'shou'tang 长寿塘
'chang'xin'xian'wei'gou 尝新先喂狗
'chao'yang'dong 朝阳洞
'chen'lian'sheng'chu'shi 陈连升出世
'chen'shuo'zhen'de'chuan'shuo 陈硕真的传说
'cheng'de'de'chuan'shuo 承德的传说
'cheng'qiang'shang'de'da'nian'pan 城墙上的大碾盘
'chi'shui'jiu'de'qi'yuan 吃水酒的起源
'chi'zi'la'wu'de'chuan'shuo 赤孜拉妩的传说
'chong'ren'pao'ding'xun'bu'si'yao 崇人抛鼎寻不死药
'chu'xiu'gong'de'xian'he 储秀宫的仙鹤
'chui'mu'ye'de'lai'li 吹木叶的来历
'ci'xi'de'chuan'shuo 慈禧的传说
'cong'hua'wen'quan'de'chuan'shuo 从化温泉的传说
'da'gu'shan'he'long'tou'shan 大孤山和龙头山
'da'hong'pao 大红袍
'da'li'shi'he'yu'dai'yun'de'chuan'shuo 大理石和玉带云的传说
'da'li'si'jing'de'chuan'shuo 大理四景的传说
'da'lian'de'chuan'shuo 大连的传说
'da'niu'dian'de'chuan'shuo 大牛店的传说
'da're'han 达惹罕
'da'shi'mian'de'chuan'shuo 大十面的传说
'da'teng'xia'de'chuan'shuo 大藤峡的传说
'da'wang'yu'yu'nv 大王与玉女
'da'wu'liang'ge'hui'de'you'lai 大雾梁歌会的由来
'da'xiang'guo'si'de'chuan'shuo 大相国寺的传说
'da'yu'quan 大鱼泉
'dai'shou'zhuo'de'lai'li 戴手镯的来历
'dai'zhuang'shi'zhi'jiang'huang'he'wang 代壮士智降黄河王
'dai'zu'nan'zi'wei'shen'me'yao'wen'shen 傣族男子为什么要纹身
'dang'gui 当归
'dang'shen'de'lai'li 党参的来历
'dao'dai'de'bao'jian 刀代的宝剑
'dao'hua'zhou 稻花洲
'de'le'ma'fa'shan'de'chuan'shuo 得勒玛发山的传说
'di'wan'he'niang'hua 迪万和娘花
'diao'luo'shan 吊锣山
'die'die'ku 爹爹苦
'ding'ka'hua 顶卡花
'dong'fu'yang'long 董父养龙
'dong'han'mo'huang'jin'qi'yi'de'chuan'shuo 东汉末黄巾起义的传说
'dong'xi'de'chuan'shuo 东西的传说
'dong'xiao'wan'de'chuan'shuo 董小宛的传说
'dou'liu'jiang'de'chuan'shuo 都柳江的传说
'dou'ma'sha'e 都玛沙莪
'dou'yi'chu'de'you'lai 都一处的由来
'du'fu'de'chuan'shuo 杜甫的传说
'du'fu'mu'de'chuan'shuo 杜甫墓的传说
'du'kang'zao'jiu'de'chuan'shuo 杜康造酒的传说
'du'xiu'feng'shuan'ma'zhuang 独秀峰拴马桩
'duan'jie'de'you'lai 端节的由来
'duan'qing'tian'de'chuan'shuo 段青天的传说
'duan'wu'jie'gua'ge'teng'de'lai'li 端午节挂葛藤的来历
'duan'yang'han'ma'jie'de'chuan'shuo 端阳寒马节的传说
'dui'sha'jie'he'po'shui'jie 堆沙节和泼水节
'duo'jiang'jun'de'chuan'shuo 多将军的传说
'e'luan'bi'he'wang'fu'shi 鹅銮鼻和望夫石
'e'qu'he'bian'de'chuan'shuo 俄曲河边的传说
'en'ai'shi 恩爱石
'er'huan'de'lai'li 耳环的来历
'fa'hai'chu'jia'de'chuan'shuo 法海出家的传说
'fa'lun'si'de'tian'di'fo 法轮寺的天地佛
'fan'shan 矾山
'fan'yu 饭鱼
'fan'zhong'yan'de'chuan'shuo 范仲淹的传说
'fang'bai'hua'de'chuan'shuo 方百花的传说
'fei'lai'feng 飞来峰
'fei'lai'si'de'chuan'shuo 飞来寺的传说
'fei'luan'qiao 飞鸾桥
'feng'chuan'mu'dan 凤穿牡丹
'feng'gang'jiu 封缸酒
'feng'huang'lou'bian'wen'de'chuan'shuo 凤凰楼匾文的传说
'feng'huang'shan'he'gui'long'tan 凤凰山和鬼龙潭
'feng'huang'shi'zen'me'li'kai'ren'lei'de 凤凰是怎么离开人类的
'feng'huang'song'de'chuan'shuo 凤凰松的传说
'feng'xue'si'de'chuan'shuo 风穴寺的传说
'feng'yu'qiao'de'chuan'shuo 风雨桥的传说
'feng'yu'ting'li'de'chuan'shuo 风雨亭里的传说
'feng'zhong'de'bing'lang'shu'a'mei'ren'guan'yu'wu'dao'lai'li'de'chuan'shuo 风中的槟榔树阿美人关于舞蹈来历的传说
'fu'chuan'shan 覆船山
'fu'jian'de'chuan'shuo 福建的传说
'fu'ma'fen'de'chuan'shuo 驸马坟的传说
'fu'nv'zuo'xiong'bie'zhen'de'chuan'shuo 妇女左胸别针的传说
'fu'qing'zhu'de'chuan'shuo 傅青主的传说
'fu'shan'de'chuan'shuo 傅山的传说
'fu'tai'he'fu'cheng'de'chuan'shuo 府台和府成的传说
'fu'tu'si'de'chuan'shuo 负图寺的传说
'fu'xi'xiong'mei'de'chuan'shuo 伏羲兄妹的传说
'ga'xian'dong'he'ku'long'shan'de'chuan'shuo 嘎仙洞和窟窿山的传说
'gan'pu'tong'zhong 澉浦铜钟
'gan'quan 甘泉
'gao'di'mu'xie'de'lai'li 高底木鞋的来历
'gao'gao'de'zhang'shu 高高的樟树
'gao'gui'ying'de'chuan'shuo 高桂英的传说
'gao'shan'zu'wei'shen'me'zhu'zai'shan'shang 高山族为什么住在山上
'gao'yan'qing'de'chuan'shuo 高燕青的传说
'ge'ri'yi'ba'shi'guan'yu'liu'zhou'lai'li'de'chuan'shuo 咯日一八石关于碌碡来历的传说
'ge'sa'er'wang'de'chuan'shuo 格萨尔王的传说
'ge'wei'niao 哥喂鸟
'ge'yao'he'di'yao 哥窑和弟窑
'gen'gu 根古
'gong'dian'qun'ya 宫殿群鸦
'gong'gong'shan 共共山
'gong'lu'he'de'chuan'shuo 公鹿河的传说
'gong'ming'shan 公明山
'gou'shan'he'sheng'xian'guan 缑山和升仙观
'gu'kai'zhi'de'chuan'shuo 顾恺之的传说
'gu'lou'de'gu'shi 鼓楼的故事
'gu'shang'zhi'de'chuan'shuo 顾尚之的传说
'gu'zhu'de'chuan'shuo 孤竹的传说
'gu'zi'de'chuan'shuo 谷子的传说
'gu'zi'de'gu'shi 谷子的故事
'gua'zhou'de'chuan'shuo 瓜州的传说
'guan'di'miao'de'you'lai 关帝庙的由来
'guan'ling'gu'bai'de'chuan'shuo 关陵古柏的传说
'guan'men'shan 关门山
'guang'fu'wang'de'gu'shi 广福王的故事
'guang'xiao'si'yu'hai'zhu'shi 光孝寺与海珠石
'guang'yang'cheng'de'chuan'shuo 广阳城的传说
'guang'zhou'de'chuan'shuo 广州的传说
'guang'zhou'wei'shen'me'jiao'wu'yang'cheng 广州为什么叫五羊城
'gui'hua'ling'de'chuan'shuo 桂花岭的传说
'gui'lin'shan'shui'wei'shen'me'jia'tian'xia 桂林山水为什么甲天下
'gui'yan 龟岩
'gun'long'ba 滚龙坝
'ha'bei'si'he'huo'zhong 哈北丝和火种
'ha'ni'zu'wei'shen'me'mei'you'wen'zi 哈尼族为什么没有文字
'ha'sa'ke'min'zu'ming'cheng'de'chuan'shuo 哈萨克民族名称的传说
'hai'lin'cha'de'chuan'shuo 海林察的传说
'hai'ou'de'chuan'shuo 海鸥的传说
'hai'shui'wei'shen'me'shi'xian'de 海水为什么是咸的
'hai'ya'zhai'de'gu'shi 海牙寨的故事
'hai'yan'de'chuan'shuo 海燕的传说
'han'xin'de'chuan'shuo 韩信的传说
'hang'zhou'de'chuan'shuo 杭州的传说
'hao'ni'ren'de'zu'xian 豪尼人的祖先
'he'di'liu'de'chuan'shuo 河堤柳的传说
'he'huan'lu 合欢路
'he'jiu'jiao'bing'lang'de'gui'ju 喝酒嚼槟榔的规矩
'he'luo'hu 呵罗湖
'hei'niang'niang'de'chuan'shuo 黑娘娘的传说
'hong'guo'yu'bai'ci 红果与白刺
'hong'he'yu'teng'tiao'jiang 红河与藤条江
'hong'tan'pu'bu 红滩瀑布
'hou'da'gou'de'chuan'shuo 侯大苟的传说
'hou'shan 侯山
'hu'lu'sheng'de'gu'shi 葫芦笙的故事
'hu'qi 虎妻
'hu'tiao'xia'de'chuan'shuo 虎跳峡的传说
'hu'xin'pa'de'lai'li 护心帕的来历
'hu'zhu'xie'ta 护珠斜塔
'hua'er'de'chuan'shuo 花儿的传说
'hua'lian'feng'huo 花莲烽火
'hua'long'chuan'de'chuan'shuo 划龙船的传说
'hua'shu'jing'qiu'qin 桦树精求亲
'hua'tuo'de'chuan'shuo 华佗的传说
'huai'an'cha'san 淮安茶馓
'huan'zhu'dong 还珠洞
'huang'da'wang'de'chuan'shuo 黄大王的传说
'huang'dao'po'zai'ya'zhou 黄道婆在崖州
