'ai'ren'ping'min 矮人平民
'an'quan 暗犬
'an'xiao'mi'ren 暗啸秘刃
'an'ying'bao'zha 暗影爆炸
'an'ying'jian 暗影箭
'an'ying'jiao'sha 暗影绞杀
'ao'ta'mo'zhang 奥塔魔杖
'ba'wang'qiang 霸王枪
'bai'ma'gang 白马港
'bai'yi'fa'dian 白蚁法典
'bao'gong'tou'lao'li'tou 包工头老李头
'bei'mu'ye'cao'yuan 北牧野草原
'bian'yi'cang'ying 变异苍蝇
'biao'shi'zhi'shu 镖师之书
'bing'feng'biao'ju 冰封镖局
'bing'feng'cheng 冰封城
'bing'feng'pu'bu 冰封瀑布
'bing'he'lie'gu 冰河裂谷
'bing'ju'ren 冰巨人
'bing'shuang'xin'xing 冰霜新星
'bing'xue'shan'zhuang 冰雪山庄
'bing'yi'ka'pian 兵蚁卡片
'bo'wen'jian 波纹剑
'bu'qiang'xi'bing 步枪锡兵
'cai'jue'zhi'ren 裁决之刃
'can'ying'dao 残影刀
'chan'fang 禅房
'chu'ji'ju'xiong'yao'ji 初级巨熊药剂
'chu'ji'ling'hou'yao'ji 初级灵猴药剂
'chu'ji'meng'hu'yao'ji 初级猛虎药剂
'chu'ji'mo'fa'yao'ji 初级魔法药剂
'chu'ji'nai'li'yao'ji 初级耐力药剂
'chu'ji'qing'ling'yao'ji 初级轻灵药剂
'chu'ji'shen'gui'yao'ji 初级神龟药剂
'chu'ji'shen'li'yao'ji 初级神力药剂
'chu'ji'sheng'ming'yao'ji 初级生命药剂
'chu'ji'shi'dun'yao'ji 初级石盾药剂
'chu'ji'zhi'hui'yao'ji 初级智慧药剂
'chu'ji'zhi'yuan'yao'ji 初级智猿药剂
'chu'xie 出血
'chuo'chuo'le 戳戳乐
'cu'cao'de'sha'lun 粗糙的沙轮
'da'gong 打工
'da'mo'fa'ji 大魔法剂
'da'tao'sha 大逃杀
'da'xing'bu'xue'ji 大型补血剂
'dang'pu'lao'ban'zhang'shou'fu 当铺老板张守富
'de'jin'si'tan'zuan'shi 德靳斯坦钻石
'dong'tu'tai'yuan 冻土苔原
'duan'zao'pei'fang 锻造配方
'duan'zao'shu 锻造术
'dun'pai'meng'ji 盾牌猛击
'fa'guang'lin'pian'dou'peng 发光磷片斗蓬
'fang'zhi'shu 纺织术
'fei'ma'ka'pian 飞马卡片
'feng'juan'can'yun 风卷残云
'feng'kuang'zhi'ci 疯狂之刺
'feng'zhi'li 风之力
'fu'ji 伏击
'fu'mo'shu 附魔术
'fu'she'yan 蝮蛇蜒
'gai'ya'zhi'cheng 盖亚之城
'ge'duo 戈多
'gu'du 蛊毒
'gu'wen'shu 古文书
'gu'zhang'de'ji'xie'xiao'ji 故障的机械小鸡
'guan'ya'ya'yi 官衙衙役
'han'bing'hu'ti 寒冰护体
'han'bing'jian 寒冰箭
'hei'shou'cai'pan'suo 黑手裁判所
'hei'wang'zi'hong'bao'shi 黑王子红宝石
'hou'cun'xiao'jing 后村小径
'hou'ka'pian 猴卡片
'hu'wang 虎王
'huan'xing 唤醒
'huo'qiu'shu 火球术
'huo'yan'ping'zhang 火焰屏障
'ji'su'chang'jian 疾速长剑
'jiao'ti 脚踢
'jin'lv'shi'mao'yan 金绿石猫眼
'jin'sha'wan 金沙湾
'jing'ling'cheng 精灵城
'ju'feng'dao'fa 飓风刀法
'jue'shi 爵士
'ka'si'te'ping'yuan 卡斯特平原
'ke'yi'nuo'er'zuan'shi 柯伊诺尔钻石
'kong'que'shi 孔雀石
'kong'shou'ru'bai'ren 空手入白刃
'ku'lou'mo'dian 骷髅魔典
'kuang'bao'ren'yu 狂暴人鱼
'kuang'bao'ren'yu'ka'pian 狂暴人鱼卡片
'kuang'feng'jin'dao'ke 狂风金刀客
'kuang'feng'long'zhao 狂风笼罩
'kuang'gong 矿工
'kuang'gong'hu'fu 矿工护符
'kuang're'gang'ren 狂热钢刃
'kun'xian'sheng 捆仙绳
'lang'ka'pian 狼卡片
'li'chi'yu'long 利齿鱼龙
'lian'dan'shu 炼丹术
'lian'dan'shu'pei'fang 炼丹术配方
'lian'gong'fang 练功房
'lie'yan'zhuo'shao 烈焰灼烧
'ling'da'shen 羚大婶
'ling'hun'zhi'zhu 灵魂之注
'liu'lang'ge'shou'xiao'ya 流浪歌手小牙
'long'he'he'gu 龙河河谷
'long'ji'shan 龙脊山
'long'kui'bi'ren 龙葵匕刃
'lv'guan'ke'fang'jing'li 旅馆客房经理
'mao'pu'kuai'di'gong'si 猫扑快递公司
'mao'yin'cun 猫隐村
'mao'yin'duo'luo'jing'ling 猫隐堕落精灵
'mao'you'cai'piao'xiao'shou'yuan 猫游彩票销售员
'mei'nv'jiao'guan'mu'jing'jing 美女教官木静静
'meng'chou 猛抽
'meng'qin'yi'ji 猛禽一击
'ming'huo'zhao 冥火爪
'mo'dao'xue'yuan 魔导学院
'mo'fa'dun 魔法盾
'mo'fa'ting 魔法厅
'mo'fa'xun'lian'shi 魔法训练师
'mo'fa'yan'jiu'yuan 魔法研究院
'mo'fa'yin'chang 魔法吟唱
'mo'fa'zhi'quan 魔法之泉
'mo'zu'ru'qin 魔族入侵
'mu'ye'cao'yuan 牧野草原
'nu'feng'zhi'ji 怒风之击
'nv'yao 女妖
'po'chu'hu'jia 破除护甲
'po'nu'qiang 破驽枪
'qi'cai'xiao'chou 七彩小丑
'qi'shi'tuan'zhang'ke'li'fu 骑士团长克里夫
'qiang'fu 强符
'qiang'gong'yin'ji 强攻印记
'qiang'li'da'ji 强力打击
'qing'quan'hu 清泉湖
'qing'ting'fa'dian 蜻蜓法典
'qing'wa'wang'zi 青蛙王子
'ran'se'ji 染色剂
'ren'pi'yu'long 韧皮鱼龙
'ren'shen'jing 人参精
'ren'shen'jing'ka'pian 人参精卡片
'ren'yu'tie'wei 人鱼铁卫
'rong'yan'zhi'xin'zuan'shi 熔岩之心钻石
'rui'qi'yu'long 锐鳍鱼龙
'sen'ling'shu 森灵鼠
'sha'mo 沙魔
'she'ming'ci'chuan 舍命刺穿
'she'nv'ka'pian 蛇女卡片
'shen'dong'zhi'han 深冬之寒
'shen'sheng'guang'bo 神圣光波
'shen'zhi'jin'shu'yuan'shi 神之金属原石
'sheng'dun 圣盾
'sheng'ji'shi 升级石
'sheng'ling'mo'dian 圣灵魔典
'sheng'zhe'zhi'shu 圣者之书
'shi'ji'zhi'zuan 世纪之钻
'shi'ming'ren'wu'ban 使命任务板
'shi'pao'huo'shu'ka'pian 石炮火树卡片
'shi'qu'de'rong'guang 逝去的荣光
'shi'zi'zhan 十字斩
'shi'zi'zhong'jian 十字重剑
'shou'hu'yin'ji 守护印记
'shou'ling'zhi'jian 首领之剑
'shu'bian'fu'ka'pian 树蝙蝠卡片
'shu'wa'ka'pian 树蛙卡片
'shui'jing'zhi'ji 水晶之脊
'shui'ta 水獭
'si'lie 撕裂
'si'ling'de'hun'po 死灵的魂魄
'si'ling'shou'wei'zhe 死灵守卫者
'si'shen'shan'yang 死神山羊
'si'wang'chan'rao 死亡缠绕
'si'ye'xing'yun'cao 四叶幸运草
'tai'mi'er'hong'bao'shi 泰米尔红宝石
'tang'lang'ka'pian 螳螂卡片
'tian'fa'zhi'lei 天罚之雷
'tiao'zao'shi'chang 跳蚤市场
'tong'chi'dao 通吃岛
'tu'long'zhi'jian 屠龙之剑
'tuo'ba'cheng 拖把城
'wang'hun'xiang 忘魂香
'wu'duan'wang'you 无端网游
'wu'pin'bao'guan'yuan 物品保管员
'wu'po 巫婆
'wu'shu'dao'chang 武术道场
'wu'tan'zhan'shi 伍坦战士
'wu'yin'dao 雾隐岛
'xi'ding 锡锭
'xi'kou'huan 锡扣环
'xi'sai'cun 西塞村
'xi'wang'ma'tou 希望码头
'xian'ren'zhang'ka'pian 仙人掌卡片
'xiao'jin'fo 小金佛
'xiao'jun'ban'jia'hu'wan 校军板甲护腕
'xiao'mo'fa'ji 小魔法剂
'xiao'qian 小倩
'xiao'xing'bu'xue'ji 小型补血剂
'xiao'yin'fo 小银佛
'xiong'mao'sen'lin 熊猫森林
'xiu'luo'gong 修罗宫
'xuan'guang'zhi'hen 眩光之痕
'xue'dan'dan 雪丹丹
'xue'yuan'cheng 雪原城
'xue'yuan'cheng'jiu'guan 雪原城酒馆
'yan'bao'shu 炎爆术
'yan'ling'mo'dian 言灵魔典
'yan'xing'mo'di 焰星魔帝
'yao'dao 妖道
'yin'guang'qi'shi'tuan 银光骑士团
'yin'guang'sen'lin 银光森林
'yin'yue'guan'xi 银月关系
'you'ming'she'wang 幽冥蛇王
'you'ming'yi'hou 幽冥蚁后
'you'ming'zhao 幽冥爪
'yu'ye'guan'li 渔业管理
'yuan'ling'de'hun'po 怨灵的魂魄
'yuan'su'dao 元素岛
'yue'ling'mao'nv 月灵猫女
'yun'meng'ze 云梦泽
'yun'yan'cheng 云岩城
'yun'yan'wu'tan 云岩伍坦
'zao'ji 凿击
'zhan'shi'xun'lian'shi 战士训练师
'zhen'hong'lian'jin'shi 真红炼金士
'zheng'yi'shen'pan 正义审判
'zhi'xue'yao 止血药
'zhi'xue'yao'pei'fang 止血药配方
'zhong'ji 重击
'zhong'ji'ji'su'yao'ji 中级急速药剂
'zhong'ji'jing'zhun'yao'ji 中级精准药剂
'zhong'ji'mo'li'yao'ji 中级魔力药剂
'zhong'ji'nai'li'yao'ji 中级耐力药剂
'zhong'ji'qing'ling'yao'ji 中级轻灵药剂
'zhong'ji'sheng'ming'yao'ji 中级生命药剂
'zhong'lou'shou'hu 钟楼守护
'zhong'mo'fa'ji 中魔法剂
'zhong'xing'bu'xue'ji 中型补血剂
'zhuan'yong'kong'jie 专用空姐
'zong'biao'tou'wang'biao'tou 总镖头王镖头
