'a'ba'ye'ka'luo'ji'duo 阿巴耶卡罗笈多
'a'bi'di'yu 阿鼻地狱
'a'bi'luo'ti 阿比罗提
'a'bing'ba'zhi 阿鞞跋致
'a'bo'tuo'na 阿波陀那
'a'bu'zhao'yi 阿部肇一
'a'chan'di'jia 阿阐底迦
'a'da'po'fei'tuo 阿达婆吠陀
'a'dao 阿道
'a'di'qu'duo 阿地瞿多
'a'di'xia 阿底峡
'a'dian'di'jia 阿颠底迦
'a'du'shi'wang 阿闍世王
'a'fu'tuo'da'mo 阿浮陀达磨
'a'ga'se 阿伽色
'a'ga'tuo'yao 阿伽陀药
'a'han'jing 阿含经
'a'hong 阿吽
'a'ke'ba 阿克巴
'a'la'shan'yan'shou'si 阿拉善延寿寺
'a'lai'ye'shi 阿赖耶识
'a'lan're 阿兰若
'a'li'ye 阿离耶
'a'lu'na 阿卢那
'a'luo'han 阿罗汉
'a'luo'luo'jia'lan 阿罗逻迦兰
'a'luo'pi'guo 阿罗毗国
'a'mi'tuo'jing 阿弥陀经
'a'mi'tuo'jing'tu'bian 阿弥陀净土变
'a'mo'le'shu 阿摩勒树
'a'mo'luo'fan'yu'ci'dian 阿摩罗梵语辞典
'a'mo'luo'jia'ta 阿摩落迦塔
'a'mo'luo'po'ti 阿摩罗婆提
'a'mo'luo'pu'luo'pai 阿摩罗普罗派
'a'mo'luo'shi 阿摩罗识
'a'na'han 阿那含
'a'na'lv 阿那律
'a'nan 阿难
'a'nan'tuo'si 阿难陀寺
'a'ni'ge 阿尼哥
'a'nou'da'chi 阿耨达池
'a'nou'da'long'wang 阿耨达龙王
'a'nou'duo'luo'san'miao'san'pu'ti 阿耨多罗三藐三菩提
'a'nu'bo'cun 阿奴波村
'a'nu'lv'tuo 阿奴律陀
'a'nuo'de 阿诺德
'a'pi'da'mo 阿毗达磨
'a'pi'da'mo'da'cheng'jing 阿毗达磨大乘经
'a'pi'da'mo'deng'lun 阿毗达磨灯论
'a'pi'tan'ba'jian'du'lun 阿毗昙八犍度论
'a'pi'tan'pi'po'sha'lun 阿毗昙毗婆沙论
'a'pi'tan'xin'lun 阿毗昙心论
'a'qi'duo'chi'she'qin'po'luo 阿耆多翅舍钦婆罗
'a'ruo'jiao'chen'ru 阿若憍陈如
'a'seng'chi 阿僧祇
'a'shi'bo 阿湿波
'a'shi'bo'guo 阿湿波国
'a'shu'jia'shu 阿输迦树
'a'shuo'shi 阿说示
'a'si'tuo'xian 阿私陀仙
'a'suo'fu'chao 阿娑缚抄
'a'te'man 阿特曼
'a'tuo'na'shi 阿陀那识
'a'wang'lao'cang 阿王老藏
'a'wang'luo'sang 阿旺洛桑
'a'wang'luo'sang'dan'ba'jian'zan 阿旺洛桑丹巴坚赞
'a'wang'qu'pei 阿旺曲培
'a'wei'she'fa 阿尾奢法
'a'xiu'luo 阿修罗
'a'yi'duo 阿逸多
'a'yi'luo 阿诣罗
'a'you'duo 阿由多
'a'yu'tuo'guo 阿踰陀国
'a'yu'wang 阿育王
'a'yu'wang'fa'le 阿育王法勒
'a'yu'wang'jing 阿育王经
'a'yu'wang'si 阿育王寺
'a'yu'wang'ta 阿育王塔
'a'yu'wang'xi'huai'mu'yin'yuan'jing 阿育王息坏目因缘经
'a'zha'li'jiao 阿咤力教
'a'zhan'tuo'shi'ku 阿旃陀石窟
'a'zi'ben'bu'sheng 阿字本不生
'a'zi'guan 阿字观
'a'zi'wu'zhuan 阿字五转
'ai'bie'li'ku 爱别离苦
'ai'guo'si'nian'fo'tang 爱国寺念佛堂
'ai'guo'wang 矮国王
'ai'jian 爱见
'ai'jian'da'bei 爱见大悲
'ai'le'fan'da'dao 埃勒凡达岛
'ai'lue'te 艾略特
'ai'luo'la'shi'ku 艾罗拉石窟
'ai'ran'ming'wang 爱染明王
'ai'xing 爱行
'ai'ze'dun 艾泽顿
'ai'zhi'ge 爱之歌
'ai'zhi'xue'yuan'da'xue 爱知学院大学
'an 庵
'an'bei'ka 安贝卡
'an'chan'na 安禅那
'an'cheng 安澄
'an'da'luo'fu'guo 安呾罗缚国
'an'da'luo'guo 案达罗国
'an'da'pai 案达派
'an'du'na'lin 安闍那林
'an'duo'zheng'jiao'duo 安多政教多
'an'fa'qin 安法钦
'an'guo'si 安国寺
'an'guo'xing'guo'si 安国兴国寺
'an'han 安含
'an'hui 安慧
