'ai'zhi'si'zhi 爱之思之
'an'an'meng'yun'jing'duan 黯黯梦云惊断
'ba'ci'zhong'li'lai'ruan'mei'wu'gu'de'er'nv'qing'huan'cheng'you'dan'you'shi 把词中历来软媚无骨的儿女情换成有胆有识
'ba'jiang'bian'gu'lei'he'zhou'lang'chi'bi'gua'shang'le'gou 把江边故垒和周郎赤壁挂上了钩
'ba'jiu'duan'qi'jiu'bei 把酒端起酒杯
'ba'jiu'wen'qing'tian 把酒问青天
'ba'jiu'wen'tian 把酒问天
'ba'sheng'gan'zhou 八声甘州
'bai'ma'zao'diao'liu'bu'zhu 白马皂貂留不住
'bai'shou'wang'ji 白首忘机
'bai'yun'xiang'li'you'wen'rou 白云乡里有温柔
'bai'zi'ling 百字令
'ban'jun'you'du 伴君幽独
'ban'luo'mei'hua'wan'mian'xiang 半落梅花婉娩香
'bao'chi'le'guan 保持乐观
'bao'gao 报告
'bei 悲
'bei'gui'hong 背归鸿
'bei'hai'hou'di'er'nian'bing'si'chang'zhou 北还后第二年病死常州
'ben'ci'zai'ci'shi'shang'ji'fu'sheng'yu'hu'zi'tiao'xi'yu'yin'cong'hua'shuo'zhong'qiu'ci'zi'dong'po'shui'diao'ge'tou'yi'chu 本词在词史上极负盛誉胡仔笤溪鱼隐丛话说中秋词自东坡水调歌头一出
'ben'lai'bu'ying'you'shen'me'yuan'hen 本来不应有什么怨恨
'ben'shi'shi'zheng'yi'di'wu 本事诗征异第五
'ben'tiao'dang'shi'zui'liu'xing 本调当时最流行
'ben'tiao'shi'yu'sui'tang'jian 本调始于隋唐间
'ben'wen'qu'cai'zi 本文取材自
'bi'sha'chuang'xia'xi'chen'yan 碧纱窗下洗沉烟
'bian'jiang'zi'ji'zai'zhong'qiu'jia'jie 便将自己在中秋佳节
'bian'yu'jun 便与君
'biao'shi'you'li 表示有力
'biao'xian 表现
'biao'xian'chu'huo'da'de'xiong'jin 表现出豁达的胸襟
'biao'xian'chu'zi'ji'chu'shi'yu'ru'shi'zhi'jian'de'mao'dun'si'xiang 表现出自己出世与入世之间的矛盾思想
'bie'lai'xiang'yi 别来相忆
'bie'xu'zhou 别徐州
'bin'ru'shuang 鬓如霜
'bin'wei'shuang 鬓微霜
'bing'chen'xi'ning'jiu'nian 丙辰熙宁九年
'bing'chen'zhong'qiu 丙辰中秋
'bing'chen'zhong'qiu'huan'yin'da'dan 丙辰中秋欢饮达旦
'bing'chu'yi'xiao'sa'zhi'bi 并出以潇洒之笔
'bing'ji'yu'gu 冰肌玉骨
'bo'cao'zuo'shu 卜操作数
'bu'dan'chang'mian're'lie 不但场面热烈
'bu'dan'ci'de'qi'xiang'jing'jie'ling'li'wu'qian 不但词的气象境界凌厉无前
'bu'dan'gong'ye'wei'cheng 不但功业未成
'bu'du'xiao'shu'sheng'zheng'di'shi 不独笑书生争底事
'bu'hen'ci'hua'fei'jin 不恨此花飞尽
'bu'ji'gui'shi'jie 不记归时节
'bu'jia'diao'zhuo 不假雕琢
'bu'jian'ju'ren'zhi'jian'cheng 不见居人只见城
'bu'jin'shen'zi'gan'kui 不禁深自感愧
'bu'jin'yi'cai'hua'cheng'zuo'shou'ye 不仅以才华称作手也
'bu'jiu'yue'liang'zhuan'guo'hong'se'de'ge'lou 不久月亮转过红色的阁楼
