'ai'zhu'ren 爱主人
'ba'dao'long'lin 霸刀龙鳞
'ba'dao'shi 霸刀蚀
'ba'long 霸龙
'bai'su'long 白速龙
'bai'su'long'wang 白速龙王
'bai'tiao'tiao 白跳跳
'bai'yi'jiao'long 白一角龙
'bai'yuan'ti 白猿薙
'bai'yuan'ti'gai 白猿薙改
'bao'chui'long 爆锤龙
'bao'dan'qiang'hua'zhi'shu 爆弹强化之术
'bei'shui'zhi'zhen 背水之阵
'ben'lei'jian'ting'ming'wan'jun 奔雷剑霆鸣万钧
'bing'gong'ji'qiang'hua 冰攻击强化
'bing'hu'long 冰狐龙
'bing'lei'niao 冰雷鸟
'bing'nai'xing'qiang'hua 冰耐性强化
'bing'ya'long 冰牙龙
'bing'zhang'dou'qi'chui 兵长斗气锤
'bing'zhang'miao'dou'qi'jia 兵长喵斗气甲
'bing'zhang'miao'dou'qi'kui 兵长喵斗气盔
'bu'gong'ji 不攻击
'bu'shi'ju'ren 捕食巨刃
'bu'tou'lan'zhi'shu 不偷懒之术
'cai'ji'feng'yin'zhi'shu 采集封印之术
'can'yang'xun'jue 残阳勋爵
'cang'huo'long 苍火龙
'cang'lan'jian'dao 苍蓝剪刀
'cang'lan'jian'dao'gai 苍蓝剪刀改
'cang'zhi'wan 苍之丸
'cang'zhi'wan'gai 苍之丸改
'chang'qiang 长枪
'chi'wen'ren 赤纹刃
'chong'qiang 铳枪
'chui'zi 锤子
'ci'huo'long'gu'sui 雌火龙骨髓
'ci'huo'long'jia'qiao 雌火龙甲壳
'ci'huo'long'tao'zhuang 雌火龙套装
'ci'huo'long'zhi'ji 雌火龙之棘
'ci'huo'long'zhi'lin 雌火龙之鳞
'ci'huo'long'zhi'wei 雌火龙之尾
'ci'huo'long'zhi'yi 雌火龙之翼
'ci'huo'long'zhi'zhao 雌火龙之爪
'cui'yan'ren'xuan'lie 摧岩刃旋裂
'cui'yan'shi'ren 摧岩蚀刃
'cui'yan'shi'ren'gai 摧岩蚀刃改
'cun'ding'dou'qi'chui 村丁斗气锤
'cun'ding'hu'shen'chui 村丁护身锤
'cun'ding'miao'dou'qi'jia 村丁喵斗气甲
'cun'ding'miao'dou'qi'kui 村丁喵斗气盔
'cun'ding'miao'hu'shen'jia 村丁喵护身甲
'cun'ding'miao'hu'shen'kui 村丁喵护身盔
'da'chui 大锤
'da'dao'niao'qie 大刀鸟切
'da'guai'niao 大怪鸟
'da'guai'niao'tao'zhuang 大怪鸟套装
'da'jian 大剑
'da'qi'shi'dou'qi'chui 大骑士斗气锤
'da'qi'shi'miao'dou'qi'jia 大骑士喵斗气甲
'da'qi'shi'miao'dou'qi'kui 大骑士喵斗气盔
'da'tong'bao'dan'zhi'shu 大桶爆弹之术
'da'ye'zhu'wang'ji'gu 大野猪王脊骨
'da'ye'zhu'wang'tao'zhuang 大野猪王套装
'da'ye'zhu'wang'tou'ke 大野猪王头壳
'da'ye'zhu'wang'zhi'pi 大野猪王之皮
'da'ye'zhu'wang'zhi'ti 大野猪王之蹄
'da'ye'zhu'wang'zhi'ya 大野猪王之牙
'dan'cai'se'zhi'mao 淡彩色之毛
'dan'jin'se'shou'mao 淡金色兽毛
'dan'xiao 胆小
'dian'jia'chong 电甲虫
'dian'long 电龙
'dian'long'ji'gu'bai'hua'ji'rou 电龙脊骨白化脊肉
'dian'long'rou'ruan'pi 电龙柔软皮
'dian'long'tao'zhuang 电龙套装
'dian'long'zhi'ya 电龙之牙
'dian'long'zhi'yi 电龙之翼
'dian'qi'dai 电气袋
'dong'yan'she'shou'su'she'qiang'guan 冻岩射手速射枪管
'du'dai 毒袋
'du'er'hei'lang'niao 独耳黑狼鸟
'du'gong'ji'qiang'hua 毒攻击强化
'du'guai'niao'guang'shui'jing 毒怪鸟光水晶
'du'guai'niao'tao'zhuang 毒怪鸟套装
'du'guai'niao'tou'ke 毒怪鸟头壳
'du'guai'niao'xiang'jiao'zhi'pi 毒怪鸟橡胶质皮
'du'guai'niao'zhi'yi 毒怪鸟之翼
'du'guai'niao'zhi'zui 毒怪鸟之嘴
'du'shou'ai 毒狩霭
'du'wu'xiao'zhi'shu 毒无效之术
'du'xing'hu'shen'ren 独行护身刃
'du'xing'miao'hu'shen'jia 独行喵护身甲
'du'xing'miao'hu'shen'kui 独行喵护身盔
'du'zhuo'jian 毒啄剑
'du'zhuo'jian'gai 毒啄剑改
'duan'ren'yi'jiao'long 断刃一角龙
'duan'ya'jian 断牙剑
'dun'xie'jia'qiao 盾蟹甲壳
'dun'xie'tao'zhuang 盾蟹套装
'dun'xie'zhi'jiao 盾蟹之脚
'dun'xie'zhi'qian 盾蟹之钳
'dun'xie'zhi'zhao 盾蟹之爪
'fa'huo'dai 发火袋
'fang'shu'fang'han'zhi'shu 防暑防寒之术
'fang'yin'zhi'shu 防音之术
'fang'yu'li'qiang'hua 防御力强化
'fei'long'dao 飞龙刀
'feng'ya'pao'xiao'wu'xiao'zhi'shu 风压咆哮无效之术
'feng'ya'shui'liu'wu'xiao'zhi'shu 风压水流无效之术
'feng'ya'wu'xiao'zhi'shu 风压无效之术
'fu'yue'long 浮岳龙
'gang'long 钢龙
'gao'su'hui'fu'zhi'shu 高速回复之术
'gao'su'zuo'ye'zhi'shu 高速作业之术
'ge'dang'ji'qiao 格挡技巧
'gong'ji'li'qiang'hua 攻击力强化
'gong'jian 弓箭
'gu'ya'dao 骨牙刀
'guai'niao'zhi'er 怪鸟之耳
'guai'niao'zhi'lin 怪鸟之鳞
'guai'niao'zhi'yi 怪鸟之翼
'guai'niao'zhi'zhao 怪鸟之爪
'guai'niao'zhi'zui 怪鸟之嘴
'guai'wu'lie'ren 怪物猎人
'gui'ren'di'zhi'shu 鬼人笛之术
'gui'shou'zhu'jia'qiao 鬼狩蛛甲壳
'gui'shou'zhu'tao'zhuang 鬼狩蛛套装
'gui'shou'zhu'ti'ye 鬼狩蛛体液
'gui'shou'zhu'zhi'mao 鬼狩蛛之毛
'gui'shou'zhu'zhi'si 鬼狩蛛之丝
'gui'shou'zhu'zhi'yan 鬼狩蛛之眼
'gui'shou'zhu'zhi'zhao 鬼狩蛛之爪
'hai'shou'zhu 骇狩蛛
'han'sha'tai'dao 寒砂太刀
'he'li'shou'ji'gu 河狸兽脊骨
'he'li'shou'tao'zhuang 河狸兽套装
'he'li'shou'tou'ke 河狸兽头壳
'he'li'shou'zhi'pi 河狸兽之皮
'he'li'shou'zhi'ya 河狸兽之牙
'he'li'shou'zhi'zhao 河狸兽之爪
'he'ping'zhu'yi 和平主义
'he'yuan'ti 河源薙
'hei'jiao'long 黑角龙
'hei'kai'long 黑铠龙
'hei'lang'niao'jia'qiao 黑狼鸟甲壳
'hei'lang'niao'tao'zhuang 黑狼鸟套装
'hei'lang'niao'tou'ke 黑狼鸟头壳
'hei'lang'niao'zhi'er 黑狼鸟之耳
'hei'lang'niao'zhi'lin 黑狼鸟之鳞
'hei'lang'niao'zhi'wei 黑狼鸟之尾
'hei'lang'niao'zhi'yi 黑狼鸟之翼
'hei'lang'niao'zhi'zui 黑狼鸟之嘴
'hei'lang'niao'zong'mao 黑狼鸟鬃毛
'hei'zhen'zhu 黑真珠
'hong'bai'ji'rou 红白脊肉
'hong'dian'long 红电龙
'hong'dian'long'ji'gu 红电龙脊骨
'hong'dian'long'zhi'ya 红电龙之牙
'hong'dian'long'zhi'yi 红电龙之翼
'hong'dian'qi'dai 红电气袋
'hong'kong'da'jian 轰空大剑
'hong'kong'da'jian'gai 轰空大剑改
'hong'lian'zhai'xie 红莲砦蟹
'hong'long 轰龙
'hong'su'long 红速龙
'hong'su'long'wang 红速龙王
'hong'tiao'tiao 红跳跳
'huang'e'long 荒厄龙
'huang'su'long 黄速龙
'huang'su'long'wang 黄速龙王
'huang'su'long'wang'ma'bi'ya 黄速龙王麻痹牙
'huang'su'long'wang'tao'zhuang 黄速龙王套装
'huang'su'long'wang'tou'guan 黄速龙王头冠
'huang'su'long'wang'zhi'lin 黄速龙王之鳞
'huang'su'long'wang'zhi'pi 黄速龙王之皮
'huang'su'long'wang'zhi'zhao 黄速龙王之爪
'huang'tiao'tiao 黄跳跳
'huang'xiao'su'she'qiang'guan 凰晓速射枪管
'hui'fu'di'shu 回复笛术
'hui'jing'xie 灰晶蝎
'hui'xin'gong'ji'qiang'hua 会心攻击强化
'hui'xuan'biao'yu'bao'dan 回旋镖与爆弹
'huo'gong'ji'qiang'hua 火攻击强化
'huo'nai'xing'qiang'hua 火耐性强化
'huo'xing'chong'ji 惑星冲击
'huo'xing'long 祸星龙
'huo'xing'yun'hui 惑星陨毁
'huo'yan'dai 火炎袋
'ji'dian'sui'ya 疾电碎牙
'ji'du'she'shou'su'she'qiang'guan 虮毒射手速射枪管
'ji'e'niao'hui 极恶鸟喙
'ji'lun'she'shou'gai'su'she'qiang'guan 棘轮射手改速射枪管
'ji'lun'she'shou'su'she'qiang'guan 棘轮射手速射枪管
'jia'nong'pao'hong'xu'neng'qiang'guan 加农炮轟蓄能枪管
'jian'hao'lian'xie 剑豪镰蟹
'jian'ji'lang 剑极狼
'jian'ke'hu'shen'fu 剑客护身斧
'jian'ke'miao'hu'shen'jia 剑客喵护身甲
'jian'ke'miao'hu'shen'kui 剑客喵护身盔
'jian'sha'lang 剑刹狼
'jian'yan'zhan 坚岩斩
'jian'yan'zhan'gai 坚岩斩改
'jiang'jun'lian'xie'tao'zhuang 将军镰蟹套装
'jiao'di'zhi'shu 角笛之术
