'ban'jing 半径
'ban'kai'shi'ye'lun 半开式叶轮
'bao'jing'dian 报警点
'bao'rong'le'zhuan'zi'de'qiao'ti 包容了转子的壳体
'bei'jian 备件
'bei'kao'bei'xing 背靠背型
'ben'ti 本体
'bi'de'jing'zhi'de 比的静止的
'bi'liu'liang 比流量
'bi'lu'shi'yan 闭路试验
'bi'rong 比容
'bi'shi'ye'lun 闭式叶轮
'bi'shi'ye'lun'lun 闭式叶轮轮
'bi'zhi'jing 比直径
'bi'zhuan'su 比转速
'bian'hao 编号
'bian'zhuan'su'tiao'jie 变转速调节
'biao'zhun'kong'qi 标准空气
'biao'zhun'zhuang'tai 标准状态
'bing'lian'yun'xing 并联运行
'bu'fen'fu'he 部分负荷
'can'kao'qi 参考气
'ce'ban 侧板
'ce'zhen'zhuang'zhi 测振装置
'chao'su'shi'yan 超速试验
'cheng'wei'fan'ying'du'huo'fan'dong'du 称为反应度或反动度
'chi'cun'xiao'ying 尺寸效应
'chong'ji'sun'shi 冲击损失
'chou'du 稠度
'chou'qi'qi 抽气器
'chu'chang'jian'yan 出厂检验
'chu'jin'kou'qi'liu'jiao 出进口气流角
'chu'kou'de'zhong'liao'de 出口的终了的
'chu'kou'ji'he'jiao 出口几何角
'chu'kou'qi'liu'jiao 出口气流角
'chu'kou'tiao'jian 出口条件
'chu'qi'shi'yan'zhuang'zhi 出气试验装置
'chu'shi'zhuang'zhi 除湿装置
'chuan'lian'yun'xing 串联运行
'chuan'zhen 喘振
'chuan'zhen'dian 喘振点
'chuan'zhen'jie'xian 喘振界线
'chui'zhi'pou'fen'xing 垂直剖分型
'dan'xi'ru 单吸入
'dang'liang'zhuan'su 当量转速
'dao'gan 导杆
'dao'liu'qi 导流器
'dao'ye 导叶
'deng'liu'liang'tiao'jie 等流量调节
'deng'shang'de 等熵的
'deng'shang'neng'liang'tou 等熵能量头
'deng'shang'xiao'lv 等熵效率
'deng'shang'ya'suo'guo'cheng 等熵压缩过程
'deng'shang'zhi'shu 等熵指数
'deng'wen'de 等温的
'deng'wen'neng'liang'tou 等温能量头
'deng'wen'xiao'lv 等温效率
'deng'wen'xing 等温型
'deng'wen'ya'suo'guo'cheng 等温压缩过程
'deng'ya'pian'cha'xi'shu 等压偏差系数
'deng'ya'tiao'jie 等压调节
'di'su'gu'feng'ji 低速鼓风机
'di'zuo 底座
'dian'ban 垫板
'ding'wei'jian 定位键
'ding'zi 定子
'dong'li'de 动力的
'dong'li'xiang'si 动力相似
'dong'neng'shi'yan 动能试验
'dong'ping'heng 动平衡
'dong'ye 动叶
'dong'ye'shan'huo'jing'ye'zha'tu'xing 动叶栅或静叶栅图形
'duan'gai 端盖
'dui'bi 对比
'dui'shu'xing'neng'qu'xian 对数性能曲线
'duo'bian'de 多变的
'duo'bian'neng'liang'tou 多变能量头
'duo'bian'xiao'lv 多变效率
'duo'bian'ya'suo'guo'cheng 多变压缩过程
'duo'bian'zhi'shu 多变指数
'duo'ye'tong'feng'ji 多叶通风机
'duo'zhou'xing 多轴型
'duo'zhuan'shi'jian 惰转时间
'er'ci'liu 二次流
'er'ci'ping'heng'qi 二次平衡气
'fan'zuo'yong'du 反作用度
'fang'chuan'zhen'zhuang'zhi 防喘振装置
'fei'gong'zuo'mian 非工作面
'feng'dong 风洞
'feng'ji 风机
'feng'ji'shi'yan'shi'jin'chu'kou'de'jie'guan 风机试验时进出口的接管
'feng'ji'yun'xing'shi 风机运行时
'feng'ji'zao'sheng 风机噪声
'feng'shi 风室
'feng'tong 风筒
'feng'wo'mi'feng 蜂窝密封
'fu'huan'mi'feng 浮环密封
'fu'zhu'she'bei 辅助设备
'fu'zhu'tong'feng'ji 辅助通风机
'gan'kong'qi 干空气
'gan'qi'mi'feng 干气密封
'gang'xing'zhuan'zi 刚性转子
'gao'gong'zuo'ya'li 高工作压力
'gao'su'gu'feng'ji 高速鼓风机
'gao'wei'you'xiang 高位油箱
'ge'ban 隔板
'ge'li'qi 隔离器
'ge'sheng'zhao 隔声罩
'ge'ye'kuai 隔叶块
'gen'ju'xiang'si'li'lun'zuo'she'ji 根据相似理论作设计
'gong'kuang'dian 工况点
'gong'lv'yu'du 功率裕度
'gong'neng'shi'yan 功能试验
'gong'yong'di'zuo 公用底座
'gong'zuo'mian 工作面
'gu'feng'ji 鼓风机
'gu'tong'shi'zhuan'zi 鼓筒式转子
'guan'wang 管网
'guan'wang'te'xing 管网特性
'guan'xian'xing 管线型
'guang'zhou 光轴
'guo'lv'qi 过滤器
'hai'ping'de'song'dong'de 海平的松动的
'han'jie'ye'lun 焊接叶轮
'hou'du'yu'xian'chang'zhi'bi 厚度与弦长之比
'hou'ji'ke 后机壳
'hou'xiang'ye'pian 后向叶片
'hou'yuan'dian 后缘点
'hou'yuan'fang'xiang'jiao 后缘方向角
'hua'dong 滑动
'hua'dong'xi'shu 滑动系数
'huan'lie'ye'zha 环列叶栅
'huan'xing'ye'zha 环型叶栅
'hui'zhuan'xiao'ying 回转效应
'hun'liu'feng'ji 混流风机
'ji'hao 机号
'ji'he'jiao 几何角
'ji'he'xiang'si 几何相似
'ji'ke 机壳
'ji'ru'liu'dong'sun'shi 计入流动损失
'ji'suan'xing'neng'qu'xian 计算性能曲线
'ji'xie 机械
'ji'xie'mi'feng 机械密封
'ji'xie'sun'shi 机械损失
'ji'xie'xiao'lv 机械效率
'ji'xie'yun'zhuan'shi'yan 机械运转试验
'jian'zheng'shi'yan 见证试验
'jiao'su'du 角速度
'jie'bian'zhou 节鞭轴
'jie'ti'zhou 阶梯轴
'jin'chu'qi'shi'yan'zhuang'zhi 进出气试验装置
'jin'kou'chong'jiao 进口冲角
'jin'kou'de'chu'shi'de 进口的初始的
'jin'kou'ji'he'jiao 进口几何角
'jin'kou'qi'liu'jiao 进口气流角
'jin'kou'quan 进口圈
'jin'kou'tiao'jian 进口条件
'jin'qi'jie'liu'tiao'jie 进气节流调节
'jin'qi'shi 进气室
'jin'qi'shi'yan'zhuang'zhi 进气试验装置
'jin'qi'yu'xuan'tiao'jie 进气预旋调节
'jin'si'xiang'si 近似相似
'jing'ji'gong'zuo'qu 经济工作区
'jing'ping'heng 静平衡
'jing'xiang'su'du 径向速度
'jing'xiang'tiao'jie'qi 径向调节器
'jing'xiang'ye'pian 径向叶片
'jing'ya 静压
'jing'ya'xi'shu 静压系数
'jing'ye 静叶
'ju'you'yi'ding'de'qi'liu'liu'chang 具有一定的气流流场
'jue'dui'su'du 绝对速度
'kai'shi'ye'lun 开式叶轮
'ke'tiao'xing 可调性
'kong'ban 孔板
'kong'jian'ye'zha 空间叶栅
'kong'qi'dong'li'lue'tu 空气动力略图
'kong'qi'shi'yan 空气试验
'kua'ju 跨距
'kuo'ya'qi 扩压器
'kuo'ya'sun'shi 扩压损失
'leng'que'xi'tong 冷却系统
'li'lun 理论
