'ba'chuang'ta'piao'qi 把床榻漂起
'ba'ru'zi'shi'tou 把褥子湿透
'bi'lin'dao'ta'zi'ji'de'tou'shang 必临到他自己的头上
'bing'ta'de'shou'gao'zhe 并他的受膏者
'bu'zhan'zui'ren'de'dao'lu 不站罪人的道路
'bu'zuo'dai'man'ren'de'zuo'wei 不坐怠慢人的座位
'chen'zai'yi'tong'shang'yi 臣宰一同商议
'da'wei'tao'bi'ta'er'zi'ya'sha'long'de'shi'hou'zuo'de'shi 大卫逃避他儿子押沙龙的时候作的诗
'da'wei'zhi'zhe'bian'ya'min'ren'gu'shi'de'hua 大卫指着便雅悯人古实的话
'dan'ni'ye'he'hua'shi'wo'si'wei'de'dun'pai 但你耶和华是我四围的盾牌
'dang'cun'wei'ju'shi'feng'ye'he'hua 当存畏惧事奉耶和华
'dang'yi'zui'qin'zi 当以嘴亲子
'di'dang'wo'di'ren'de'bao'nu 抵挡我敌人的暴怒
'dou'kao'ni'huan'xin 都靠你欢欣
'e'ren'bi'zhan'li'bu'zhu 恶人必站立不住
'fan'ta'suo'zuo'de 凡他所作的
'ge'song'ye'he'hua'zhi'gao'zhe'de'ming 歌颂耶和华至高者的名
'hao'liu'ren'xue'nong'gui'zha'de 好流人血弄诡诈的
'jiang'di'ji'ci'ni'wei'tian'chan 将地极赐你为田产
'jiang'wo'de'xing'ming'ta'zai'di'xia 将我的性命踏在地下
'jiang'wo'jiu'ba'chu'lai 将我救拔出来
'jing'diao'zai'zi'ji'suo'wa'de'jing'li 竟掉在自己所挖的阱里
'jiu'en'shu'hu'ye'he'hua 救恩属乎耶和华
'jiu'ren'ping'chou'di'zhui'gan'wo 就任凭仇敌追赶我
'kong'pa'ta'men'xiang'shi'zi'si'lie'wo 恐怕他们像狮子撕裂我
'kuang'ao'ren'bu'neng'zhan'zai'ni'yan'qian 狂傲人不能站在你眼前
'lian'na'wu'gu'yu'wo'wei'di'de 连那无故与我为敌的
'men'yao'zheng'kai'ta'men'de'kun'bang 们要挣开他们的捆绑
'na'shi'ta'yao'zai'nu'zhong'ze'bei'ta'men 那时他要在怒中责备他们
'na'zuo'zai'tian'shang'de'bi'fa'xiao 那坐在天上的必发笑
'nai'xiang'kang'pi'bei'feng'chui'san 乃像糠毗被风吹散
'ni'bi'jiang'ta'men'ru'tong'yao'jiang'de'wa'qi'shuai'sui 你必将他们如同窑匠的瓦器摔碎
'ni'bi'yong'en'hui'ru'tong'dun'pai'si'mian'hu'wei'ta 你必用恩惠如同盾牌四面护卫他
'ni'bi'yong'tie'zhang'da'po'ta'men 你必用铁杖打破他们
'ni'men'bian'zai'dao'zhong'mie'wang 你们便在道中灭亡
'ni'men'jiang'wo'de'zun'rong'bian'wei'xiu'ru 你们将我的尊荣变为羞辱
'ni'men'shi'shang'de'shen'pan'guan'gai'shou'guan'jiao 你们世上的审判官该受管教
'ni'men'yao'zhi'dao'ye'he'hua'yi'jing'fen'bie'qian'cheng'ren'gui'ta'zi'ji 你们要知道耶和华已经分别虔诚人归他自己
'ni'men'yi'qie'zuo'nie'de'ren 你们一切作孽的人
'ni'shi'wo'de'er'zi 你是我的儿子
'ni'yao'dao'ji'shi'cai'jiu'wo'ne 你要到几时才救我呢
'ni'yi'jing'ming'ding'shi'xing'shen'pan 你已经命定施行审判
'qiao'sui'le'e'ren'de'ya'chi 敲碎了恶人的牙齿
'qiu'ni'bu'yao'zai'nu'zhong'ze'bei'wo 求你不要在怒中责备我
'qiu'ni'chui'ting'wo'hu'qiu'de'sheng'yin 求你垂听我呼求的声音
'qiu'ni'jiu'wo'tuo'li'yi'qie'zhui'gan'wo'de'ren 求你救我脱离一切追赶我的人
'qiu'ni'liu'xin'ting'wo'de'yan'yu 求你留心听我的言语
'qiu'ni'zai'nu'zhong'qi'lai 求你在怒中起来
'ruo'you'zui'nie'zai'wo'shou'li 若有罪孽在我手里
'shen'shi'gong'yi'de'shen'pan'zhe 神是公义的审判者
'shen'shi'wo'de'dun'pai 神是我的盾牌
'sheng'guo'na'feng'shou'wu'gu'xin'jiu'de'ren 胜过那丰收五谷新酒的人
'shi'kan'e'ren'yin'jian'e'er'qu'lao 试看恶人因奸恶而劬劳
'shi'ni'de'dao'lu'zai'wo'mian'qian'zheng'zhi 使你的道路在我面前正直
'shi'shang'de'jun'wang'yi'qi'qi'lai 世上的君王一齐起来
'shi'wo'de'rong'yao'gui'yu'hui'chen 使我的荣耀归于灰尘
'shui'neng'zhi'shi'wo'men'shen'me'hao'chu 谁能指示我们什么好处
'sui'you'cheng'wan'de'bai'xing'lai'zhou'wei'gong'ji'wo 虽有成万的百姓来周围攻击我
'suo'huai'de'shi'du'hai 所怀的是毒害
'suo'sheng'de'shi'xu'jia 所生的是虚假
'ta'de'bu'zhao'shen'de'bang'zhu 他得不着神的帮助
'ta'de'qiang'bao'bi'luo'dao'ta'zi'ji'de'nao'dai'shang 他的强暴必落到他自己的脑袋上
'ta'jiu'cong'ta'de'sheng'shan'shang'ying'yun'wo 他就从他的圣山上应允我
'ta'suo'she'de'shi'huo'jian 他所射的是火箭
'ta'yao'xiang'yi'ke'shu'zai'zai'xi'shui'pang 他要像一棵树栽在溪水旁
'ta'ye'yu'bei'le'sha'ren'de'qi'xie 他也预备了杀人的器械
'ta'zheng'jiu'xin'li'zheng'zhi'de'ren 他拯救心里正直的人
'tuo'qu'ta'men'de'sheng'suo 脱去他们的绳索
'wai'bang'wei'shen'me'zheng'nao 外邦为什么争闹
'wan'min'wei'shen'me'mou'suan'xu'wang'de'shi 万民为什么谋算虚妄的事
'wei'xi'ai'ye'he'hua'de'lv'fa 唯喜爱耶和华的律法
'wo'bi'an'ran'tang'xia'shui'jiao 我必安然躺下睡觉
'wo'bi'cun'jing'wei'ni'de'xin'xiang'ni'de'sheng'dian'xia'bai 我必存敬畏你的心向你的圣殿下拜
'wo'bi'ping'ni'feng'sheng'de'ci'ai'jin'ru'ni'de'ju'suo 我必凭你丰盛的慈爱进入你的居所
'wo'de'di'ren'he'qi'jia'zeng 我的敌人何其加增
'wo'de'yi'qie'chou'di'dou'bi'xiu'kui 我的一切仇敌都必羞愧
