'bi'si'guan'zhi'guan 鼻饲管置管
'bing'fang'kong'tiao'jiang'wen'fei 病房空调降温费
'bing'fang'qu'nuan'fei 病房取暖费
'ceng'liu'jie'jing'bing'fang'chuang'wei'fei 层流洁净病房床位费
'chu'zhen 出诊
'chu'zhen'fei 出诊费
'chuan'ran'bing'fang'shi 传染病访视
'chuang'wei'fei 床位费
'da'huan'yao 大换药
'da'qiang'jiu 大抢救
'da'qing'chuang'feng'he 大清创缝合
'dao'niao 导尿
'dong'jing'mai'zhi'guan'hu'li 动静脉置管护理
'dong'mai'chuan'ci'zhi'guan'shu 动脉穿刺置管术
'dong'mai'jia'ya'zhu'she 动脉加压注射
'er'tong'qu'chi'yu'fang'bao'jian 儿童龋齿预防保健
'gang'guan'pai'qi 肛管排气
'gua'hao'fei 挂号费
'guan'chang 灌肠
'hu'li'fei 护理费
'huan'yao 换药
'hui'zhen'fei 会诊费
'ji'bing'jian'kang'jiao'yu 疾病健康教育
'ji'hu'li 级护理
'ji'rou'zhu'she 肌肉注射
'ji'zhen'guan'cha'chuang'wei'fei 急诊观察床位费
'ji'zhen'jian'hu'fei 急诊监护费
'ji'zhen'zhen'cha'fei 急诊诊查费
'jia'ting'bing'chuang 家庭病床
'jia'ting'bing'chuang'jian'chuang'fei 家庭病床建床费
'jia'ting'bing'chuang'xun'zhen'fei 家庭病床巡诊费
'jia'ting'xun'zhen 家庭巡诊
'jian'hu'bing'fang'chuang'wei'fei 监护病房床位费
'jian'kang'zi'xun 健康咨询
'jian'li'jian'kang'dang'an 建立健康档案
'jing'mai'chuan'ci'zhi'guan'shu 静脉穿刺置管术
'jing'mai'gao'ying'yang'zhi'liao 静脉高营养治疗
'jing'mai'qie'kai'zhi'guan'shu 静脉切开置管术
'jing'mai'shu'ye 静脉输液
'jing'mai'zhu'she 静脉注射
'jing'shen'bing'hu'li 精神病护理
'jiu'hu'che'fei 救护车费
'kang'zhong'liu'hua'xue'yao'wu'pei'zhi 抗肿瘤化学药物配置
'kong'tiao'jiang'wen'fei 空调降温费
'leng're'shi'fu 冷热湿敷
'li'ti'can'zhi'chu'li 离体残肢处理
'men'ji'zhen'liu'guan'zhen'cha'fei 门急诊留观诊查费
'pi'xia'shu'ye 皮下输液
'pu'tong'bing'fang'chuang'wei'fei 普通病房床位费
'pu'tong'men'zhen'zhen'cha'fei 普通门诊诊查费
'qi'guan'qie'kai'hu'li 气管切开护理
'qi'ta'yi'liao'fu'wu'xiang'mu 其他医疗服务项目
'qiang'jiu'fei 抢救费
'qing'chuang'feng'he 清创缝合
'qing'jie'guan'chang 清洁灌肠
'qu'nuan'fei 取暖费
'she'qu'wei'sheng'fu'wu'ji'yu'fang'bao'jian'xiang'mu 社区卫生服务及预防保健项目
'shi'ti'cun'fang 尸体存放
'shi'ti'liao'li 尸体料理
'te'da'huan'yao 特大换药
'te'ji'hu'li 特级护理
'te'shu'fang'hu'bing'fang'chuang'wei'fei 特殊防护病房床位费
'te'shu'ji'bing'hu'li 特殊疾病护理
'te'shu'wu'li'jiang'wen 特殊物理降温
'ti'jian'fei 体检费
'wei'chan'bao'jian'fang'shi 围产保健访视
'wei'chang'jian'ya 胃肠减压
'wu'hua'xi'ru 雾化吸入
'wu'li'jiang'wen 物理降温
'xi'tan'hu'li 吸痰护理
'xi'wei 洗胃
'xiao'er'tou'pi'jing'mai'shu'ye 小儿头皮静脉输液
'xiao'huan'yao 小换药
'xiao'qiang'jiu 小抢救
'xiao'qing'chuang'feng'he 小清创缝合
'xin'nei'zhu'she 心内注射
'xin'sheng'er'hu'li 新生儿护理
'xin'sheng'er'te'shu'hu'li 新生儿特殊护理
'yang'qi'xi'ru 氧气吸入
'yi'ban'jian'cha'zhi'liao 一般检查治疗
'yi'ban'wu'li'jiang'wen 一般物理降温
'yi'ban'zhuan'xiang'hu'li 一般专项护理
'yin'liu'guan'chong'xi 引流管冲洗
'ying'you'er'jian'kang'ti'jian 婴幼儿健康体检
'yuan'cheng'hui'zhen 远程会诊
'yuan'ji'hui'zhen 院际会诊
'yuan'nei'hui'zhen 院内会诊
'yuan'qian'ji'jiu'fei 院前急救费
'zao'lou'hu'li 造瘘护理
'zhen'cha'fei 诊查费
'zhong'huan'yao 中换药
'zhong'qiang'jiu 中抢救
'zhong'qing'chuang'feng'he 中清创缝合
'zhong'xin'jing'mai'chuan'ci'zhi'guan'shu 中心静脉穿刺置管术
'zhong'zheng'jian'hu 重症监护
'zhu'she 注射
'zhu'yuan'zhen'cha'fei 住院诊查费
'zhuan'jia'men'zhen'zhen'cha'fei 专家门诊诊查费
'zhuan'ye'xing'shi'ti'zheng'rong 专业性尸体整容
'zuo'yu 坐浴
