'ai'feng'ren'zhi'zi'ye 艾封人之子也
'ai'gong'yi'ri'yi'gao'min'zi'yue 哀公异日以告闵子曰
'ai'gong'yue 哀公曰
'ai'ji'er'zao'ai'ye 爱己而造哀也
'ai'li'chu'hu'ren'yi 爱利出乎仁义
'ai'min 爱民
'ai'ren'li'wu'zhi'wei'ren 爱人利物之谓仁
'ai'shi'qi'xing'zhe'ye 爱使其形者也
'ai'yi'shen'yu'wei'tian'xia 爱以身于为天下
'ai'you'ji'zhi 哀又继之
'ai'yue'bu'neng'ru'ye 哀乐不能入也
'ai'yue'bu'yi'shi'hu'qian 哀乐不易施乎前
'ai'yue'zhi'lai 哀乐之来
'ai'zhi'mo'ye 哀之末也
'ai'zhi'suo'yi'cheng 爱之所以成
'ai'zhi'ze'qin 爱之则亲
'an'cang'ren'xin 安藏人心
'an'de'er'zhi'yan 安得而至焉
'an'hua'an'bu'hua 安化安不化
'an'jian 案剑
'an'ke'jie 安可解
'an'ke'jiu'chang'ye 安可久长也
'an'neng'hua'ren 安能化人
'an'neng'zhi'ren 安能治人
'an'pai'er'qu'hua 安排而去化
'an'qi'ju 安其居
'an'qu'dao'zai 安取道哉
'an'qu'ren'yi 安取仁义
'an'shi'er'chu'shun 安时而处顺
'an'suo'kun'ku'zai 安所困苦哉
'an'wang'er'bu'ai'zai 安往而不爱哉
'an'wei'xiang'yi 安危相易
'an'yong'li'yue 安用礼乐
'an'yu'zhi'xiang'mi 安与之相靡
'an'zhi'fu'zi'zhi'you'ruo'shi'ye 安知夫子之犹若是也
'an'zhi'wo'bu'zhi'yu'zhi'le 安知我不知鱼之乐
'an'zhi'wu'xia 案之无下
'an'zhi'yi'wu'xia 案之亦无下
'an'zhi'yu'zhi'le 安知鱼之乐
'ao'xiang'peng'hao'zhi'jian 翱翔蓬蒿之间
'ao'zhong'shen'zhi'chou 骜终身之丑
'ba'bing'xiu'zu 罢兵休卒
'ba'chu'gong'zhong'zhi'shu'er'wu'a'si 拔出公忠之属而无阿私
'ba'ju'er'bu'shi'qi'neng 拔举而不失其能
'ba'nian'er'bu'zhi'si 八年而不知死
'ba'nian'qi'han 八年七旱
'ba'qian'sui'wei'qiu 八千岁为秋
'ba'qiao'zhe'luan'sheng 八窍者卵生
'bai'bo'ruo'shan 白波若山
'bai'bu'yi'yin 百步一饮
'bai'cai'jie'du 百材皆度
