'bing'an'ke 病案科
'bing'li'ke 病理科
'chan'ke 产科
'chao'sheng'ke 超声科
'che'liang'guan'li'ke 车辆管理科
'chuang'shang'ke 创伤科
'dang'an'ke 档案科
'dang'wei'men'zhen'bu 党委门诊部
'dong'li'yun'ying'guan'li'ke 动力运营管理科
'er'bi'hou'ke 耳鼻喉科
'fang'liao'ke 放疗科
'fang'she'jie'ru'zhen'liao'ke 放射介入诊疗科
'fu'bu'chuang'shang'wai'ke 腹部创伤外科
'fu'chan'ke 妇产科
'fu'ke 妇科
'gan'bu'bao'jian'zhong'xin 干部保健中心
'gan'dan'xue'guan'wai'ke 肝胆血管外科
'gang'chang'wai'ke 肛肠外科
'gao'xue'ya'zhen'liao'yan'jiu'zhong'xin 高血压诊疗研究中心
'gao'ya'yang'ke 高压氧科
'gu'ke'zhong'xin 骨科中心
'hu'li'bu 护理部
'hu'xi'nei'ke 呼吸内科
'ji'chu'yi'xue'jiao'yu'ke 基础医学教育科
'ji'jiu'zhong'xin 急救中心
'ji'xu'jiao'yu'ke 继续教育科
'jia'zhuang'xian'ke 甲状腺科
'jian'cha'shen'ji'bu 检查审计部
'kang'fu'ke 康复科
'ke'jiao'ke 科教科
'ke'yan'jiao'yu'zhong'xin 科研教育中心
'ke'yan'ke 科研科
'kou'qiang'wai'ke 口腔外科
'lin'chuang'xin'li'ke 临床心理科
'lin'chuang'yao'xue'yan'jiu'suo 临床药学研究所
'lin'chuang'yi'xue'yan'jiu'zhong'xin 临床医学研究中心
'lin'chuang'ying'yang'yan'jiu'suo 临床营养研究所
'lun'zhuan'sheng 轮转生
'ma'zui'ke 麻醉科
'men'zhen'bu 门诊部
'men'zhen'shou'fei'ke 门诊收费科
'mi'niao'zhong'xin 泌尿中心
'mi'shu'ke 秘书科
'nei'fen'mi'ke 内分泌科
'nei'ke'ke'shi 内科科室
'pi'fu'xing'bing'ke 皮肤性病科
'quan'ke'yi'liao'ke 全科医疗科
'ru'xian'ke 乳腺科
'shan'shi'ying'yang'ke 膳食营养科
'shao'shang'ke 烧伤科
'she'gong'ke 社工科
'shen'bing'ke 肾病科
'shen'ji'ke 审计科
'shen'jing'nei'ke 神经内科
'shen'jing'wai'ke 神经外科
'sheng'huo'fu'wu'ke 生活服务科
'shu'xue'ke 输血科
'teng'tong'ke 疼痛科
'wai'ke'ke'shi 外科科室
'wai'shi'jie'dai'ke 外事接待科
'wang'luo'ruo'dian'guan'li'ke 网络弱电管理科
'wei'chang'wai'ke 胃肠外科
'wu'jia'guan'li'ke 物价管理科
'xiao'er'wai'ke 小儿外科
'xiao'hua'ke 消化科
'xin'dian'xue'ke 心电学科
'xin'fang'ke 信访科
'xin'sheng'er'ke 新生儿科
'xin'wai'ke 心外科
'xin'xi'xi'tong'guan'li'ke 信息系统管理科
'xin'xue'guan'nei'ke 心血管内科
'xing'zheng'ke'shi 行政科室
'xiong'wai'ke 胸外科
'yan'ke 眼科
'yao'pin'cai'gou'gong'ying'ke 药品采购供应科
'yao'xue'bu 药学部
'yi'bao'ke 医保科
'yi'liao'xin'xi'tong'ji'ke 医疗信息统计科
'yi'liao'zhi'liang'kong'zhi'ke 医疗质量控制科
'yi'wu'bu 医务部
'yi'xian'wai'ke 胰腺外科
'yi'yuan'ban'gong'shi 医院办公室
'yi'zheng'ke 医政科
'yu'fang'bao'jian'ke 预防保健科
'yuan'gan'ke 院感科
'zhao'biao'guan'li'ban'gong'shi 招标管理办公室
'zheng'xing'wai'ke 整形外科
'zhong'liu'ke 肿瘤科
'zhong'zheng'yi'xue'ke 重症医学科
'zhuan'ke'yi'shi'pei'xun'ji'di 专科医师培训基地
'zi'chan'guan'li'ke 资产管理科
'zong'he'guan'li'ke 综合管理科
