'ai'dao'dan'de'huan'ling'shi 爱捣蛋的唤灵师
'an'mo'nv'jiang 暗魔女将
'bai'hei'shuang'yi 白黑双翼
'bai'long'jiang'lin 白龙降临
'bai'yin'jiang'jun 白银将军
'bei'feng'yin'de'shuang'zi 被封印的双子
'bei'ka'sa'si 贝卡萨斯
'bei'shui'yi'zhan'de'qi'shi 背水一战的骑士
'bu'mie'de'yuan'nian 不灭的怨念
'cao'ou'shi 操偶师
'chi'mao'chui'de'seng'lv 持矛锤的僧侣
'chi're'tu'xi 炽热吐息
'chong'gao'de'jiao'yi 崇高的教义
'chong'zhuang'qi'shi 重装骑士
'ci'yuan'duan 次元断
'e'mo'bao'feng 恶魔暴风
'e'mo'yan'shu'shi 恶魔炎术师
'e'mo'zhui'lie'zhe 恶魔追猎者
'er'chong'lian'cheng'shu 二重炼成术
'fei'hong'jing'hua 绯红净化
'feng'kuang'de'chu'xing'ren 疯狂的处刑人
'fu'huo'de'wu'wang 复活的巫王
'fu'lei 芙蕾
'fu'xiu'de'hai'gu'bing 腐朽的骸骨兵
'gang'tie'quan'dou'shi 钢铁拳斗士
'gao'jie'mu'shi 高阶牧师
'ge'bu'lin 哥布林
'ge'li'ya 歌利亚
'hei'an'jing'ling 黑暗精灵
'hei'tie'shi'bing 黑铁士兵
'hua'li'de'hua'yuan'jian'shi 华丽的花园剑士
'huan'gu'ren 唤骨人
'huang'jia'yu'yong'zhan'qi 皇家御用战旗
'huo'yan'fen'sui'shu 火炎粉碎术
'ji'feng'nu'tao 疾风怒涛
'ji'feng'pen'she 疾风喷射
'ji'ou'qi'shi 机偶骑士
'ji'xie'nv'pu 机械女仆
'jian'dou'shi 剑斗士
'jian'xi'huan'ling'shi 见习唤灵师
'jie'xi'de'chuang'zao'wu 解析的创造物
'jie'xi'jiang 解析酱
'jin'shu'jing'ling'fa'shi 金属精灵法师
'jing'ling'qu'zhu'zhe 精灵驱逐者
'jing'ling'shou'wei 精灵守卫
'ju'lang 巨狼
'ju'xiang'lian'cheng'shu 巨像炼成术
'kai'xuan'de'qi'shi 凯旋的骑士
'kong'ju'long'shou 恐惧龙兽
'kui'lei 傀儡
'lai'zi'shen'yuan'de'you'huo 来自深渊的诱惑
'lan'qiu 蓝球
'lei'guang'she'shou 雷光射手
'li'zhua'de'yi'ji 利爪的一击
'lie'yan 烈焰
'liu'lang'de'yong'bing 流浪的佣兵
'liu'li 琉璃
'long'qi 龙启
'long'qi'bing 龙骑兵
'long'qi'shi'shou'hu'zhe 龙骑士守护者
'long'zhi'nu 龙之怒
'long'zhi'qi'shi 龙之启示
'long'zu'yong'shi 龙族勇士
'mei'gui'hua'yuan'shou'hu'zhe 玫瑰花园守护者
'mei'huo'de'an'ye'juan'shu 魅惑的暗夜眷属
'meng'mo 梦魔
'ming'jie'xian'ji'zhe 冥界献祭者
'ming'yun'zhi'quan 命运之泉
'mo'dao'fei'dan 魔导飞弹
'mo'gang'kui'lei 魔钢傀儡
'mo'tie'kuang'shi 魔铁狂狮
'mo'yan'hui'mie'zhe 魔炎毁灭者
'ni'chen'ju'xiang 泥尘巨像
'nie'ke'si 涅克丝
'nv'ren'zhe'xue'tu 女忍者学徒
'po'xie'sheng'guang 破邪圣光
'qi'hei'fa'dian 漆黑法典
'qi'shi 骑士
'ren'ou'shi'de'xian 人偶师的线
'ren'zhe'da'shi 忍者大师
'rui'zhi'zhi'hui'guan 睿智指挥官
'sa'mi 萨米
'sen'lin'de'fan'pu 森林的反扑
'she'shen'nv'ji'si 蛇神女祭司
'shen'yuan'ju'shou 深渊巨兽
'sheng'shou'zhi'shi 圣兽之誓
'sheng'yan'meng'hu 圣炎猛虎
'sheng'yi'de'bai'long 圣翼的白龙
'shi'fu'long 尸腐龙
'shi'hun'zhan'shi 尸魂战士
'shu'jing 树精
'shuang'sheng'zhi'yan 双生之炎
'shui'zhi'yao'jing 水之妖精
'tian'nv'jian'shi 天女剑士
'tie'jia'qi'shi 铁甲骑士
'wan'ju'shi'bing 玩具士兵
'wei'da'de'nv'xiu'shi 伟大的女修士
'wei'da'de'yao'ji'shi 伟大的药剂师
'wu'yao 巫妖
'wu'zhuang'qiang'hua 武装强化
'xin'xing'mo'shu'shi 新星魔术师
'xuan'lan 绚烂
'xuan'lan'de'chuang'zao'wu 绚烂的创造物
'xuan'si'kui'lei 悬丝傀儡
'xue'ji'qin'lue'zhe 血祭侵略者
'xue'ren 雪人
'xue'ren'zhao'huan'shu 雪人召唤术
'xue'zhi'qi'yue 血之契约
'xun'jie'de'jian'shi 迅捷的剑士
'yao'jing 妖精
'yao'jing'yu'sen'lin'shi'zhe 妖精语森林使者
'you'ling 幽灵
'you'ling'qi'shi 幽灵骑士
'yuan'gu'fei'long 远古飞龙
'yuan'ling 怨灵
'zai'huo'zhi'long 灾祸之龙
'zhao'huan'tian'ma 召唤天马
'zhi'hui'zhi'guang 智慧之光
'zhuo're'feng'bao 灼热风暴
