'a'duo'nuo 阿多诺
'a'er'du'sai 阿尔都塞
'an'nian'ke'fu 安年柯夫
'ba'ku'ning 巴枯宁
'bao'wei'er 鲍威尔
'bi'ran'wang'guo 必然王国
'bi'ran'xing 必然性
'bian'zheng'fou'ding'guan 辩证否定观
'bian'zheng'wei'wu'zhu'yi 辩证唯物主义
'bo'en'shi'tan 伯恩施坦
'bu'ha'lin 布哈林
'bu'ke'zhi'lun 不可知论
'bu'luo'he 布洛赫
'de'li'da 德里达
'di'de'luo 狄德罗
'dou'zheng'xing 斗争性
'du'lin 杜林
'dui'kang'xing'mao'dun 对抗性矛盾
'dui'li'tong'yi 对立统一
'fa'zhan'zhe'xue 发展哲学
'fa'zhe'xue 法哲学
'fan'ying'lun 反映论
'fei'er'ba'ha 费尔巴哈
'fu'li'ye 傅立叶
'gan'xing'ren'shi 感性认识
'ge'lan'xi 葛兰西
'ge'ming'xing 革命性
'gong'xiang 共相
'guan'nian'shang'ceng'jian'zhu 观念上层建筑
'ha'bei'ma'si 哈贝马斯
'he'fa'xing 合法性
'he'li'nei'he 合理内核
'he'li'xing 合理性
'hei'ge'er 黑格尔
'huo'ke'hai'mo 霍克海默
'ji'ben'mao'dun 基本矛盾
'ji'ben'nei'he 基本内核
'ji'ben'wen'ti 基本问题
'ji'bian'lun 激变论
'jie'ji'dou'zheng 阶级斗争
'jie'ji'fen'xi'fa 阶级分析法
'jie'ji'jie'gou 阶级结构
'jie'ji'xing 阶级性
'jie'ji'yi'shi 阶级意识
'jing'ji'dou'zheng 经济斗争
'jing'ji'fan'chou 经济范畴
'jing'ji'ji'chu 经济基础
'jing'ji'zhe'xue 经济哲学
'jing'yan'lun 经验论
'jing'yan'zhu'yi 经验主义
'jing'yuan'zhe'xue 经院哲学
'jue'dui'zhen'li 绝对真理
'jun'heng'lun 均衡论
'kao'ci'ji 考茨基
'ke'er'shi 科尔施
'ke'guan'shi'zai'xing 客观实在性
'ke'neng'xing 可能性
'ke'xi'ke 科西克
