'an'ji'shu'fen'bu 按极数分布
'an'za 安匝
'an'za'shu 安匝数
'bai'fen'shu 百分数
'bang'za'dai 绑扎带
'bao'chi'li'ju 保持力距
'bao'he'qu'xian 饱和曲线
'bao'he'xiao'ying 饱和效应
'bao'hu'duan'lu'qi 保护断路器
'bao'hu'qi 保护器
'bao'hu'qi'zhuang'pei 保护器装配
'bao'hu'qi'zu'jian 保护器组件
'bao'hu'zhou'cheng 保护轴承
'bao'zhen'du 保真度
'bi'lei 避雷
'bi'shi'feng'leng 闭式风冷
'bian'bi 变比
'bian'bi'za'bi 变比匝比
'bian'dian'zhan 变电站
'bian'fang 扁方
'bian'liu'qi 变流器
'bian'pin'qi 变频器
'bian'shu 边数
'bian'si 扁丝
'bian'ya'qi 变压器
'bian'zu'qi 变阻器
'biao'me'zhi 标么值
'biao'mian'cui'huo 表面淬火
'biao'mian'tu'fu 表面涂覆
'biao'qian 标签
'biao'qian'ming'pai 标签铭牌
'biao'zhun'zhou'tu 标准轴图
'bing'li 并励
'bing'li'ci'chang 并励磁场
'bing'li'dian'dong'ji 并励电动机
'bing'li'rao'zu 并励绕组
'bing'li'zhi'liu'dian'ji 并励直流电机
'bing'lian'dian'rong'qi 并联电容器
'bing'lian'zhi'lu'shu 并联支路数
'bing'lie'de 并列的
'bing'rao'gen'shu 并绕根数
'bo'dao 波导
'bo'wen'dian'quan 波纹垫圈
'bo'xing'tan'huang'dian'quan 波形弹簧垫圈
'bu'chang 补偿
'bu'chang'du 补偿度
'bu'fu'he'yao'qiu 不符合要求
'bu'gan'jiao'biao'qian 不干胶标签
'bu'gan'jiao'ming'pai 不干胶铭牌
'bu'jin'dian'dong'ji 步进电动机
'bu'jin'dian'ji 步进电机
'bu'ju'jiao'jing'du 步距角精度
'cai'liao'xiao'hao 材料消耗
'can'kao'zhi 参考值
'can'shu'ji'suan 参数计算
'cao'jue'yuan 槽绝缘
'cao'jue'yuan'hou'du 槽绝缘厚度
'cao'jue'yuan'zhi 槽绝缘纸
'cao'man'lv 槽满率
'cao'mian'ji 槽面积
'cao'qie'hou'du 槽锲厚度
'cao'xie 槽楔
'cao'zhi'hou'du 槽纸厚度
'ce'gong'qi'shi'yan 测功器试验
'ce'shi'cheng'xu 测试程序
'ceng'jian'jue'yuan'hou'du 层间绝缘厚度
'cha'gong'duan'zi 叉公端子
'cha'kong 插孔
'cha'sai 插塞
'chang'luo'ding 长螺钉
'chang'xiao'ying'guan 场效应管
'chao'ci'zhi'shen'suo 超磁致伸缩
'che'jia'gong'duan'gai 车加工端盖
'che'jia'gong'jing'che 车加工精车
'chen'dian 衬垫
'chi'bu 齿部
'chi'lun 齿轮
'chi'lun'dian'ji 齿轮电机
'chong'pian 冲片
'chou'tou'za'bi 抽头匝比
'chu'dian 触点
'chu'kou'bao'zhuang'xiang'she'zhi 出口包装箱设置
'chu'kou'chen'dian 出口衬垫
'chu'kou'ge'li'wu 出口隔离物
'chu'kou'huo'pan 出口货盘
'chu'kou'huo'pan'zhi'dao 出口货盘指导
'chu'kou'pan 出口盘
'chu'xiang'jiao 初相角
'chu'zhou 出轴
'chuan'dao'chuan'bo 传导传播
'chuan'di'han'shu 传递函数
'chuan'ji 串激
'chuan'ji'dian'ji 串激电机
'chuan'li 串励
'chuan'li'dian'dong'ji 串励电动机
'chuan'li'rao'zu 串励绕组
'chuan'li'zhi'liu'dian'ji 串励直流电机
'chuan'tou'cui'huo 穿透淬火
'chuang'ye'da'sha 创业大厦
'chui'zhi'du 垂直度
'ci'chang 磁场
'ci'chang'ding'xiang'kong'zhi 磁场定向控制
'ci'chang'rao'zu 磁场绕组
'ci'chang'rao'zu'li'ci'rao'zu 磁场绕组励磁绕组
'ci'chang'yuan'du 磁场圆度
'ci'fang'da'qi 磁放大器
'ci'gang 磁钢
'ci'hua'dian'kang 磁化电抗
'ci'hua'qu'xian 磁化曲线
'ci'lian 磁链
'ci'lu 磁路
'ci'mi 磁密
'ci'min 磁敏
'ci'neng'ji 磁能积
'ci'shi 磁势
'ci'tong 磁通
'ci'zhang 磁障
'ci'zhi 磁滞
'ci'zu 磁阻
'ci'zu'shi 磁阻式
'cu'cao'du 粗糙度
'da'jin 打筋
'dai'cao'dai'ping'dian'luo'ding 带槽带平垫螺钉
'dai'cao'dai'suo'jin'dian'luo'ding 带槽带锁紧垫螺钉
'dai'kuan 带宽
'dai'liu'jiao'dian'quan'luo'ding 带六角垫圈螺钉
'dai'lun 带轮
'dan'bian 单边
'dan'du'bao'zhuang 单独包装
'dan'fang'xiang'xing'dian'liu 单方向性电流
'dan'ge're'bao'hu'qi 单个热保护器
'dan'ji'wu'qiong'da'xi'tong 单机无穷大系统
'dan'xiang'gan'ying'dian'dong'ji 单相感应电动机
'dan'xiang'yi'bu 单相异步
'dang'quan 挡圈
'dang'wei 档位
'dao'na 导纳
'dao'pian'zhuang'pei 刀片装配
'dao'shu 倒数
'dao'ti 导体
'dao'ti'cai'liao 导体材料
'dao'ti'jia'ge 导体价格
'dao'ti'mi'du 导体密度
'dao'tiao'dian'liu 导条电流
'dao'tiao'dian'mi 导条电密
'dao'tiao'dian'zu'lv 导条电阻率
'dao'tiao'duan'bu'chang'du 导条端部长度
'dao'xiang'bei'xing'dian'quan 导向杯型垫圈
'dao'zha 刀闸
'deng'zhi'dian'lu 等值电路
'di'ka'er'zuo'biao'xi 笛卡儿坐标系
'di'qi 滴漆
'di'ya 低压
'di'yi'lei'rao'zu 第一类绕组
'di'zuo 底座
'dian'chang 电厂
'dian'ci'she'ji'ji'suan'dan 电磁设计计算单
'dian'ci'tie 电磁铁
'dian'ci'zhuan'ju 电磁转矩
'dian'dao 电导
'dian'dong'ji 电动机
'dian'dong'ji'qu'dong 电动机驱动
'dian'dong'shi 电动势
'dian'du'dang'ban 电镀挡板
'dian'gan 电感
'dian'ji 电机
'dian'ji'bao'zhuang'duan'mao 电机包装端帽
'dian'ji'bu'zhuang 电机部装
'dian'ji'dian'han'tiao 电极电焊条
'dian'ji'e'ding'shu'ju 电机额定数据
'dian'ji'ji'ben'shu'ju 电机基本数据
'dian'ji'ji'shu 电机极数
'dian'ji'lei'xing 电机类型
'dian'ji'she'ji 电机设计
'dian'ji'wai'xing'tu 电机外形图
'dian'ji'xing'hao 电机型号
'dian'ji'you 电机油
'dian'ji'zhuan'su 电机转速
'dian'ji'zhuang'pei'tu 电机装配图
'dian'jie'zhi 电介质
'dian'kang 电抗
'dian'kang'qi 电抗器
'dian'lan 电缆
'dian'li'ci'xian'quan 电励磁线圈
'dian'li'xi'tong 电力系统
'dian'liu 电流
'dian'liu'mi'du 电流密度
'dian'lu'can'shu 电路参数
'dian'lu'tu 电路图
'dian'lu'yuan'jian 电路元件
'dian'na 电纳
'dian'neng 电能
'dian'neng'zhuan'huan'qi 电能转换器
'dian'qi'she'bei 电气设备
'dian'qi'shuo'ming 电气说明
'dian're'qi 电热器
'dian'rong 电容
'dian'rong'duan'dian'ya 电容端电压
'dian'rong'fang'hu 电容防护
'dian'rong'jia 电容夹
'dian'rong'qi 电容器
'dian'rong'qi'dong 电容起动
'dian'rong'sun'hao 电容损耗
'dian'rong'xiao'ying 电容效应
'dian'rong'yun'zhuan 电容运转
'dian'rong'zhao 电容罩
'dian'rong'zhao'chen'dian 电容罩衬垫
'dian'shi'xi'shu 电势系数
