'an'hei'jian 暗黑剑
'an'hei'tou'kui 暗黑头盔
'bai'long'miao 白龙瞄
'bao'shi'niao 暴食鸟
'bao'shi'niao'gai 暴食鸟改
'bei'bei'duo 背背多
'bei'bei'duo'gai 背背多改
'bei'bei'zi 贝贝子
'bei'bei'zi'gai 贝贝子改
'beng'dai'zhu'ren 绷带助人
'beng'dai'zhu'ren'gai 绷带助人改
'bi'bu'qi'di 比布汽笛
'bi'bu'qi'di'gai 比布汽笛改
'bi'li'tu 哔哩兔
'bi'li'tu'gai 哔哩兔改
'bo'bo'luo'li 波波洛利
'bo'bo'luo'li'gai 波波洛利改
'bo'sai'dong'zhi'chui 波塞冬之锤
'bo'yo'peng 波哟嘭
'bo'yo'peng'gai 波哟嘭改
'bu'qiang 步枪
'bu'shou'pa 布手帕
'bu'yao'dai 布腰带
'bu'yu'cha 捕鱼叉
'bu'zhi'dan'zi 布制掸子
'cai'dao 菜刀
'cao'ni'ma'qi'shi 草泥马骑士
'cao'ni'ma'qi'shi'gai 草泥马骑士改
'cha'zi 叉子
'chang'cai'dao 长菜刀
'chang'gan 长杆
'chang'jian 长剑
'chang'qiang 长枪
'chang'xue 长靴
'chao'hou'tu'jian 超厚图鉴
'cheng'chuan'zhi'ling 乘船之铃
'chi're'mo'ren 炽热魔人
'chi're'mo'ren'gai 炽热魔人改
'chu'hang'zhi'zhang 出航之杖
'chu'xue'zhe'gong 初学者弓
'chuan'shuo'kai'jia 传说铠甲
'chuan'shuo'xiao'dao 传说小刀
'chuan'shuo'zhi'dou 传说之兜
'chuan'shuo'zhi'dun 传说之盾
'chuan'shuo'zhi'fu 传说之斧
'chuan'shuo'zhi'gong 传说之弓
'chuan'shuo'zhi'huan 传说指环
'chuan'shuo'zhi'jian 传说之剑
'chuan'shuo'zhi'qiang 传说之枪
'chuan'shuo'zhi'qiang'huo'qiang 传说之枪火枪
'chuan'shuo'zhi'zhang 传说之杖
'chui'chui 锤锤
'da'hai'hu'fu 大海护符
'da'kou'jing'duan'qiang 大口径短枪
'da'lao'jun 大佬君
'da'lao'jun'gai 大佬君改
'da'lao'jun'ji 大佬君极
'dan'huang'shui'mu 淡黄水母
'dan'huang'shui'mu'gai 淡黄水母改
'dian'nu'nu 电弩弩
'dian'nu'nu'gai 电弩弩改
'duan'dai 缎带
'duan'jian 短剑
'dun'gou 盾钩
'duo'la'bu 朵拉卜
'duo'la'bu'gai 朵拉卜改
'duo'la'bu'ji 朵拉卜极
'duo'xun'quan 多驯犬
'duo'xun'quan'gai 多驯犬改
'e'zi'zhi'gong 鹅子之弓
'fa'dai 发带
'fa'xian'ren 发仙人
'fa'xian'ren'gai 发仙人改
'fan'she'jing 反射镜
'fen'you'tu 粉祐兔
'fen'you'tu'gai 粉祐兔改
'feng'quan'long 风拳龙
'feng'quan'long'gai 风拳龙改
'feng'quan'long'ji 风拳龙极
'fu'ke'lin'wang 福克林王
'fu'ke'lin'wang'gai 福克林王改
'gang'tie'duo'bing 钢铁舵并
'gang'tie'xue 钢铁靴
'gu'jia'feng'bao 顾家风暴
'gu'jia'feng'bao'gai 顾家风暴改
'gu'wa'si 古瓦斯
'gu'wa'si'gai 古瓦斯改
'gu'zi'chuan'zhang 骨子船长
'gu'zi'chuan'zhang'gai 骨子船长改
'gu'zi'hai'zei 骨子海贼
'gu'zi'hai'zei'gai 骨子海贼改
'gu'zi'jian'shi 骨子剑士
'gu'zi'jian'shi'gai 骨子剑士改
'gua'gua'jun 呱呱君
'gua'gua'jun'gai 呱呱君改
'gua'gua'jun'ji 呱呱君极
'gua'zhen'hua 瓜阵哗
'gua'zhui 挂坠
'guai'niao'sha'sha 怪鸟沙沙
'guai'niao'sha'sha'gai 怪鸟沙沙改
'guai'niao'sha'sha'ji 怪鸟沙沙极
'gui'nuo 龟诺
'gui'nuo'gai 龟诺改
'gui'yu'peng 鲑鱼嘭
'gui'yu'peng'gai 鲑鱼嘭改
'gun'bang 棍棒
'ha'pi'shi 哈皮狮
'ha'pi'shi'gai 哈皮狮改
'hai'zei'chen'yi 海贼衬衣
'he'tong'tai'lang 河童太郎
'he'tong'tai'lang'gai 河童太郎改
'hei'lu'lu 黑露露
'hei'lu'lu'gai 黑露露改
'hong'long'xiao'zhu 红龙小助
'hong'long'xiao'zhu'gai 红龙小助改
'hong'se'xiao'kai'luo'jun 红色小开罗君
'hou'dou'peng 厚斗篷
'hu'die'ling'dai 蝴蝶领带
'hu'e 护额
'hu'xiong'tie'jia 护胸铁甲
'hua'li'ke 哗哩可
'hua'li'ke'gai 哗哩可改
'hua'ye'guai 花椰怪
'hua'ye'guai'gai 花椰怪改
'huang'jin'qiu'bang 黄金球棒
'huo'que'li 火雀丽
'huo'que'li'gai 火雀丽改
'huo'yan'long 火焱龙
'huo'yan'long'gai 火焱龙改
'huo'yan'long'ji 火焱龙极
'ji'xing'xing'qiang 极猩猩枪
'jia'bu'long'tou'yu 加布龙头鱼
'jia'bu'long'tou'yu'gai 加布龙头鱼改
'jia'bu'long'xian'sheng 家布龙先生
'jia'bu'long'xian'sheng'gai 家布龙先生改
'jian'gu'long 肩骨龙
'jian'gu'long'gai 肩骨龙改
'jin'chui 金锤
'jin'se'chang'qiang 金色长枪
'jin'xiang'lian 金项链
'jing'ling'zhi'dun 精灵之盾
'jing'ling'zhi'zhang 精灵之杖
'jiu'jiu'shu 啾啾树
'jiu'jiu'shu'gai 啾啾树改
'ju'ji'wang'zhi'qiang 狙击王之枪
'ka'bu'lin'bei 卡布林贝
'ka'bu'lin'bei'gai 卡布林贝改
'kai'luo'ji'chang'qiang 开罗姬长枪
'kai'luo'jun 开罗君
'kai'luo'jun'gai 开罗君改
'kai'luo'ying'xiong 开罗英雄
'kai'luo'ying'xiong'gai 开罗英雄改
'kao'chuan'da'wang 烤串大王
'kao'chuan'da'wang'gai 烤串大王改
'kao'chuan'da'wang'ji 烤串大王极
'kong'bu'luo'si 恐怖螺丝
'kong'bu'luo'si'gai 恐怖螺丝改
'lai'fu'qiang 来福枪
'lan'se'xiao'kai'luo'jun 蓝色小开罗君
'li'mao 礼帽
'li'ren 利刃
'liang'feng'piao'piao 凉风飘飘
'liang'feng'piao'piao'gai 凉风飘飘改
'lie'qiang 猎枪
'liu'jiao'kong'long 六角恐龙
'liu'jiao'kong'long'gai 六角恐龙改
'long'dao 龙刀
'long'jian 龙剑
'lv'se'de'bi 绿色的笔
'ma'he'bian'fu 马赫蝙蝠
'ma'he'bian'fu'gai 马赫蝙蝠改
'mao'pi'da'yi 毛皮大衣
'mei'ta'ke 梅塔可
'mei'ta'ke'gai 梅塔可改
'mi'mi'zi 咪咪子
'mi'mi'zi'gai 咪咪子改
'mian'hua'tang'da'wang 棉花糖大王
'mian'hua'tang'da'wang'gai 棉花糖大王改
'miao'ke'cao 喵可草
'miao'ke'cao'gai 喵可草改
'miao'si'hu'chui 喵司虎锤
'mo'dao'shi'zhi'zhang 魔导师之杖
'mo'fa'bang 魔法棒
'mo'gu'yuan'ren 蘑菇原人
'mo'gu'yuan'ren'gai 蘑菇原人改
'mu'bang 木棒
'mu'chui 木锤
'mu'zhi'fu'tou 木制斧头
'mu'zhuang'er'lang 木桩二郎
'mu'zhuang'er'lang'gai 木桩二郎改
'niu'nan'nan 牛楠楠
'niu'nan'nan'gai 牛楠楠改
'ou'ba'tai'lang 欧巴太郎
'ou'ba'tai'lang'gai 欧巴太郎改
'ou'ba'tai'lang'ji 欧巴太郎极
'pan'shi'hua 磐石花
'pan'shi'hua'gai 磐石花改
'pi'bao 皮包
'pi'mao 皮帽
'pi'pi'hai 皮皮孩
'pi'pi'hai'gai 皮皮孩改
'piao'hu'hu 飘呼呼
'piao'hu'hu'gai 飘呼呼改
'ping'ban'xie 平板鞋
'po'huai'zhi'fu 破坏之斧
'qi'ji'kui'jia 奇迹盔甲
'qi'ku'xia 奇酷虾
'qi'ku'xia'gai 奇酷虾改
'qian'shui'shou 潜水兽
'qian'shui'shou'gai 潜水兽改
'qiao'fu'zhi'fu 樵夫之斧
