'ai'ci'qiong'du 哀此茕独
'ai'jue'fei 爱厥妃
'ai'ren'bu'qin'fan'qi'ren 爱人不亲反其仁
'ai'ren'zhe 爱人者
'ai'yu'bu'gong 隘与不恭
'ai'zai 哀哉
'an'ju'er'tian'xia'xi 安居而天下熄
'an'qi'wei'er'li'qi 安其危而利其
'ba'bi'you'da'guo 霸必有大国
'ba'hu'qi'cui 拔乎其萃
'ba'jia'jie'si'bai'mu 八家皆私百亩
'ba'kou'zhi'jia'ke'yi'wu'ji'yi 八口之家可以无饥矣
'bai'gong'zhi'shi 百工之事
'bai'guan'niu'yang'shi'lin'bei 百官牛羊食廪备
'bai'guan'you'si 百官有司
'bai'guan'zu'ren 百官族人
'bai'mu'zhi'tian 百亩之田
'bai'nian'er'hou'beng 百年而後崩
'bai'niao'he'he 白鸟鹤鹤
'bai'shi'bu'neng'gai'ye 百世不能改也
'bai'xing'jie'yi'wang'wei'ai'ye 百姓皆以王为爱也
'bai'xing'wen'wang'che'ma'zhi'yin 百姓闻王车马之音
'bai'xing'wen'wang'zhong'gu'zhi'sheng 百姓闻王钟鼓之声
'bai'xing'zhi'bu'jian'bao 百姓之不见保
'ban'bai'zhe'bu'fu'dai'yu'dao'lu'yi 颁白者不负戴於道路矣
'bao'hu'yun'er 薄乎云尔
'bao'jian'yu'wang 暴见於王
'bao'jun'dai'zuo 暴君代作
'bao'jun'wu'li 暴君污吏
'bao'min 保民
'bao'qi'min'shen 暴其民甚
'bao'shi'yi 饱食衣
'bao'shui 薄税
'bao'wei'you'yi'dui'ye 暴未有以对也
'bei'di'yuan 北狄怨
'bei'fang'zhi'xue'zhe 北方之学者
'bei'gong'you'si'zi'xia 北宫黝似子夏
'bei'gong'you'zhi'yang'yong'ye 北宫黝之养勇也
'bei'xue'yu'zhong'guo 北学於中国
'bi'bai'sheng'zhi'jia 必百乘之家
'bi'cong'wu'yan'yi 必从吾言矣
'bi'duo'qi'min'shi 彼夺其民时
'bi'e'gan'dang'wo'zai 彼恶敢当我哉
'bi'e'zhi'zhi 彼恶知之
'bi'er'de'qin'shou 比而得禽兽
'bi'fan'zhi 必反之
'bi'gao'fu'mu 必告父母
'bi'jing'bi'jie 必敬必戒
'bi'lai'qu'fa 必来取法
'bi'man'qi'jing'jie 必慢其经界
