'ba'huang'po'mie'yan 八荒破灭焱
'cai'lin 彩鳞
'feng'lei'nu'yan 风雷怒焱
'feng'qing'er 凤清儿
'gu'ling'leng'huo 骨灵冷火
'gu'yuan 古元
'gui'ling'di'huo 龟灵地火
'hai'bo'dong 海波东
'hai'xin'yan 海心焰
'han'feng 韩枫
'hei'qing 黑擎
'hong'lian'ye'huo 红莲业火
'hun'feng 魂风
'hun'li 魂厉
'hun'ya 魂崖
'hun'yu 魂玉
'huo'shan'shi'yan 火山石焰
'huo'yun'shui'yan 火云水焱
'jia'xing'tian 加刑天
'jin'di'fen'tian'yan 金帝焚天炎
'jing'lian'yao'huo 净莲妖火
'jiu'long'lei'gang'huo 九龙雷罡火
'jiu'you'feng'yan 九幽风炎
'jiu'you'jin'zu'huo 九幽金祖火
'lin'xiu'ya 林修崖
'lin'yan 林焱
'ling'quan 翎泉
'liu'dao'lun'hui'yan 六道轮回炎
'liu'li'lian'xin'huo 琉璃莲心火
'liu'qing 柳擎
'long'feng'yan 龙凤焱
'mo'cheng 墨承
'mu'gu 慕骨
'mu'qing'luan 慕青鸾
'na'lan'jie 纳兰桀
'na'lan'yan'ran 纳兰嫣然
'qing'lian'di'xin'huo 青莲地心火
'qing'lin 青鳞
'san'qian'lian'xin'huo 三千莲心火
'san'qian'yan'yan'huo 三千焱炎火
'sheng'ling'zhi'yan 生灵之焱
'song'qing 宋青
'tang'huo'er 唐火儿
'tang'zhen 唐震
'tuo'she'gu'di 陀舍古帝
'wan'shou'ling'huo 万兽灵火
'wu'hao 吴昊
'xiao'mei 萧媚
'xiao'xiao 萧潇
'xiao'xuan 萧玄
'xiao'yan 萧炎
'xiao'yi'xian 小医仙
'xiao'zhan 萧战
'xu'wu'tun'yan 虚无吞炎
'xuan'huang'yan 玄黄炎
'xuan'yi 玄衣
'xun'er 薰儿
'ya'fei 雅妃
'yao'chen 药尘
'yao'ming 妖暝
'you'quan 幽泉
'yun'luo'xin'yan 陨落心炎
'yun'shan 云山
'yun'yun 云韵
'zhai'xing'lao'gui 摘星老鬼
'zi'yan 紫妍
