'a'lai'ye'shi 阿赖耶识
'a'luo'han'mie'ding 阿罗汉灭定
'a'luo'han'wei'she 阿罗汉位舍
'a'pi'da'mo 阿毗达磨
'a'tuo'na'shi 阿陀那识
'ai'fei'ai'fen'bie 爱非爱分别
'an'hui 安慧
'an'le'jie'tuo'shen 安乐解脱身
'an'li'zhen'ru 安立真如
'an'lie 暗劣
'an'yin 安隐
'an'yin'zhu 安隐住
'ba'fen'bie 八分别
'ba'shi 八识
'ba'shi'gui'ju'song 八识规矩颂
'ba'shi'gui'ju'song'jiang'ji 八识规矩颂讲记
'ba'shi'xin'wang 八识心王
'ba'zhi'sheng'dao 八支圣道
'bai'bu'lun'zhu 百部论主
'bai'fa'ming'men'lun 百法明门论
'bai'fa'ming'men'lun'shu'ji 百法明门论述记
'bai'hua 白话
'ben'xing'zhu'zhong 本性住种
'ben'zhi'suo'yuan 本质所缘
'ben'zhi'xiang'fen 本质相分
'bi'bi'fen'bie'sheng 彼彼分别生
'bi'gen 鼻根
'bi'ju'xiang'wei'fen'bie 彼俱相违分别
'bi'ku 彼苦
'bi'liang 比量
'bi'nao 逼恼
'bi'shi 鼻识
'bi'yi'shi'suo'bian 彼依识所变
'bian'hua'shen 变化身
'bian'ji 遍计
'bian'ji'suo'zhi'zi'xing 遍计所执自性
'bian'ji'zhong'zhong'wu 遍计种种物
'bian'ji'zi'xing 遍计自性
'bian'xian 变现
'bian'xing 遍行
'bian'xing'xin'suo 遍行心所
'bian'xing'yin 遍行因
'bian'zheng'de'zhuan'yi 便证得转依
'bian'zhong'bian'lun 辩中边论
'bie'jing 别境
'bie'jing'shan'fan'nao 别境善烦恼
'bie'jing'xin'suo 别境心所
'bie'xiang 别相
'bing'wo'man'wo'ai 并我慢我爱
'bo're 般若
'bu'ding'wei'hui'mian 不定谓悔眠
'bu'dong'ye 不动业
'bu'er 不尔
'bu'gong 不共
'bu'gong'ju'you'yi 不共俱有依
'bu'gong'xu 不共许
'bu'ju'qi 不惧起
'bu'ke'zhi'zhi'shou 不可知执受
'bu'ling 不令
'bu'qian'xiang'ying 不遣相应
'bu'ru'shi'zhi 不如实知
'bu'shi 布施
'bu'shou'bi'ku'gu 不受彼苦故
'bu'si'yi 不思议
'bu'si'yi'shan'chang 不思议善常
'bu'te'jia'luo 补特伽罗
'bu'xin'bing'xie'dai 不信并懈怠
'bu'ying'dao'li 不应道理
'bu'ying'li 不应理
'bu'yuan 不缘
'bu'zheng'jian'xin'suo 不正见心所
'can'xin'suo 惭心所
'cang'shi 藏识
'cang'yao 藏要
'cha'bie'fen'bie 差别分别
'cha'bie'jia'li'xun'si 差别假立寻思
'cha'bie'xing 差别性
'cha'bie'you'liu'zhong 差别有六种
'cha'na'sheng'mie 刹那生灭
'chang'ru'qi'xing'gu 常如其性故
'chang'shi 长时
'chang'yuan'li'qian'xing 常远离前性
'chen'na 陈那
'chen'xin'suo 嗔心所
'chen'zhong 沉重
'cheng'lun 成论
'cheng'shi'lun 成实论
'cheng'suo'zuo'zhi 成所作智
'cheng'wei'shi'lun 成唯识论
'cheng'wei'shi'lun'shu'ji 成唯识论述记
'cheng'wei'shi'lun'shu'ji'ji'san'shu 成唯识论述记及三疏
'cheng'wei'shi'lun'shu'yao 成唯识论枢要
'cheng'wei'shi'lun'zhi'jie 成唯识论直解
'cheng'yu 乘御
'chi'jie 持戒
'chi'man'yi'e'jian 痴慢疑恶见
'chi'xin'suo 痴心所
'chi'zhong 持种
'chi'zhong'shi 持种识
'chong'zhong 崇重
'chu'a'lai'ye'shi 初阿赖耶识
'chu'bian'xing'chu'deng 初遍行触等
'chu'deng'yi'ru'shi 触等亦如是
'chu'ding 处定
'chu'ji'xiang'wu'xing 初即相无性
'chu'jing 触境
'chu'le'chang'yu'chu 处了常与触
'chu'sheng'wu'xiang'tian 除生无想天
'chu'shi'dao'wu'you 出世道无有
'chu'shi'ding'ru'meng 处时定如梦
'chu'shi'jian'zhen'shi 出世间真实
'chu'shi'jian'zhi 出世间智
'chu'xin'suo 触心所
'chu'zhu'yun'wai 除诸蕴外
'chuan'fu 船副
'chuan'xi 串习
'ci'bian'ji'suo'zhi 此遍计所执
'ci'bie'jing'wei'yu 次别境谓欲
'ci'di'er'neng'bian 次第二能变
'ci'di'san'neng'bian 次第三能变
'ci'en 慈恩
'ci'en'shu'zhu 慈恩疏主
'ci'fan 此翻
'ci'fan'wei 此翻为
'ci'hang 慈航
'ci'hang'fa'shi 慈航法师
'ci'ji'wu'lou'jie 此即无漏界
'ci'jiu 此救
'ci'jiu'bu'ran 此救不然
'ci'neng'bian'wei'san 此能变唯三
'ci'shi 慈氏
'ci'shi 此识
'ci'shi'pu'sa 慈氏菩萨
'ci'wu'zi'ran'xing 次无自然性
'ci'xin'suo'bian'xing 此心所遍行
'ci'zhong 此中
'ci'zhu'fa'sheng'yi 此诸法胜义
'cong'sui 匆遂
'cu'dong 粗动
'cu'huo 粗惑
'cu'meng 粗猛
'cu'xian 粗显
'cu'zhuan 粗转
'da'cheng'a'pi'da'mo'ji'lun 大乘阿毗达磨集论
'da'cheng'a'pi'da'mo'za'ji'lun 大乘阿毗达磨杂集论
'da'ci'en'si 大慈恩寺
'da'lun 大论
'da'mou'ni 大牟尼
'da'mou'ni'ming'fa 大牟尼名法
'da'wu'shao'fa 达无少法
'da'yuan'jing'zhi 大圆镜智
'da'zhong 大种
'dai'xiang'guan'xin 带相观心
'dai'zhi'jing 带质境
'dao'li'ji'cheng'zhen'shi 道理极成真实
'dao'sheng'di 道圣谛
'dao'zhang 刀杖
'de'sheng 得生
'de'shi 得食
'dei'zui'sheng'she 得最胜舍
'deng'chi 等持
'deng'liu 等流
'deng'liu'guo 等流果
'deng'liu'xi'qi 等流习气
'deng'liu'zhong'zi 等流种子
'deng'wu'jian'yuan 等无间缘
'deng'wu'jian'yuan'yi 等无间缘依
'deng'yan 等言
'deng'yong 等用
'di'ba'shi 第八识
'di'guan 谛观
'di'liu'shi 第六识
'di'qi'shi 第七识
'di'xian'guan 谛现观
'di'yu'yu 地狱喻
'di'yu'zhong'bu'er 地狱中不尔
'dian'dun 点顿
'diao'ju'yu'hun'shen 掉举与惛沈
'ding'wei 定唯
'ding'xin'suo 定心所
'du'ying'jing 独影境
'duan'zhang 断障
'duan'zhang'zheng'de 断障证得
'duo'shen 多身
'duo'xin'xiang'xu'yuan'qi 多心相续缘起
'duo'yi'shu'xing 多异熟性
'e'qu'kong'zhe 恶取空者
'e'you 恶友
'er'bi 而彼
'er'chong'yin'guo 二重因果
'er'cu'zhong 二粗重
'er'di 二谛
'er'gen 耳根
'er'ju'yuan'li 二俱远离
'er'kong'suo'xian 二空所显
'er'kong'suo'xian'zhen'ru 二空所显真如
'er'ku 二苦
'er'neng'bian 二能变
'er'qu 二取
'er'qu'mie 二取灭
'er'qu'sui'mian 二取随眠
'er'qu'xi'qi 二取习气
'er'qu'xi'qi'ju 二取习气俱
'er'qu'xiang 二取相
'er'qu'zhong 二取种
'er'shi 耳识
