'bao'zhe'hong'tou'jin'de'nai'nai 包着红头巾的奶奶
'bing'jie'wei'lian'li'de'lang'man'qing'huai 并结为连理的浪漫情怀
'bu'gu'zeng'zu'fu 不顾曾祖父
'chang'chang'rang'wo'zai'guan'ta'shi'yi'ru'chi'ru'zui 常常让我在观她时亦如痴如醉
'chuan'zhe'bai'se'qun'ju 穿着白色裙裾
'cong'ci'bian'guo'qi'jian'pu'de'ri'zi 从此便过起俭朴的日子
'cong'ci'zhu'zai'yi'zhuang'da'fang'zi'li 从此住在一幢大房子里
'dan'shi 但是
'di'er'tian'zao'shang'xing'lai'ceng'li'bu'jian'nai'nai 第二天早上醒来层里不见奶奶
'er'shi'shuo'gei'na'ge'yi'sui'sui'yue'yuan'qu'de'ren 而是说给那个已随岁月远去的人
'guang'jing'bu'chang 光景不长
'hua'zuo'yi'ge'xiao'hong'dian 化作一个小红点
'ji'fen'qi'wan'di'ge'zai'na'li 几分凄婉地搁在那里
'ji'fen'you'mei 几分优美
'jia'li'ren'dou'mei'qu'jing'dong'ta 家里人都没去惊动她
'jian'yi'hang'jiao'yin'gu'ling'ling'de'shen'xiang'xue'ye 见一行脚印孤零零地伸向雪野
'ju'you'shuang'chong'huai'chu'shen'de'fu'qin 具有双重坏出身的父亲
'kai'men'hou 开门后
'ming'zao'ke'yi'shui'ge'lan'jiao'le 明早可以睡个懒觉了
'nai'nai'de'fang'chan'bei'zheng'fu'mo'shou 奶奶的房产被政府没收
'nai'nai'he'fu'qin'kai'shi'le'liu'lang'sheng'ya 奶奶和父亲开始了流浪生涯
'nai'nai'lin'qu'qian'de'na'ge'dong'tian 奶奶临去前的那个冬天
'nai'nai'shi'yi'bu'ji'fu'chuan'qi'de'da'shu 奶奶是一部极富传奇的大书
'nai'nai'yi'sheng'dui'xue'ru'chi'ru'zui 奶奶一生对雪如痴如醉
'pian'pian'mai'jin'nv'zi'shi'fan'xue'xiao'shi'de'feng'zi 翩翩迈进女子师范学校时的风姿
'qian'xin'pei'yu'zhe'fu'qin 潜心培育着父亲
'ren'ruan'rong'rong'de'yi'chuan'xiao'xiao'jiao'wo 任软茸茸的一串小小脚窝
'shen'zhi'lian'ta'ta'guo'de'xue'di'ye'bu'qu'da'rao 甚至连她踏过的雪地也不去打扰
'shi'qu'le'ye'ye'de'nai'nai 失去了爷爷的奶奶
'ta'ban'jin'ping'min'qu 她搬进平民区
'wang'zhe'e'mao'xue'pian 望着鹅毛雪片
'wo'ceng'bai'qu'liu'shui'shi'de'xiang'xiang 我曾白去流水似的想象
'wo'shen'zhi'da'dan'de'jia'she 我甚至大胆地假设
'wo'xiang'xin'zhe'hua'bu'shi'dui'wo'men'shuo'de 我相信这话不是对我们说的
'wu'sheng'wu'xi'di'zhu'li'zhe 无声无息地伫立着
'xia'le'yi'chang'ji'shi'nian'bu'yu'de'da'xue 下了一场几十年不遇的大雪
'xia'xue'de'na'ge'zao'shang 下雪的那个早上
'xue'shi'cong'tou'tian'bang'wan'shi'kai'shi'luo'xia'de 雪是从头天傍晚时开始落下的
'zai'jiao'yin'de'na'yi'duan 在脚印的那一端
'zai'wo'de'gan'jue'li 在我的感觉里
'zeng'zu'mu'de'fan'dui 曾祖母的反对
'zhe'bu'chuan'qi'bu'jin'zai'yu'ta'de'fei'fan'jing'li 这部传奇不仅在于她的非凡经历
'zhi'dao'jie'fang'hou 直到解放后
