'ai'bu'la'mu'si'tan'ke 艾布拉姆斯坦克
'ai'guo'zhe'dao'dan 爱国者导弹
'bao'feng'xue'tan'ke 暴风雪坦克
'bing'bao'gong'cheng'ping'tai 冰雹攻城平台
'bing'dong'zhi'sheng'ji 冰冻直升机
'bing'ying 兵营
'chang'jian'dong'li'ji'jia 长剑动力机甲
'chao'shi'kong'chuan'song 超时空传送
'chao'shi'kong'chuan'song'yi 超时空传送仪
'chao'shi'kong'jun'tuan'bing 超时空军团兵
'chao'shi'kong'kuang'che 超时空矿车
'chao'shi'kong'qi'zhong'ji 超时空起重机
'chao'shi'kong'shi'yan'chuan'song'ping'tai 超时空实验传送平台
'chuan'song'tan'kuang'che 传送探矿车
'ding'dian'pao'tai 定点炮台
'dong'li'wo'lun 动力涡轮
'dou'niu'quan'qing'xing'tan'ke 斗牛犬轻型坦克
'fa'dian'chang 发电厂
'fan'zhuan'shi 反转士
'fang'yu'zhi'hui'bu 防御指挥部
'feng'bao'zhi'zi 风暴之子
'feng'niao'zhi'yuan'ji 蜂鸟支援机
'gong'cheng'shi 工程师
'guang'leng'gong'cheng'bing 光棱攻城兵
'guang'leng'ta 光棱塔
'guang'leng'tan'ke 光棱坦克
'hai'bao'tu'ji'dui 海豹突击队
'hai'jun'chuan'wu'jian'zao'chang 海军船坞建造场
'hai'tun 海豚
'hang'kong'mu'jian 航空母舰
'he'tong'xuan'fu'tan'ke 河童悬浮坦克
'hei'gua'fu'gan'rao'ji 黑寡妇干扰机
'hei'ying'zhan'ji 黑鹰战机
'huan'ying'tan'ke 幻影坦克
'hui'su 回溯
'hun'ning'tu'qiang 混凝土墙
'huo'jian'fei'xing'bing 火箭飞行兵
'huo'kong'jie'dian 火控节点
'ji'qi'ren'kong'zhi'zhong'xin 机器人控制中心
'ji'qi'ren'tan'ke 机器人坦克
'ji'qiang'diao'bao 机枪碉堡
'jian'die 间谍
'ju'ji'shou 狙击手
'ju'neng'zhen 聚能针
'ju'pao 巨炮
'jun'quan 军犬
'jun'yi 军医
'ke'ji'zhong'xin 科技中心
'kong'jiang'bu'dui 空降部队
'kong'jiang'kong'zhi'shi 空降控制室
'kong'jun'zhi'hui'bu 空军指挥部
'kuang'shi'jing'lian'chang 矿石精炼厂
'kuang'shi'ti'chun'qi 矿石提纯器
'kuo'zhan'pao'dao 扩展跑道
'lei'da'gan'rao'qi 雷达干扰器
'lei'shen'pao'ting 雷神炮艇
'li'chang'hu'dun 力场护盾
'lie'quan'xiao'dui 猎犬小队
'lie'sha'ji'qi'ren 猎杀机器人
'lv'xing'zhe'yun'shu'ting 旅行者运输艇
'meng'jun'da'bing 盟军大兵
'meng'jun'ji'dong'jian'she'che 盟军机动建设车
'ming'wei'tan'ke 冥卫坦克
'mo'qiu'li'wei'xing'da'ji 墨丘利卫星打击
'mo'qiu'li'wei'xing'shang'hang'zhan 墨丘利卫星上航站
'mu'biao'suo'ding 目标锁定
'qi'shi'zhong'xing'tan'ke 骑士重型坦克
'qian'li'ma'yun'shu'ji 千里马运输机
'qu'zhu'jian 驱逐舰
'shan'dian'feng'bao 闪电风暴
'shen'dun'xun'hang'jian 神盾巡航舰
'shou'wei'da'bing 守卫大兵
'si'te'rui'ke'bu'bing'zhan'che 斯特瑞克步兵战车
'suo'yu'hong'zha'ji 梭鱼轰炸机
'tan'ya 谭雅
'tian'guang'fang'kong'pao 天光防空炮
'tian'huo'fang'kong'tan'ke 天火防空坦克
'tian'qi'kong'zhi'ji 天气控制机
'xi'feng'huo'pao 西风火炮
'xi'feng'ji'qi'ren 西风机器人
'xi'ge'fu'li'de 西格弗里德
'xuan'wu'ji'zhan'dou'yao'sai 玄武级战斗要塞
'ya'dian'na'pao 雅典娜炮
'yao'shi'zhan'ji 鹞式战机
'you'chuan'ji'fu 友川纪夫
'zha'men 闸门
'zhan'che'gong'chang 战车工厂
'zhan'lie'jian 战列舰
'zhan'ying'zhi'sheng'ji 战鹰直升机
'zhen'bao'bu'dui 镇暴部队
'zhen'cha'wei'xing 侦察卫星
'zhi'zheng'guan'zhuang'jia'bu'bing'che 执政官装甲步兵车
