'ben'dui'chuan'fa'ren 本对传法人
'ben'lai'fu'you'fa 本来付有法
'ben'lai'wu'yi'wu 本来无一物
'ben'lai'wu'you'zhong 本来无有种
'ben'lai'yuan'you'di 本来缘有地
'ben'xin'fei'you'fa 本心非有法
'bu'neng'jian'ru'lai 不能见如来
'bu'qu'ye'bu'li 不取也不离
'chuan'fa'jiu'mi'qing 传法救迷情
'cong'ben'wu'sheng'wu'ke'mie 从本无生无可灭
'cong'di'zhong'hua'sheng 从地种华生
'da'fa'zai'qi'zhong 达法在其中
'da'yuan'yu'xing'he 大缘与性合
'dang'jing'wu'shi'fei 当境无是非
'dang'sheng'sheng'bu'sheng 当生生不生
'dang'xin'ji'zhi'jian 当心即知见
'de'shi'bu'shuo'zhi 得时不说知
'dun'wu'hua'qing'yi 顿悟花情已
'fa'fa'ben'lai'fa 法法本来法
'fa'fei'you'wu'xiang 法非有无相
'fan'suo'you'xiang 凡所有相
'fang'bian'hu'wei'zhi 方便呼为智
'fang'shuo'jie'tuo'li 方说解脱理
'fei'fa'yi'fei'xin 非法亦非心
'fei'jin'yi'fei'gu 非今亦非古
'fei'qu'yi'fei'li 非取亦非离
'fei'xin'fei'ben'fa 非心非本法
'fei'yi'yi'fei'er 非一亦非二
'fei'yin'fei'xian'fa 非隐非显法
'fei'yu'yi'fei'zhi 非遇亦非智
'fei'zhen'yi'fei'wei 非真亦非伪
'fo'bu'jian'shen'zhi'shi'fo 佛不见身知是佛
'fu'le'yan'wu'fa 付了言无法
'ge'ge'xu'zi'wu 各各须自悟
'guo'man'pu'ti'yuan 果满菩提圆
'he'chu're'chen'ai 何处惹尘埃
'he'huai'jue'bu'jue 何怀决不决
'he'yu'yi'fa'zhong 何于一法中
'hua'di'jin'wu'sheng 华地尽无生
'hua'guo'yi'fu'er 华果亦复尔
'hua'kai'shi'jie'qi 花开世界起
'hua'yi'bu'zeng'sheng 花亦不曾生
'hua'zhong'sui'yin'di 华种虽因地
'hua'zhong'you'sheng'xing 华种有生性
'huan'chu'wu'gen'wu'shi'xing 幻出无根无实性
'huan'hua'zhi'zhong'wu'zui'fu 幻化之中无罪福
'huan'ren'xin'shi'ben'lai'wu 幻人心识本来无
'ji'ci'shen'xin'shi'huan'sheng 即此身心是幻生
'ji'mie'wei'le 寂灭为乐
'jia'jie'si'da'yi'wei'shen 假借四大以为身
'jian'shen'wu'shi'shi'fo'shen 见身无实是佛身
'jie'guo'zi'ran'cheng 结果自然成
'jie'shi'xu'wang 皆是虚妄
'jin'fu'wu'le'fa 今付悟了法
'jin'fu'yin'xian'fa 今付隐显法
'ke'shuo'bu'si'yi 可说不思议
'le'xin'ru'huan'shi'fo'huan 了心如幻是佛幻
'liao'de'shen'xin'ben'xing'kong 了得身心本性空
'liao'liao'wu'ke'de 了了无可得
'ling'de'zhen'zhen'fa 领得真真法
'mi'wu'ru'yin'xian 迷悟如隐显
'ming'an'bu'xiang'li 明暗不相离
'ming'an'yuan'bu'er 明暗元不二
'ming'jing'yi'fei'tai 明镜亦非台
'nei'wai'yun'he'qi 内外云何起
'pao'huan'tong'wu'ai 泡幻同无碍
'pu'ti'ben'wu'shu 菩提本无树
'pu'ti'guo'zi'cheng 菩提果自成
'pu'yu'xi'jie'meng 普雨悉皆萌
'qi'zhu'shan'fa'ben'shi'huan 起诸善法本是幻
'qian'jing'ruo'wu'xin'yi'wu 前境若无心亦无
'ren'de'xin'xing'shi 认得心性时
'ru'he'bu'liao'wu 如何不了悟
'ruo'jian'zhu'xiang'fei'xiang 若见诸相非相
'ruo'le'xin'fei'xin 若了心非心
'ruo'le'xu'kong'gu 若了虚空故
'ruo'neng'ru'shi'jie 若能如是解
'ruo'shi'you'zhi'bie'wu'fo 若实有知别无佛
'ruo'wu'ren'xia'zhong 若无人下种
'ruo'yi'se'jian'wo 若以色见我
'shen'cong'wu'xiang'zhong'shou'sheng 身从无相中受生
'shen'ru'ju'mo'xin'ru'feng 身如聚沫心如风
'shen'si'pu'ti'shu 身似菩提树
'sheng'mie'mie'yi 生灭灭已
'sheng'ren'shuo'zhi'jian 圣人说知见
'shi'da'zhen'ru'li 是达真如理
'shi'deng'xu'kong'fa 示等虚空法
'shi'fa'fei'xin'fa 是法非心法
'shi'jie'xin'xin'fa 始解心心法
'shi'ren'xing'xie'dao 是人行邪道
'shi'sheng'mie'fa 是生灭法
'shi'shi'qin'fu'shi 时时勤拂拭
'shou'de'zhen'shi'fa 受得真实法
'shuo'de'bu'ming'fa 说得不名法
'shuo'shi'xin'fa'shi 说是心法时
'shuo'shi'zhen'shi'ji 说是真实际
'si'ren'yu'fo'he'shu'bie 斯人与佛何殊别
'sui'liu'ren'de'xing 随流认得性
'tan'ran'bu'bu'yu'sheng'si 坦然不怖于生死
'tong'da'ben'fa'xin 通达本法心
'tong'da'shi'li'jing 通达事理竟
'tong'yu'fa'jie'xing 同于法界性
'wei'dui'qiu'ren'shuo 为对求人说
'wei'ming'yin'xian'fa 为明隐显法
'wei'shuo'jie'tuo'li 为说解脱理
'wo'jin'wu'zhen'xing 我今悟真性
'wu'ben'lai'zi'tu 吾本来兹土
'wu'chen'yi'wu'xi 无嗔亦无喜
