'a'la'bo'fu'xing'she'hui'zhu'yi 阿拉伯复兴社会主义
'ai'ji 埃及
'ai'ji'yi'se'lie'he'ping'tiao'yue 埃及以色列和平条约
'ai'qi'xun 艾奇逊
'ai'sen'hao'wei'er 艾森豪威尔
'ai'sen'hao'wei'er'zhu'yi 艾森豪威尔主义
'ai'sha'ni'ya 爱沙尼亚
'an'de'luo'bo'fu 安德罗波夫
'an'ge'la'wei'ji 安哥拉危机
'an'li'hui'chang'ren'li'shi'guo 安理会常任理事国
'ao'da'li'ya 澳大利亚
'ba'er'gan'ban'dao 巴尔干半岛
'ba'ge'da'tiao'yue'zu'zhi 巴格达条约组织
'ba'le'si'tan'wen'ti 巴勒斯坦问题
'ba'lu'ke'ji'hua 巴鲁克计划
'ba'zhu 霸主
'ban'ge'chao'ji'da'guo'de'zhong'guo 半个超级大国的中国
'ban'zhi'min'di'li'lun 半殖民地理论
'bao'chi'zhong'li 保持中立
'bao'jia'li'ya 保加利亚
'bao'wei'guo'jia'zhu'quan'he'min'zu'zi'yuan 保卫国家主权和民族资源
'bao'wei'quan 包围圈
'bei'bao'hu'guo 被保护国
'bei'da'xi'yang'gong'yue'zu'zhi 北大西洋公约组织
'bei'yue 北约
'bei'yue'zu'zhi'de'jun'shi'hua 北约组织的军事化
'bi'hu 庇护
'bi'nan 避难
'bian'jie'di'qu 边界地区
'bian'jie'tan'pan 边界谈判
'bian'jie'xian'zhuang 边界现状
'bing'dao'lei'ke'ya'wei'ke 冰岛雷克雅未克
'bo'ci'tan'hui'yi 波茨坦会议
'bo'lan 波兰
'bo'lan'te'de'xin'dong'fang'zheng'ce 勃兰特的新东方政策
'bo'lie'ri'nie'fu'zhu'yi 勃列日涅夫主义
'bo'lin'qiang 柏林墙
'bo'lin'qiang'shi'jian 柏林墙事件
'bo'lin'wei'ji 柏林危机
'bo'si'pu'lu'si'hai'xia 博斯普鲁斯海峡
'bu'an'quan'gan 不安全感
'bu'da'pei'si 布达佩斯
'bu'er'shi'wei'ke'si'xiang 布尔什维克思想
'bu'fen'jin'zhi'he'shi'yan'tiao'yue 部分禁止核试验条约
'bu'fu'dai'ren'he'tiao'jian 不附带任何条件
'bu'jie'meng'guo'jia 不结盟国家
'bu'jie'meng'yun'dong 不结盟运动
'bu'kuo'san'he'wu'qi'tiao'yue 不扩散核武器条约
'bu'lei'dun'sen'lin'ti'xi 布雷顿森林体系
'bu'lu'sai'er'tiao'yue'zu'zhi 布鲁塞尔条约组织
'bu'shi 布什
'chang'gui'wu'zhuang 常规武装
'chang'gui'wu'zhuang'li'liang'tiao'yue 常规武装力量条约
'chao'ji'da'guo 超级大国
'chao'xian'ban'dao 朝鲜半岛
'chao'xian'zhan'zheng 朝鲜战争
'chao'yue'e'zhi'zhan'lue 超越遏制战略
'cheng'xi'hai 承袭海
'cuo'shang 磋商
'da'da'ni'er'hai'xia 达达尼尔海峡
'da'gui'mo'bao'fu 大规模报复
'da'guo 大国
'da'guo'san'jiao 大国三角
'da'xi'yang'xian'zhang 大西洋宪章
'dai'gao'le'zhu'yi 戴高乐主义
'dai'wei'ying'hui'tan'mei'ai'yi 戴维营会谈美埃以
'dan'yi'ou'zhou'wen'jian 单一欧洲文件
'de'guo'de'fen'lie 德国的分裂
'de'guo'tong'yi 德国统一
'de'guo'tong'yi'de'hui'yi 德国统一的会议
'de'luo'er'bao'gao 德洛尔报告
'di'er'ci'bo'lin'wei'ji 第二次柏林危机
'di'er'ci'leng'zhan 第二次冷战
'di'er'ci'shi'jie'da'zhan 第二次世界大战
'di'er'ci'zhong'dong'zhan'zheng 第二次中东战争
'di'er'jie'duan'xian'zhi'zhan'lue'wu'qi'tan'pan 第二阶段限制战略武器谈判
'di'guo'zhu'yi 帝国主义
'di'li 地理
'di'san'ci'ke'ji'ge'ming 第三次科技革命
'di'san'ci'zhong'dong'zhan'zheng 第三次中东战争
'di'san'shi'jie 第三世界
'di'si'dian'ji'hua 第四点计划
'di'wu'ci'zhong'dong'zhan'zheng 第五次中东战争
'di'yi'ci'zhong'dong'zhan'zheng 第一次中东战争
'di'yi'jie'duan'xian'zhi'zhan'lue'wu'qi'tan'pan 第一阶段限制战略武器谈判
'di'yuan'zheng'zhi 地缘政治
'dian'bian'fu'zhan'yi 奠边府战役
'dong'jing'wan'shi'jian 东京湾事件
'dong'nan'ya'ji'ti'fang'wu'tiao'yue 东南亚集体防务条约
'dong'nan'ya'tiao'yue'zu'zhi 东南亚条约组织
'dong'ou'ge'ming'nian 东欧革命年
'dong'ou'ju'bian 东欧剧变
'du'le'si 杜勒斯
'du'lu'men'zhu'yi 杜鲁门主义
'dui'su'you'xian'tui'hui'zheng'ce 对苏有限推回政策
'dui'wu'he'qu'cheng'dan'yi'wu 对无核区承担义务
'duo'ji'jun'shi'ge'ju 多极均势格局
'duo'mi'nuo'gu'pai'li'lun 多米诺骨牌理论
'e'luo'si 俄罗斯
'e'zhi'zheng'ce 遏制政策
'er'bai'hai'li'hai'yang'quan 二百海里海洋权
'fa'guo 法国
'fa'guo'du'li'zi'zhu'de'he'zhan'lue 法国独立自主的核战略
'fa'lan'xi'di'wu'gong'he'guo 法兰西第五共和国
'fa'zhan'he'ping'you'hao'ping'deng'hu'li'chang'qi'wen'ding'de'guan'xi 发展和平友好平等互利长期稳定的关系
'fa'zhan'min'zu'jing'ji 发展民族经济
'fa'zhan'zhong'guo'jia 发展中国家
'fan'dan'dao'dao'dan 反弹道导弹
'fan'fei'zhu'yi 泛非主义
'fan'mai'jun'huo 贩卖军火
'fei'fa'shen'xun 非法审讯
'fei'gong'ye'hua 非工业化
'fei'jun'guo'zhu'yi'hua 非军国主义化
'fei'lv'bin 菲律宾
'fei'si'da'lin'hua 非斯大林化
'fei'zhou 非洲
'fen'lan 芬兰
'fu'yong'guo 附庸国
'gao'jun'sheng 高浚生
'gao'shang'tao 高尚涛
'ge'er'ba'qiao'fu 戈尔巴乔夫
'ge'luo'mi'ke 葛罗米柯
'gong'chan'dang'he'gong'ren'dang'qing'bao'ju 共产党和工人党情报局
'gong'kai'xing 公开性
'gong'min'tou'piao 公民投票
'gong'ren'de'guo'ji'guan'xi'yuan'ze 公认的国际关系原则
'gong'tong'fang'yu'tiao'yue 共同防御条约
'gong'ye'shi'dai 工业时代
'gong'zheng'he'chi'jiu'de'he'ping 公正和持久的和平
'gu'ba'dao'dan'wei'ji 古巴导弹危机
'gu'li'zhu'yi 孤立主义
'guan'mao'zong'xie'ding 关贸总协定
'guan'nian'fen'pei 观念分配
'guan'xi'zheng'chang'hua 关系正常化
'guan'yu'jian'li'du'li'guo'jia'lian'he'ti'xie'yi'yi'ding'shu 关于建立独立国家联合体协议议定书
'guan'yu'xi'bo'lin'jian'ti'de'xie'ding'ji'qi'fu'jian 关于西柏林间题的协定及其附件
'guo'fang'yu'suan 国防预算
'guo'ji'fa'zhun'ze 国际法准则
'guo'ji'guan'xi 国际关系
'guo'ji'guan'xi'zhong'zui'qi'ma'de'zhun'ze 国际关系中最起码的准则
'guo'ji'jiao'liang 国际较量
'guo'ji'jing'ji'xin'zhi'xu 国际经济新秩序
'guo'ji'shi'wu 国际事务
'guo'ji'shui'yu 国际水域
'guo'ji'ti'xi 国际体系
'guo'ji'ti'xi'jie'gou 国际体系结构
'guo'ji'xing'shi 国际形势
'guo'ji'zheng'zhi 国际政治
'guo'ji'zhi'xu 国际秩序
'guo'jia'bu'fen'da'xiao'ying'gai'yi'lv'ping'deng 国家不分大小应该一律平等
'guo'jia'he'bing 国家合并
'guo'jia'ti'xi 国家体系
'guo'jie 国界
'ha'bu'si'bao'jia'zu 哈布斯堡家族
'ha'er'si'tan'zhu'yi 哈尔斯坦主义
'hai'wan'zhan'zheng 海湾战争
'hai'yang'zi'yuan 海洋资源
'he'bian'yuan'zheng'ce 核边缘政策
'he'cai'jun'yun'dong 核裁军运动
'he'dui'kang 核对抗
'he'ji'yuan 核纪元
'he'lu'xiao'fu 赫鲁晓夫
'he'lu'xiao'fu'fang'mei'yu'mei'su'dai'wei'ying'hui'tan 赫鲁晓夫访美与美苏戴维营会谈
'he'ping'gong'chu 和平共处
'he'ping'gong'chu'li'lun 和平共处理论
'he'shi'dai 核时代
'he'shi'dai'guo'ji'zheng'zhi 核时代国际政治
'he'wei'she'li'lun 核威慑理论
'he'wu'qi 核武器
'he'zhan'lue'de'jue'dui'you'shi 核战略的绝对优势
'he'zhan'zheng'de'bian'yuan 核战争的边缘
'hu'liang'hu'rang 互谅互让
'hu'tong'you'wu 互通有无
'hua'sha'tiao'yue'zu'zhi 华沙条约组织
'huan'he 缓和
'ji'ben'quan'li 基本权利
'ji'ti'fang'yu'ji'zhi 集体防御机制
'jia'di'si 加迪斯
'jia'te'huo'fu 加特霍夫
'jian'li'zheng'chang'de'guo'jia'guan'xi 建立正常的国家关系
'jian'pu'zhai 柬埔寨
'jian'qing'zhai'wu'fu'dan 减轻债务负担
'jie'ke'si'luo'fa'ke 捷克斯洛伐克
'jin'dong 近东
'jin'gong'xing'zhan'lue'zhong'cheng'dao'dan 进攻性战略中程导弹
'jin'rong 金融
'jin'rong'ge'ming 金融革命
'jing'ji'da'xiao'tiao 经济大萧条
'jing'ji'fang'huo'qiang 经济防火墙
'jing'ji'ge'ju 经济格局
'jing'ji'hu'zhu'wei'yuan'hui 经济互助委员会
'jiu'guo'gong'chan'dang'qing'bao'ju 九国共产党情报局
'ju'liu'quan 居留权
'jun'huo'shang 军火商
'jun'kong'xie'ding 军控协定
'jun'shi 均势
'jun'shi'fen'jie'xian 军事分界线
'jun'shi'ji'di 军事基地
'jun'shi'tong'meng 军事同盟
'jun'shi'you'shi 军事优势
'ka'si'te'luo'zheng'quan 卡斯特罗政权
'ka'te'de'ren'quan'wai'jiao'ka'te'zhu'yi 卡特的人权外交卡特主义
'ka'te'zhu'yi 卡特主义
'kai'nan 凯南
'ke'ke'fei'er'de'bao'gao 科克菲尔德报告
'ke'li'mi'ya'zhan'zheng 克里米亚战争
'ke'li'mu'lin'gong 克里姆林宫
'ken'ni'di'de'duo'bian'he'li'liang'ji'hua 肯尼迪的多边核力量计划
'ken'ni'di'de'he'ping'zhan'lue 肯尼迪的和平战略
'kong'bu'huo'dong 恐怖活动
'kong'ta'duo'la'ji'tuan 孔塔多拉集团
'kuo'zhang'zhu'yi'guo'jia 扩张主义国家
'la'ding'mei'zhou 拉丁美洲
