'an'ji'qiao 安济桥
'an'ping'qiao 安平桥
'ba'lu'jun'chong'qing'ban'shi'chu'jiu'zhi 八路军重庆办事处旧址
'ba'lu'jun'zong'si'ling'bu'jiu'zhi 八路军总司令部旧址
'ba'yi'qi'yi'zhi'hui'bu'jiu'zhi 八一起义指挥部旧址
'bai'ma'si 白马寺
'ban'po'yi'zhi 半坡遗址
'bao'ding'shan'mo'ya'zao'xiang 宝顶山摩崖造象
'bao'guo'si 保国寺
'bao'sheng'si'luo'han'su'xiang 保圣寺罗汉塑像
'bao'xie'dao'shi'men'ji'qi'mo'ya'shi'ke 褒斜道石门及其摩崖石刻
'bei'hai'ji'tuan'cheng 北海及团城
'bei'jing'da'xue'hong'lou 北京大学红楼
'bei'shan'mo'ya'zao'xiang 北山摩崖造象
'bi'shu'shan'zhuang 避暑山庄
'bing'ling'si'shi'ku 炳灵寺石窟
'bo'hai'guo'shang'jing'long'quan'fu'yi'zhi 渤海国上京龙泉府遗址
'bu'da'la'gong 布达拉宫
'cang'zhou'tie'shi'zi 沧州铁狮子
'chang'zhu'si 昌珠寺
'cheng'zi'ya'yi'zhi 城子崖遗址
'chong'sheng'si'san'ta 崇圣寺三塔
'chong'xiu'hu'guo'si'gan'ying'ta'bei 重修护国寺感应塔碑
'chu'ji'nan'gu'cheng 楚纪南故城
'cuan'bao'zi'bei 爨宝子碑
'cuan'long'yan'bei 爨龙颜碑
'da'ming'gong'yi'zhi 大明宫遗址
'da'yan'ta 大雁塔
'da'zhao'si 大昭寺
'di'yi'pi'quan'guo'zhong'dian'wen'wu'bao'hu'dan'wei 第一批全国重点文物保护单位
'ding'cun'yi'zhi 丁村遗址
'ding'xian'kai'yuan'si'ta 定县开元寺塔
'dong'gou'gu'mu'qun 洞沟古墓群
'du'fu'cao'tang 杜甫草堂
'du'le'si 独乐寺
'duan'shi'yu'san'shi'qi'bu'hui'meng'bei 段氏与三十七部会盟碑
