'a'gai'gou'yan'yang 啊该狗岩养
'a'juan'zhun'jian 阿倦谆检
'ai'ji'yong'bang'si 挨疾庸帮似
'ai'jian'duan 癌肩缎
'ai'kui'ou 艾葵欧
'ai'lan'tai'ti'duo 矮缆态啼惰
'ai'wei'shao 唉微韶
'ai'zhi'wu'ji'wo 哎殖务藉握
'an'an 鞍氨
'an'an'hui 鞍氨灰
'an'bao'wan'yi 鞍曝万姨
'an'fu'di 按腹蒂
'an'kui'meng'luo'wa 胺愧盟萝挖
'an'mei'zhuo'se'ni 岸美茁涩倪
'an'suan'fen'fu 岸蒜粪拂
'an'teng'jiao'yong'liao 按腾蕉臃撩
'ang'hui'pei'jiang'jiang 盎毁沛讲姜
'ang'ku'liu'qu'zhe 盎苦流龋折
'ang'tian'kuai'sun 昂舔侩损
'ao'ao 熬翱
'ao'ao'zong'zong'mai 熬翱宗综麦
'ao'xiang'chen'liao'zhan 懊乡沉僚站
'ao'zha 奥榨
'ba'ba'ci 八捌磁
'ba'ba'yan 扒笆衍
'ba'bai 爸白
'ba'bin'jian'jian'mu'jie'jin'ren'duo'jiu'luo'duo'jiu 坝彬饯渐亩介劲壬跺救落舵舅
'ba'bin'jian'jian'mu'zhuo'zi 坝彬饯渐亩浊兹
'ba'cang'hu'nong'che 芭舱呼农掣
'ba'chuan'kuai'tan'pai 叭川块谭徘
'ba'dong'li'die'nan 跋恫狸迭男
'ba'ge'hao'hao 拔铬好耗
'ba'qiu'wu'nan'shu 跋酋无难书
'ba'wang'dao'ta'la 跋网悼獭垃
'ba'xiao'zhi'ba'zheng 疤霄智笆睁
'ba'xu'lan'zi'xia 罢旭篮渍虾
'ba'yi 吧蚁
'ba'yi'sha'sha 吧蚁沙纱
'ba'zhi'jie'bu'shao 霸止皆埠邵
'ba'zun'diao'lai'qi 笆遵钓赖七
'bai'bai'bai 柏百摆
'bai'du 佰渡
'bai'ju'li'ju'ju'zui 拜踞莉锯俱最
'bai'long 百垄
'bai'qiang'liu'he'cou 佰羌溜褐凑
'bai'suan'ren'xiao'lei 白酸妊笑垒
'ban'jian'man'zhi'tie 班件馒脂帖
'ban'lao'le 般涝勒
'ban'nu'xian'yuan'song 扮奴宪元送
'ban'ya'sang'ji'yan 扮衙嗓基厌
'bang'bang 榜膀
'bang'jiao'zao'mie 膀侥遭灭
'bang'pu 榜谱
'bang'si 梆丝
'bang'song'wu'xi'sha 镑耸晤嘻杀
'bang'ting'jun 帮厅君
'bang'yao'yao'lun 绑妖尧沦
'bao'duo'zhuan'lai'ming 曝跺专来铭
'bao'niu'chou'huang'gu 鲍扭畴惶骨
'bao'ou'gou'tan'shu'wu 苞呕购贪熟午
'bao'qian'lian'jian'an 包前练溅案
'bao'xian'jue'ning'niu'niu'xu'xu'xu 苞显撅泞牛钮絮婿绪
'bao'you'you'qing'qing'zhao'xie 鲍尤由氰情肇谐
'bao'yun'liu'long'yun 鲍耘刘龙云
'bei'gun'jia'qin'fu 倍辊假琴辐
'bei'jiao'gu'si'yao 背角鼓四摇
'bei'jie'bai'mo'ci 钡睫败魔此
'bei'qu 卑躯
'beng'gu'han'you'duan 迸沽韩酉断
'beng'quan'wu'gui'bi 泵权务闺毕
'beng'shu'jian'hai'ye'gui'wei'ping'li'zhang'ku'tan'yin 泵薯硷亥冶鬼谓坪立仗酷叹尹
'bi'bi 痹闭
'bi'bi'da 毖币答
'bi'bi'ya'ya'ya'ya'chou 毖币牙蚜崖衙筹
'bi'bi'zao'zao 敝弊噪造
'bi'bi'zao'zao'feng'zhen'zhen'zhen'zheng 敝弊噪造封臻振砧蒸
'bi'bi'zao'zao'lian'yun'yun 敝弊噪造恋韵孕
'bi'di'ya'yan'ying 毙底雅唁婴
'bi'jia'qian'kong'jian 碧嘉钱控奸
'bi'min'zong'dao'ju 敝皿宗稻驹
'bi'qiang'han 毙呛涵
'bi'wan 陛腕
'bi'xie'xi'ge 蔽胁吸疙
'bian'te'la 编特腊
