'bai'dai'shi 百代市
'bao'ke'meng'lian'meng'da'men 宝可梦联盟大门
'bao'ke'meng'ta 宝可梦塔
'bao'ke'meng'wu 宝可梦屋
'bao'ke'meng'yan'jiu'suo 宝可梦研究所
'bin'hai'shi 滨海市
'cai'hong'shi 彩虹市
'cai'you'shi 彩幽市
'chang'pan'shi 常盘市
'chang'pan'shi 常磐市
'chang'qing'sen'lin 常青森林
'chang'qing'shi 常青市
'cheng'hua'shi 橙华市
'chui'ji'shi 吹寄市
'ci'fu'lie'che 磁浮列车
'di'shu'dong'xue 地鼠洞穴
'di'xia'tong'dao 地下通道
'du'cheng'pu'bu 都城瀑布
'fan'ba'shi 帆巴市
'fei'yun'shi 飞云市
'feng'yuan 丰缘
'fu'yan'zhen 釜炎镇
'gu'chen'zhen 古辰镇
'gu'mei'zhen 古玫镇
'guan'dou 关都
'guan'dou'dian'tai 关都电台
'guan'jun'zhi'lu 冠军之路
'gui'shan'shi 桧扇市
'he'zhong 合众
'hei'jin'shi 黑金市
'hei'se'shi 黑色市
'hong'lian'dao 红莲岛
'hong'lian'yan'jiu'suo 红莲研究所
'hong'lian'zhen 红莲镇
'hua'lan'dong'ku 华蓝洞窟
'hua'lan'shi 华蓝市
'huo'ban'gong'yuan 伙伴公园
'huo'jian'dui'ji'di 火箭队基地
'huo'jian'you'xi'cheng 火箭游戏城
'ji'jing'qiao 寂静桥
'jia'yuan'shi 家缘市
'jin'huang'shi 金黄市
'jin'lun'zhen 金轮镇
'ka'na'zi'shi 卡那兹市
'kai'na'shi 凯那市
'ku'ye'shi 枯叶市
'lei'wen'shi 雷文市
'li'yong'shi 立涌市
'lian'yi'zhen 涟漪镇
'liu'li'shi 琉璃市
'long'mu'zhen 笼目镇
'lu'zi'zhen 鹿子镇
'lv'ling'shi 绿岭市
'lv'yin'zhen 绿荫镇
'mu'shui'zhen 暮水镇
'ni'bi'shi 尼比市
'qi'bao'shi 七宝市
'qian'hong'shi 浅红市
'qie'feng'shi 切锋市
'qing'hai'bo'shi 青海波市
'qiu'ye'zhen 秋叶镇
'san'yao'shi 三曜市
'shan'lu'zhen 山路镇
'shen'ao 神奥
'shen'he'zhen 神和镇
'shen'hui'ke'xue'bo'wu'guan 深灰科学博物馆
'shen'hui'shi 深灰市
'sheng'te'an'nu'hao 圣特安努号
'shi'ying'gao'yuan 石英高原
'shi'yuan'shi 湿原市
'shou'lie'di'dai 狩猎地带
'shuang'long'shi 双龙市
'shuang'ye'zhen 双叶镇
'shuang'zi'dao 双子岛
'shui'jing'shi 水静市
'shui'mai'shi 水脉市
'suan'mu'zhen 算木镇
'sui'yi'zhen 随意镇
'tang'cao'zhen 唐草镇
'wei'bai'zhen 未白镇
'wei'mu'shi 帷幕市
'wu'dou'zhen 武斗镇
'wu'ren'fa'dian'chang 无人发电厂
'xi'er'fo'gong'si 西尔佛公司
'xiao'bo'zhen 小波镇
'xue'feng'shi 雪峰市
'xue'hua'shi 雪花市
'yan'shan'sui'dao 岩山隧道
'yin'yu'shi 茵郁市
'yu'hong'bai'huo'gong'si 玉虹百货公司
'yu'hong'shi 玉虹市
'yu'hong'you'xi'cheng 玉虹游戏城
'yuan'zhi'zhen 苑之镇
'yue'jian'shan 月见山
'yue'jian'shan'guang'chang 月见山广场
'zhen'sha'zhen 真砂镇
'zhen'xin'zhen 真新镇
'zhu'qing'shi 祝庆市
'zi'jin'shi 紫堇市
'zi'xing'che'dao 自行车道
'zi'yuan'zhen 紫苑镇
