'an'bo'de'xing'zhuang'fen'lei 按波的形状分类
'an'cao'zuo'fang'shi'fen'lei 按操作方式分类
'an'tan'tou'ge'shu'fen'lei 按探头个数分类
'an'tan'tou'jie'chu'fang'shi'fen'lei 按探头接触方式分类
'an'yuan'li'fen'lei 按原理分类
'an'zhen'dong'de'chi'xu'shi'jian'fen'lei 按振动的持续时间分类
'ban'bo 板波
'ban'cai'chao'sheng'bo'jian'ce 板材超声波检测
'ban'cai'he'guan'cai'chao'sheng'bo'jian'ce 板材和管材超声波检测
'ban'cai'zhong'chang'jian'que'xian 板材中常见缺陷
'bao'ceng'jie'mian 薄层界面
'bao'ceng'jie'mian'de'fan'she'lv'he'tou'she'lv 薄层界面的反射率和透射率
'bian'yuan'sao'cha 边缘扫查
'biao'mian'bo 表面波
'biao'mian'yao'qiu 表面要求
'bo'de'die'jia 波的叠加
'bo'de'gan'she 波的干涉
'bo'de'yan'she 波的衍射
'bo'gao'bi'jiao'fa 波高比较法
'bo'shu'zhou'xian'shang'de'sheng'ya 波束轴线上的声压
'bo'xing'zhuan'huan'yu'fan'she 波形转换与反射
'bo'xing'zhuan'huan'yu'fan'she'zhe'she'ding'lv 波形转换与反射折射定律
'bo'yuan'zhou'xian'shang'sheng'ya'fen'bu 波源轴线上声压分布
'bu'chang'de'shi'ji'yi'yi 补偿的实际意义
'bu'chang'fang'fa 补偿方法
'bu'tong'jie'mian'shang'de'bo'xing'zhuan'huan 不同界面上的波形转换
'cao'zhuang'hui'bo 草状回波
'cao'zuo'ren'yuan'de'ying'xiang 操作人员的影响
'ce'bi'gan'she 侧壁干涉
'ce'chang'fa 测长发
'chang'yong'jian'ce'fang'fa 常用检测方法
'chang'yong'ou'he'ji 常用耦合剂
'chao'sheng'bo 超声波
'chao'sheng'bo'chui'zhi'ru'she 超声波垂直入射
'chao'sheng'bo'de'bo'dong'te'xing 超声波的波动特性
'chao'sheng'bo'de'chuan'bo 超声波的传播
'chao'sheng'bo'de'chuan'bo'su'du 超声波的传播速度
'chao'sheng'bo'de'fen'lei 超声波的分类
'chao'sheng'bo'de'ji'ben'gai'nian 超声波的基本概念
'chao'sheng'bo'de'ju'jiao'yu'fa'san 超声波的聚焦于发散
'chao'sheng'bo'de'shuai'jian 超声波的衰减
'chao'sheng'bo'de'te'xing 超声波的特性
'chao'sheng'bo'fa'she'sheng'chang 超声波发射声场
'chao'sheng'bo'heng'jie'mian'sheng'ya'fen'bu 超声波横截面声压分布
'chao'sheng'bo'jian'ce 超声波检测
'chao'sheng'bo'jian'ce'de'wu'li'ji'chu 超声波检测的物理基础
'chao'sheng'bo'jian'ce'fang'fa'gai'shu 超声波检测方法概述
'chao'sheng'bo'jian'ce'fang'fa'he'tong'yong'jian'ce'ji'shu 超声波检测方法和通用检测技术
'chao'sheng'bo'jian'ce'gong'yi'bian'zhi 超声波检测工艺编制
'chao'sheng'bo'jian'ce'she'bei 超声波检测设备
'chao'sheng'bo'jian'ce'she'bei'yu'qi'cai 超声波检测设备与器材
'chao'sheng'bo'jian'ce'tong'yong'gong'yi'bian'zhi 超声波检测通用工艺编制
'chao'sheng'bo'jian'ce'zhuan'yong'gong'yi'bian'zhi 超声波检测专用工艺编制
'chao'sheng'bo'qing'xie'ru'she 超声波倾斜入射
'chao'sheng'bo'tan'tou 超声波探头
'chao'sheng'chang'de'te'zheng'zhi 超声场的特征值
'chi'dao'bo 迟到波
'ci'sheng'bo 次声波
'dan'yi'ping'jie'mian 单一平界面
'dan'yi'ping'jie'mian'de'fan'she'lv'he'tou'she'lv 单一平界面的反射率和透射率
'dang'liang 当量
'dang'liang'fa 当量法
'di'bo 底波
'di'bo'gao'du'fa 底波高度法
'dian'ding'wei 点定位
'dian'zha'han'que'xian 电渣焊缺陷
'ding'liang'de'ying'xiang'yin'su 定量的影响因素
'ding'liang'xian'ling'min'du 定量线灵敏度
'ding'wei'de'ying'xiang'yin'su 定位的影响因素
'ding'yi 定义
'dong'tai'bo'xing 动态波形
'duan'jian'chao'sheng'bo'jian'ce 锻件超声波检测
'duan'jian'yu'zhu'jian'chao'sheng'bo'jian'ce 锻件与铸件超声波检测
'duan'jiao'fan'she 端角反射
'dui'han'ceng'chao'sheng'bo'jian'ce 堆焊层超声波检测
'fa'she'sheng'chang 发射声场
'fei'nie'er'qu 菲涅尔区
'fei'que'xian'hui'bo'de'pan'bie 非缺陷回拨的判别
'fen'bei 分贝
'fen'lei 分类
'fu'he'gang'ban'chao'sheng'bo'jian'ce 复合钢板超声波检测
'fu'he'gang'ban'de'chao'sheng'bo'jian'ce 复合钢板的超声波检测
'fu'he'gang'ban'de'jia'gong'ji'zhu'yao'que'xian 复合钢板的加工及主要缺陷
'fu'lang'he'fei'qu 富琅和费区
'gai'nian 概念
'gang'ban'chao'sheng'bo'jian'ce 钢板超声波检测
'ge'zi'hua'xian'sao'cha 格子划线扫查
'gen'ju'zhi'dian'de'zhen'dong'fang'xiang'fen'lei 根据质点的振动方向分类
'gong'jian'biao'mian'cu'cao'du 工件表面粗糙度
'gong'jian'biao'mian'xing'zhuang 工件表面形状
'gong'jian'de'ying'xiang 工件的影响
'gong'jian'lun'kuo'hui'bo 工件轮廓回波
'gong'jian'xing'zhuang'he'chi'cun 工件形状和尺寸
'gu'ti'jie'zhi 固体介质
'gui'ze'fan'she'ti'de'hui'bo'sheng'ya 规则反射体的回波声压
'han'jie'ji'chang'jian'que'xian 焊接及常见缺陷
'han'jie'jie'tou'chao'sheng'bo'jian'ce 焊接接头超声波检测
'heng'bo 横波
'heng'bo'fa'she'sheng'chang 横波发射声场
'heng'bo'ru'she 横波入射
'heng'xiang'que'xian 横向缺陷
'hui'geng'si'yuan'li 惠更斯原理
'ji'ben'gai'nian 基本概念
'ji'ben'yuan'li 基本原理
'ji'xie'bo'dong 机械波动
'ji'xie'zhen'dong 机械振动
'ji'xie'zhen'dong'yu'ji'xie'bo 机械振动与机械波
'ji'zhun'ling'min'du 基准灵敏度
'ji'zhun'ling'min'du'de'jiao'zhun 基准灵敏度的校准
'jia'gong'gong'yi 加工工艺
'jian'ce'fang'fa 检测方法
'jian'ce'ling'min'du'she'ding 检测灵敏度设定
'jian'ce'mian 检测面
'jian'ce'mian'di'xuan'ze 检测面的选择
'jiao'zhun 校准
'jiao'zhun'fang'shi 校准方式
'jie'chu'fa 接触法
'jie'zhi'de'xi'shou 介质的吸收
'jie'zhi'de'xi'shou'shuai'jian 介质的吸收衰减
'jie'zhi'de'xi'shou'shuai'jian'yu'pin'lv'cheng'zheng'bi 介质的吸收衰减与频率成正比
'jin'chang'qu 近场区
'jin'chang'qu'chang'du 近场区长度
'jing'tai'bo'xing 静态波形
'ju'chi'xing'sao'cha 锯齿形扫查
'ju'xing'bo'yuan 矩形波源
'ju'xing'bo'yuan'de'jin'chang'qu'chang'du 矩形波源的近场区长度
'ju'xing'bo'yuan'fu'she'de'zong'bo'sheng'chang 矩形波源辐射的纵波声场
'kuo'san'shuai'jian 扩散衰减
'lian'xu'bo 连续波
'lie'xian'sao'cha 列线扫查
'lin'zhuang'hui'bo 林状回波
'ling'min'du'de'she'ding 灵敏度的设定
'ling'min'du'she'ding 灵敏度设定
'lv'dui'jie'han'jie'jie'tou'chao'sheng'bo'jian'ce 铝对接焊接接头超声波检测
'mai'chong'bo 脉冲波
'ou'he'ceng'hou'du 耦合层厚度
'ou'he'ji 耦合剂
'ou'he'ji'fan'she'bo 耦合剂反射波
'ou'he'ji'sheng'zu'kang 耦合剂声阻抗
'ou'he'sun'hao 耦合损耗
'ou'he'sun'hao'de'ce'ding 耦合损耗的测定
'ou'he'yu'bu'chang 耦合与补偿
'ou'he'yu'shuai'jian 耦合与衰减
'pan'fei'xian'ling'min'du 判废线灵敏度
'ping'ding'xian'ling'min'du 评定线灵敏度
'ping'jie'mian 平界面
'ping'mian'bo 平面波
