'a'wa'bu'zhao'guan'ren 阿瓦布照管人
'ai'de'jia'jue'xing 艾德嘉觉醒
'ai'de'jia'ma'ke'fu'zhi'guan 艾德嘉马可夫之棺
'ao'li'wei'ya'di'xi'niang 奥莉薇亚的喜娘
'bao'bei'lang 孢背狼
'bao'shi'bin'ke 暴食宾客
'bao'zao'du'xing'ke 暴躁独行客
'bi'hu'lin'zhi 庇护林枝
'bi'hu'yu'lan 庇护育篮
'bi'zhong'yi'ji 必中一击
'bian'hua'qiao'jiang 编花巧匠
'bo'wang'cang'lu 播望苍鹭
'bu'guang'ju'xie 怖光巨蟹
'bu'jie'si'yi 不洁司仪
'bu'lang'mai'chong'luan'shou 怖狼脉崇乱兽
'bu'si'guan'jia 不死管家
'bu'xi'e'yi 不息恶意
'can'bu'yi'shi 惨怖仪式
'can'ku'jian'zheng'niao 残酷见证鸟
'cao'jie'lin'xing'yao 糙节林行妖
'chan'fu'you'hun 缠缚游魂
'chao'fan'jiu'yuan 超凡救援
'chao'xin'ji'shi 巢心祭师
'cheng'hun'jia'xun 成婚佳讯
'cheng'hun'qing'dian 成婚庆典
'cheng'xing'ye'di 成形野地
'cheng'zhang'shou'ling 成长首领
'chuan'jiao'mu'shi 传教牧师
'chuan'xin'ming'guang 穿心明光
'ci'teng'jia 刺藤甲
'ci'teng'ya'long 刺藤亚龙
'ci'xiang'xian'zu 慈祥先祖
'cun'zhuang'xian'feng 村庄先锋
'deng'fu'sheng'kong 灯浮升空
'di'kang'xiao'dui 抵抗小队
'dian'liu'huan'shi'shi 电流幻视师
'diao'cha'yuan'ri'zhi 调查员日志
'ding'ban'chuang'hu 钉板窗户
'du'xun'lin'di 毒蕈林地
'duo'luo'xia'de'bao'chang 多萝霞的报偿
'duo'luo'yi'ke 堕落刈客
'duo'nian'shi'shi'gui 夺念食尸鬼
'duo'se 多色
'e'du'qin'ke 恶毒侵客
'e'mo'jiao'yi 恶魔交易
'e'zhao'su'xiang 恶兆塑像
'en'zi'sen'dun'ji'shou 恩资森盾击手
'fa'ken'na'gui'ke 伐肯纳贵客
'fa'ken'na'xian'ren 伐肯纳先人
'fei'hong'xin'niang'ao'li'wei'ya 绯红新娘奥莉薇亚
'fei'qing'mo'ru 非请莫入
'fei'shi'jing'guai 飞逝精怪
'fen'mu'han'xi 坟墓寒息
'fen'nu'tuo'qiu'shou 愤怒脱囚兽
'feng'hua'qin'shi 风化侵蚀
'feng'shi'hai'an 风蚀海岸
'feng'zu'zhu'shou 缝组助手
'fu'chao'ju'gang'shou 腐潮巨罡兽
'fu'deng'you'hun 浮灯游魂
'fu'gu'lang 符锢狼
'fu'mi'jing'guai 缚密精怪
'fu'shi'yu'guai'tuo'xi'li 腐蚀蝓怪陀袭力
'fu'tie'jing'guai 覆铁精怪
'fu'zu'biao'ben 复组标本
'gou'shou'hai'yuan 钩手海员
'gui'mei'ni'zhuang 鬼魅拟装
'gui'wu'you'ling 鬼雾诱灵
'hai'dao 海岛
'hai'di'zeng'li 海底赠礼
'hao'dou'bin'ke 好斗宾客
'hao'ke'zu'zhou 好客诅咒
'hao'ken'shi'xiang 豪肯视像
'hao'qi'mao'xin 好奇猫心
'hao'qun'di'shou 嚎群笛手
'hao'qun'fu'chou'zhe 嚎群复仇者
'he'la'na'yu'a'lei'na'ban'lv 荷拉娜与阿雷娜伴侣
'heng'li'ka'duo'na'ti 亨莉卡多纳提
'hu'gen 护根
'hua'cu'lang'ren 花簇狼人
'huan'gen'pu'bu 幻根瀑布
'huan'qun'you'lang 唤群幼狼
'hui'guang'hua'cai 辉光华彩
'hui'guang'shu'fu 辉光束缚
'hui'huang'ri'chu 辉煌日出
'hun'li'jing'wei 婚礼警卫
'hun'li'po'huai'shou 婚礼破坏兽
'hun'li'qing'jian 婚礼请柬
'ji'dian'shi'qian 集电尸嵌
'ji'e'ci'xie 极恶刺蝎
'ji'e'ji'lang 饥饿脊狼
'ji'sheng'zhi'jue 寄生之攫
'ji'yi'xiao'dao 祭仪小刀
'jian'ci'lian'ju 尖刺链锯
'jian'ding'yi'zhi 坚定意志
'jian'ming'yao'qun 尖鸣妖群
'jian'ya'fu'li 尖牙赋礼
'jiang'zui'pan'jue 降罪判决
'jiao'qu'jing'bing'xue'yuan 教区精兵学员
'jie'wu'ju'yan 揭物巨眼
'jing'bu'lang'ren 惊怖狼人
'jing'huang'guan'ke 惊慌观客
'jing'lang'ni'yao 镜廊拟妖
'jing'sheng 净圣
'ju'jin'lao'huan 拘禁牢环
'ju'lang'pu'xi 巨狼扑袭
'ju'lun'she'shou 锯轮射手
'ju'nu'chi'shou 巨弩持兽
'ju'nu'shou'wei 巨弩守卫
'jun'lu'qi'shou 骏鹭骑手
'kai'di'da'po'xiao'zhi'wei 凯蒂妲破晓之威
'kai'xi'ge'lang'qi'bing 凯锡革狼骑兵
'kai'xi'ge'pen'yan'shi 凯锡革喷焰师
'ke'bu'kong'ou'shi 可怖控偶师
'ke'diao'xue'tu 可雕学徒
'ke'qiu'fa'xian 渴求发现
'ke'xiao'kui'shou 咳笑魁首
'ke'zeng'wu'po 可憎巫婆
'kong'bu'wan'ju'wu 恐怖玩具屋
'kong'ju'shen'you 恐惧神游
'kong'ju'si'wang 恐惧死亡
'kong'nian'xi'xue'gui 控念吸血鬼
'kong'yuan'di'bu'lie'shou 空圆地捕猎兽
'kuang're'mo'gui 狂热魔鬼
'lan'lv'yin'shi 褴褛隐士
'lang'qun'you'zi 狼群幼子
'lang'zu'zao'chu'ren 狼族遭黜人
'lao'lu'si'deng 老鲁斯登
'li'liang'dou'zeng 力量陡增
'li'zhua'sui'shen 利爪碎身
'lian'jin'shu'shi'de'ji'ce 炼金术士的计策
'lian'jin'shu'shi'hui'shou'zhou 炼金术士回收咒
'lian'yu'yu'yan'shi'heng'li'ka 炼狱预言师亨莉卡
'lie'du'xie 烈毒蝎
'lie'gou'jie'lang 裂钩劫狼
'lu'mang'chong'dong 鲁莽冲动
'lu'nuo'xi'bao 卢诺溪堡
'lu'yi'qi'bing 鹭翼骑兵
'lu'you'you'hun 鹭佑游魂
'ma'ke'fu'bao'chang 马可夫报偿
'ma'ke'fu'di'jing'shi 马可夫涤净师
'ma'ke'fu'yuan'wu'zhe 马可夫圆舞者
'man'ye'qun'ban 蛮野群伴
'mi'hun'mi'ban 密魂谜板
'mi'ren'qiu'hun'zhe 迷人求婚者
'mi'yue'jiu'che 蜜月柩车
'miao'zhun'tou'bu 瞄准头部
'min'bing'zhao'ji'ren 民兵召集人
'mu'di'du'sheng'shi 墓地渎圣尸
'mu'di'lie'zhi'bing 墓地裂肢兵
'mu'di'ran'deng'ling 墓地燃灯灵
'mu'di'shou'men'zhe 墓地守门者
'mu'di'wei'hu'bing 墓地卫护兵
'mu'di'you'lue'lang 墓地游掠狼
'nie'e'zhi'zhu 孽恶蜘蛛
'nie'wu'fang'zhen'bing'tuan 孽物方阵兵团
'nong'zhuang'xin'bing 农庄新兵
'nv'wu'zhu'wang 女巫蛛网
'ou'lei'ba'jiu'xing 欧雷巴救星
'ou'lei'ba'wei'shi 欧雷巴卫士
'pao'shi'dui'zhang 抛石队长
'pao'shi'pao'hui 抛石炮灰
'pao'xiao'lang 咆哮狼
'pei'hu'ju'xiang 培护巨像
'pei'zhuang'tian'shi 配装天使
'pi'bei'zao'qiu'fan 疲惫遭囚犯
'pi'lie'lie'huo 劈裂烈火
'pin'si'xiao'ming 拼死效命
'pin'zhuang'pu'shi 拼装匍尸
'pin'zu'qiang'qi'shou 拼组枪骑手
